occ,y4_hhid,indidy4,male,age,relation_head,head,father_educ,mother_educ,over_12,cur_married,household_num,clusterid,rural,y4_weights,region_code,region_name,district_code,district_name,satisfy_school_age,read_wri_kiswa,school_exp,start_school_age,cur_school,school_lyear,educ_attain,primary,secondary,university,cur_grade,cur_prim,cur_second,cur_univ,public,board,transportation,time_to_school,free_meal_school,miss_school_lasttwo,absent_reason,access_textbook,homework_hour_week_fir,problem_school_fir,problem_school,problem_school_sec,psle,pass_psle,school_fee,book_mat,uniform_fee,transport_fee,extra_tuition,others,meal_cost,eduction_expendit_12m,adult_literacy_prog,unpaid_employee_12m,non_farm_12m,house_farm_12m,rental_pay_inc,priv_gov_inc,other_inc,income_known_sour
4,2109-001,4,1,5,SON/DAUGHTER,0,,,0,,2109,180119102003,1,3102.3604,kagera,KAGERA,1,KARAGWE,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
5,2109-001,5,0,5,SON/DAUGHTER,0,,0,0,,2109,180119102003,1,3102.3604,kagera,KAGERA,1,KARAGWE,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
6,2109-001,6,0,1,SON/DAUGHTER,0,,,0,,2109,180119102003,1,3102.3604,kagera,KAGERA,1,KARAGWE,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,2110-001,1,1,68,head,1,0,0,1,1,2110,180119102003,1,3102.3604,kagera,KAGERA,1,KARAGWE,yes,1,1,10,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,2110-001,2,0,56,spouse,0,0,0,1,1,2110,180119102003,1,3102.3604,kagera,KAGERA,1,KARAGWE,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0
1,2121-001,1,1,44,head,1,0,0,1,1,2121,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2121-001,2,0,35,spouse,0,1,1,1,1,2121,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2121-001,3,0,24,STEP SON / DAUGHTER,0,,,1,0,2121,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,7,1,,,,,,Secondary,0,1,0,0,1,,,1,no,,1,2,NO PROBLEMS (SATISFIED),0,,1,1,1200000,60000,30000,0,0,20000,30000,1340000,0,0,0,0,0,0,0,0
4,2121-001,4,0,6,SON/DAUGHTER,0,,,0,,2121,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,0,1,6,1,,,,,,Primary,1,0,0,1,0,0,30,0,no,,1,0,NO PROBLEMS (SATISFIED),0,,0,,0,1200,9000,0,0,3000,0,13200,0,0,0,0,0,0,0,0
5,2121-001,5,1,4,SON/DAUGHTER,0,,,0,,2121,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
6,2121-001,6,0,2,SON/DAUGHTER,0,,,0,,2121,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,2122-001,1,1,39,head,1,1,0,1,0,2122,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,13,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,40000,0,0,40000
1,2123-001,1,1,77,head,1,0,0,1,1,2123,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,10,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2123-001,2,1,27,SON/DAUGHTER,0,,1,1,0,2123,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,10,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2123-001,3,0,22,OTHER RELATIVE(SPECIFY),0,1,1,1,0,2123,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2123-001,4,1,3,grandchild,0,,,0,,2123,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
5,2123-001,5,0,11,OTHER RELATIVE(SPECIFY),0,1,0,0,,2123,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,0,1,11,1,,,,,,Primary,1,0,0,1,0,0,15,0,no,,0,0,INADEQUATE BOOKS/TOOLS,1,,0,,0,4000,10000,0,0,5000,0,19000,0,0,0,0,0,0,0,0
1,2124-001,1,1,39,head,1,1,1,1,1,2124,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,12,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,2124-001,2,0,30,spouse,0,1,1,1,1,2124,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,2124-001,3,0,14,SON/DAUGHTER,0,,,1,0,2124,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,8,1,,,,,,Primary,1,0,0,1,0,0,30,0,no,,1,10,INADEQUATE TEACHERS,1,,0,,0,8400,32000,0,28000,4000,0,72400,0,0,0,0,0,0,0,0
4,2124-001,4,1,8,SON/DAUGHTER,0,,,0,,2124,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,7,1,,,,,,Primary,1,0,0,1,0,0,10,0,no,,1,0,INADEQUATE TEACHERS,1,,0,,0,2600,16000,0,6000,2000,0,26600,0,0,0,0,0,0,0,0
5,2124-001,5,0,6,SON/DAUGHTER,0,,,0,,2124,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,0,1,5,1,,,,,,Others,0,0,0,1,0,0,10,0,no,,0,0,NO PROBLEMS (SATISFIED),0,,0,,0,900,10000,0,0,0,0,10900,0,0,0,0,0,0,0,0
6,2124-001,6,1,2,SON/DAUGHTER,0,,,0,,2124,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7,2124-001,7,1,11,OTHER NON-RELATIVES (SPECIFY),0,,1,0,,2124,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,7,0,1,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2125-001,1,1,34,head,1,1,1,1,1,2125,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,2125-001,2,0,25,spouse,0,1,1,1,1,2125,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,12,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3,2125-001,3,0,5,SON/DAUGHTER,0,,,0,,2125,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
4,2125-001,4,0,3,SON/DAUGHTER,0,,,0,,2125,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
5,2125-001,5,1,6,STEP SON / DAUGHTER,0,,1,0,,2125,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,0,1,6,1,,,,,,Others,0,0,0,1,0,0,15,0,no,,0,3,INADEQUATE TEACHERS,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2126-001,1,1,40,head,1,1,0,1,1,2126,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2,2126-001,2,0,34,spouse,0,,1,1,1,2126,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
3,2126-001,3,0,14,SON/DAUGHTER,0,,,1,0,2126,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,7,1,,,,,,Primary,1,0,0,1,0,0,20,0,no,,1,2,NO PROBLEMS (SATISFIED),0,,0,,0,8000,18000,0,0,7500,0,33500,0,0,0,0,0,0,0,0
4,2126-001,4,0,6,SON/DAUGHTER,0,,,0,,2126,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,0,1,6,1,,,,,,Others,0,0,0,1,0,0,20,0,no,,1,0,NO PROBLEMS (SATISFIED),0,,0,,0,600,5000,0,0,8000,0,13600,0,0,0,0,0,0,0,0
5,2126-001,5,0,2,SON/DAUGHTER,0,,,0,,2126,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,2127-001,1,1,38,head,1,1,1,1,1,2127,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,12,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2,2127-001,2,0,34,spouse,0,1,1,1,1,2127,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,13,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2127-001,3,1,8,SON/DAUGHTER,0,,,0,,2127,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,1,1,7,1,,,,,,Primary,1,0,0,1,0,0,7,0,no,,0,0,INADEQUATE TEACHERS,1,,0,,0,3000,3000,0,0,4500,0,10500,0,0,0,0,0,0,0,0
4,2127-001,4,1,4,SON/DAUGHTER,0,,,0,,2127,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
5,2127-001,5,0,0,SON/DAUGHTER,0,,,0,,2127,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,2128-001,1,0,50,head,1,0,0,1,0,2128,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
2,2128-001,2,1,26,SON/DAUGHTER,0,0,,1,0,2128,180216103006,1,2542.1902,kagera,KAGERA,2,BUKOBA,yes,0,1,12,0,0,Others,0,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,2140-001,1,1,56,head,1,1,0,1,1,2140,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2140-001,2,0,53,spouse,0,0,0,1,1,2140,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2140-001,3,0,22,SON/DAUGHTER,0,,,1,0,2140,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2140-001,4,0,20,SON/DAUGHTER,0,,,1,0,2140,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2140-001,5,0,16,SON/DAUGHTER,0,,,1,0,2140,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,7,0,1,,,,,,,,,,,,,,,,,,,,,1,,0,4000,12000,0,0,7500,0,23500,0,0,0,1,0,0,0,0
6,2140-001,6,0,14,SON/DAUGHTER,0,,,1,0,2140,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,7,0,1,,,,,,,,,,,,,,,,,,,,,1,,0,4000,12000,0,0,7500,0,23500,0,0,0,1,0,0,0,0
1,2141-001,1,1,21,head,1,,0,1,1,2141,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,2141-001,2,0,19,spouse,0,1,1,1,1,2141,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2141-001,3,1,2,SON/DAUGHTER,0,,,0,,2141,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
4,2141-001,4,0,1,SON/DAUGHTER,0,,,0,,2141,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,2142-001,1,1,65,head,1,0,0,1,0,2142,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0
2,2142-001,2,1,18,SON/DAUGHTER,0,,0,1,0,2142,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,2142-001,3,1,10,SON/DAUGHTER,0,,0,0,,2142,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,1,10,1,,,,,,Primary,1,0,0,1,0,0,20,0,no,,0,0,INADEQUATE BOOKS/TOOLS,1,,0,,0,600,5000,0,0,8000,0,13600,0,0,0,0,0,0,0,0
1,2143-001,1,1,45,head,1,1,1,1,1,2143,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
2,2143-001,2,0,32,spouse,0,1,1,1,1,2143,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
3,2143-001,3,1,16,SON/DAUGHTER,0,,,1,0,2143,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,12,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2143-001,4,0,14,SON/DAUGHTER,0,,,1,0,2143,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,9,1,,,,,,Primary,1,0,0,1,0,0,45,0,no,,1,0,OVERCROWDED CLASSROOMS,1,,0,,0,6000,0,0,0,4000,0,10000,0,0,0,0,0,0,0,0
5,2143-001,5,1,11,SON/DAUGHTER,0,,,0,,2143,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,1,9,1,,,,,,Primary,1,0,0,1,0,0,45,0,no,,1,0,OVERCROWDED CLASSROOMS,1,,0,,0,3000,13000,0,0,4000,0,20000,0,0,0,0,0,0,0,0
1,2144-001,1,1,53,head,1,,,1,1,2144,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0
2,2144-001,2,0,39,spouse,0,,,1,1,2144,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3,2144-001,3,0,13,SON/DAUGHTER,0,,,1,0,2144,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,7,1,,,,,,Primary,1,0,0,1,0,0,40,0,no,,1,1,NO PROBLEMS (SATISFIED),0,,0,,0,2900,9000,0,0,0,0,11900,0,0,0,1,0,0,0,0
4,2144-001,4,0,8,SON/DAUGHTER,0,,,0,,2144,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,1,7,1,,,,,,Primary,1,0,0,1,0,0,40,0,no,,1,0,NO PROBLEMS (SATISFIED),0,,0,,0,900,9000,0,0,0,0,9900,0,0,0,1,0,0,0,0
5,2144-001,5,1,6,SON/DAUGHTER,0,,,0,,2144,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,1,6,1,,,,,,Others,0,0,0,1,0,0,40,0,no,,0,0,NO PROBLEMS (SATISFIED),0,,0,,0,500,700,0,0,0,0,1200,0,0,0,0,0,0,0,0
6,2144-001,6,1,4,SON/DAUGHTER,0,,,0,,2144,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7,2144-001,7,1,2,SON/DAUGHTER,0,,,0,,2144,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,2145-001,1,1,39,head,1,1,,1,1,2145,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,8,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2145-001,2,0,28,spouse,0,1,1,1,1,2145,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
3,2145-001,3,0,16,SON/DAUGHTER,0,,1,1,0,2145,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,9,1,,,,,,Secondary,0,1,0,1,0,0,60,0,no,,1,18,INADEQUATE TEACHERS,1,OTHER (SPECIFY),1,1,20000,15000,41000,0,40000,6000,22000,144000,0,0,0,1,0,0,0,0
4,2145-001,4,1,14,SON/DAUGHTER,0,,1,1,0,2145,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,10,1,,,,,,Primary,1,0,0,1,0,0,20,0,no,,1,8,INADEQUATE TEACHERS,1,,0,,0,7200,17000,0,0,3000,0,27200,0,0,0,1,0,0,0,0
5,2145-001,5,1,6,SON/DAUGHTER,0,,1,0,,2145,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1,2146-001,1,1,50,head,1,1,1,1,0,2146,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,12,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2146-001,2,1,14,SON/DAUGHTER,0,,1,1,0,2146,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,7,0,1,,,,,,,,,,,,,,,,,,,,,1,,0,20000,50000,0,6000,5000,0,81000,0,0,0,1,0,0,0,0
3,2146-001,3,1,12,SON/DAUGHTER,0,,1,1,0,2146,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,7,1,,,,,,Primary,1,0,0,1,0,0,40,0,no,,1,2,NO PROBLEMS (SATISFIED),0,,0,,0,40000,30000,0,0,5000,0,75000,0,0,0,0,0,0,0,0
4,2146-001,4,1,7,SON/DAUGHTER,0,,1,0,,2146,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,7,1,,,,,,Primary,1,0,0,1,0,0,40,0,no,,1,1,NO PROBLEMS (SATISFIED),0,,0,,0,20000,20000,0,0,0,0,40000,0,0,0,0,0,0,0,0
1,2147-001,1,1,32,head,1,1,1,1,1,2147,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,13,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,2147-001,2,0,27,spouse,0,1,1,1,1,2147,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,1,1,7,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2147-001,3,1,8,SON/DAUGHTER,0,,,0,,2147,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,1,9,1,,,,,,Primary,1,0,0,1,0,0,40,0,yes,ILLNESS CHILD,1,0,NO PROBLEMS (SATISFIED),0,,0,,0,0,27000,0,0,3500,0,30500,0,0,0,0,0,0,0,0
4,2147-001,4,0,6,SON/DAUGHTER,0,,,0,,2147,180308105003,1,806.48785,kagera,KAGERA,3,MULEBA,yes,0,1,6,1,,,,,,Others,0,0,0,1,0,0,40,0,no,,1,0,NO PROBLEMS (SATISFIED),0,,0,,0,0,7000,0,8000,0,0,15000,0,0,0,0,0,0,0,0
1,2159-001,1,1,35,head,1,1,0,1,1,2159,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,10,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,2159-001,2,0,35,spouse,0,1,1,1,1,2159,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,10,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3,2159-001,3,1,16,SON/DAUGHTER,0,,,1,0,2159,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,9,1,,,,,,Secondary,0,1,0,1,0,1,40,0,yes,SCHOOL CLOSED IN BREAK,1,6,NO PROBLEMS (SATISFIED),0,,1,1,20000,13000,35500,0,5000,15000,0,88500,0,0,0,1,0,0,0,0
4,2159-001,4,0,13,SON/DAUGHTER,0,,,1,0,2159,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,9,1,,,,,,Primary,1,0,0,1,0,0,13,0,yes,SCHOOL CLOSED IN BREAK,1,3,NO PROBLEMS (SATISFIED),0,,0,,0,10000,11000,0,0,5000,0,26000,0,0,0,1,0,0,0,0
5,2159-001,5,1,12,SON/DAUGHTER,0,,,1,0,2159,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,8,1,,,,,,Primary,1,0,0,1,0,0,13,0,yes,SCHOOL CLOSED IN BREAK,1,0,NO PROBLEMS (SATISFIED),0,,0,,0,8000,11000,0,0,5000,0,24000,0,0,0,1,0,0,0,0
6,2159-001,6,0,10,SON/DAUGHTER,0,,,0,,2159,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,7,1,,,,,,Primary,1,0,0,1,0,0,13,0,yes,SCHOOL CLOSED IN BREAK,1,0,NO PROBLEMS (SATISFIED),0,,0,,0,8000,11000,0,0,5000,0,24000,0,0,0,1,0,0,0,0
7,2159-001,7,1,8,SON/DAUGHTER,0,,,0,,2159,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,0,1,8,1,,,,,,Others,0,0,0,1,0,0,13,0,yes,SCHOOL CLOSED IN BREAK,0,0,NO PROBLEMS (SATISFIED),0,,0,,0,1500,9000,0,0,0,0,10500,0,0,0,0,0,0,0,0
8,2159-001,8,1,5,SON/DAUGHTER,0,,,0,,2159,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
9,2159-001,9,0,2,SON/DAUGHTER,0,,,0,,2159,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
10,2159-001,10,0,0,SON/DAUGHTER,0,,,0,,2159,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
1,2160-001,1,1,43,head,1,1,1,1,1,2160,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2,2160-001,2,0,40,spouse,0,,0,1,1,2160,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,13,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3,2160-001,3,1,17,SON/DAUGHTER,0,,,1,0,2160,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2160-001,4,1,15,SON/DAUGHTER,0,,,1,0,2160,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,9,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2160-001,5,1,14,SON/DAUGHTER,0,,,1,0,2160,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,11,1,,,,,,Primary,1,0,0,1,0,0,20,0,yes,SCHOOL CLOSED IN BREAK,1,0,INADEQUATE TEACHERS,1,OVERCROWDED CLASSROOMS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2160-001,6,0,9,SON/DAUGHTER,0,,,0,,2160,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,0,1,9,1,,,,,,Primary,1,0,0,1,0,0,20,0,yes,SCHOOL CLOSED IN BREAK,1,0,INADEQUATE TEACHERS,1,OVERCROWDED CLASSROOMS,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2161-001,1,1,77,head,1,0,0,1,0,2161,180326102004,1,2824.6555,kagera,KAGERA,3,MULEBA,yes,1,1,10,0,0,Primary,1,0,0,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
