interview__key,sdd_hhid,sourceid,ag12b_08,ag12b_09,ag12b_10
74-00-49-61,0102-001-003,RADIO,,,
74-00-49-61,0102-001-003,PUBLICATION,,,
74-00-49-61,0102-001-003,NEIGHBOUR,,,
74-00-49-61,0102-001-003,OTHER (SPECIFY),,,
13-27-24-08,0103-001-001,GOVERNMENT EXTENSION,,,
13-27-24-08,0103-001-001,NGO,,,
13-27-24-08,0103-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
13-27-24-08,0103-001-001,LARGE SCALE FARMER,,,
13-27-24-08,0103-001-001,RADIO,,,
13-27-24-08,0103-001-001,PUBLICATION,,,
13-27-24-08,0103-001-001,NEIGHBOUR,,,
13-27-24-08,0103-001-001,OTHER (SPECIFY),,,
61-86-51-55,0104-001-001,GOVERNMENT EXTENSION,NO,,
61-86-51-55,0104-001-001,NGO,NO,,
61-86-51-55,0104-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
61-86-51-55,0104-001-001,LARGE SCALE FARMER,NO,,
61-86-51-55,0104-001-001,RADIO,NO,,
61-86-51-55,0104-001-001,PUBLICATION,NO,,
61-86-51-55,0104-001-001,NEIGHBOUR,NO,,
61-86-51-55,0104-001-001,OTHER (SPECIFY),NO,,
82-80-49-27,0104-001-006,GOVERNMENT EXTENSION,NO,,
82-80-49-27,0104-001-006,NGO,NO,,
82-80-49-27,0104-001-006,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
82-80-49-27,0104-001-006,LARGE SCALE FARMER,NO,,
82-80-49-27,0104-001-006,RADIO,NO,,
82-80-49-27,0104-001-006,PUBLICATION,NO,,
82-80-49-27,0104-001-006,NEIGHBOUR,NO,,
82-80-49-27,0104-001-006,OTHER (SPECIFY),YES,NO,
45-01-65-38,0104-008-001,GOVERNMENT EXTENSION,,,
45-01-65-38,0104-008-001,NGO,,,
45-01-65-38,0104-008-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
45-01-65-38,0104-008-001,LARGE SCALE FARMER,,,
45-01-65-38,0104-008-001,RADIO,,,
45-01-65-38,0104-008-001,PUBLICATION,,,
45-01-65-38,0104-008-001,NEIGHBOUR,,,
45-01-65-38,0104-008-001,OTHER (SPECIFY),,,
56-75-17-70,0105-001-001,GOVERNMENT EXTENSION,YES,NO,
56-75-17-70,0105-001-001,NGO,NO,,
56-75-17-70,0105-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
56-75-17-70,0105-001-001,LARGE SCALE FARMER,NO,,
56-75-17-70,0105-001-001,RADIO,NO,,
56-75-17-70,0105-001-001,PUBLICATION,NO,,
56-75-17-70,0105-001-001,NEIGHBOUR,NO,,
56-75-17-70,0105-001-001,OTHER (SPECIFY),YES,YES,15000
03-36-44-51,0105-005-001,GOVERNMENT EXTENSION,NO,,
03-36-44-51,0105-005-001,NGO,NO,,
03-36-44-51,0105-005-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
03-36-44-51,0105-005-001,LARGE SCALE FARMER,NO,,
03-36-44-51,0105-005-001,RADIO,NO,,
03-36-44-51,0105-005-001,PUBLICATION,NO,,
03-36-44-51,0105-005-001,NEIGHBOUR,YES,NO,
03-36-44-51,0105-005-001,OTHER (SPECIFY),NO,,
83-56-10-16,0106-001-002,GOVERNMENT EXTENSION,NO,,
83-56-10-16,0106-001-002,NGO,NO,,
83-56-10-16,0106-001-002,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
83-56-10-16,0106-001-002,LARGE SCALE FARMER,NO,,
83-56-10-16,0106-001-002,RADIO,NO,,
83-56-10-16,0106-001-002,PUBLICATION,NO,,
83-56-10-16,0106-001-002,NEIGHBOUR,NO,,
83-56-10-16,0106-001-002,OTHER (SPECIFY),NO,,
72-82-51-97,0106-001-003,GOVERNMENT EXTENSION,NO,,
72-82-51-97,0106-001-003,NGO,NO,,
72-82-51-97,0106-001-003,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
72-82-51-97,0106-001-003,LARGE SCALE FARMER,NO,,
72-82-51-97,0106-001-003,RADIO,NO,,
72-82-51-97,0106-001-003,PUBLICATION,NO,,
72-82-51-97,0106-001-003,NEIGHBOUR,YES,NO,
72-82-51-97,0106-001-003,OTHER (SPECIFY),NO,,
11-04-09-01,0107-001-001,GOVERNMENT EXTENSION,NO,,
11-04-09-01,0107-001-001,NGO,NO,,
11-04-09-01,0107-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
11-04-09-01,0107-001-001,LARGE SCALE FARMER,NO,,
11-04-09-01,0107-001-001,RADIO,NO,,
11-04-09-01,0107-001-001,PUBLICATION,NO,,
11-04-09-01,0107-001-001,NEIGHBOUR,NO,,
11-04-09-01,0107-001-001,OTHER (SPECIFY),NO,,
51-54-44-86,0108-001-001,GOVERNMENT EXTENSION,NO,,
51-54-44-86,0108-001-001,NGO,NO,,
51-54-44-86,0108-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
51-54-44-86,0108-001-001,LARGE SCALE FARMER,YES,NO,
51-54-44-86,0108-001-001,RADIO,YES,,
51-54-44-86,0108-001-001,PUBLICATION,NO,,
51-54-44-86,0108-001-001,NEIGHBOUR,YES,NO,
51-54-44-86,0108-001-001,OTHER (SPECIFY),NO,,
35-34-97-68,0108-001-002,GOVERNMENT EXTENSION,NO,,
35-34-97-68,0108-001-002,NGO,NO,,
35-34-97-68,0108-001-002,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
35-34-97-68,0108-001-002,LARGE SCALE FARMER,NO,,
35-34-97-68,0108-001-002,RADIO,NO,,
35-34-97-68,0108-001-002,PUBLICATION,NO,,
35-34-97-68,0108-001-002,NEIGHBOUR,YES,NO,
35-34-97-68,0108-001-002,OTHER (SPECIFY),YES,NO,
47-69-21-93,0109-001-001,GOVERNMENT EXTENSION,NO,,
47-69-21-93,0109-001-001,NGO,NO,,
47-69-21-93,0109-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
47-69-21-93,0109-001-001,LARGE SCALE FARMER,NO,,
47-69-21-93,0109-001-001,RADIO,NO,,
47-69-21-93,0109-001-001,PUBLICATION,NO,,
47-69-21-93,0109-001-001,NEIGHBOUR,YES,NO,
47-69-21-93,0109-001-001,OTHER (SPECIFY),NO,,
22-62-73-26,0110-001-001,GOVERNMENT EXTENSION,,,
22-62-73-26,0110-001-001,NGO,,,
22-62-73-26,0110-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
22-62-73-26,0110-001-001,LARGE SCALE FARMER,,,
22-62-73-26,0110-001-001,RADIO,,,
22-62-73-26,0110-001-001,PUBLICATION,,,
22-62-73-26,0110-001-001,NEIGHBOUR,,,
22-62-73-26,0110-001-001,OTHER (SPECIFY),,,
71-21-99-60,0110-001-002,GOVERNMENT EXTENSION,NO,,
71-21-99-60,0110-001-002,NGO,NO,,
71-21-99-60,0110-001-002,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
71-21-99-60,0110-001-002,LARGE SCALE FARMER,NO,,
71-21-99-60,0110-001-002,RADIO,NO,,
71-21-99-60,0110-001-002,PUBLICATION,NO,,
71-21-99-60,0110-001-002,NEIGHBOUR,NO,,
71-21-99-60,0110-001-002,OTHER (SPECIFY),NO,,
09-03-93-64,0111-001-001,GOVERNMENT EXTENSION,NO,,
09-03-93-64,0111-001-001,NGO,NO,,
09-03-93-64,0111-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
09-03-93-64,0111-001-001,LARGE SCALE FARMER,NO,,
09-03-93-64,0111-001-001,RADIO,NO,,
09-03-93-64,0111-001-001,PUBLICATION,NO,,
09-03-93-64,0111-001-001,NEIGHBOUR,NO,,
09-03-93-64,0111-001-001,OTHER (SPECIFY),NO,,
49-60-00-77,0112-001-001,GOVERNMENT EXTENSION,NO,,
49-60-00-77,0112-001-001,NGO,NO,,
49-60-00-77,0112-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
49-60-00-77,0112-001-001,LARGE SCALE FARMER,YES,NO,
49-60-00-77,0112-001-001,RADIO,YES,,
49-60-00-77,0112-001-001,PUBLICATION,NO,,
49-60-00-77,0112-001-001,NEIGHBOUR,YES,NO,
49-60-00-77,0112-001-001,OTHER (SPECIFY),YES,NO,
51-56-43-08,0112-001-002,GOVERNMENT EXTENSION,,,
51-56-43-08,0112-001-002,NGO,,,
51-56-43-08,0112-001-002,COOPERATIVE/FARMER'S ASSOCIATION,,,
51-56-43-08,0112-001-002,LARGE SCALE FARMER,,,
51-56-43-08,0112-001-002,RADIO,,,
51-56-43-08,0112-001-002,PUBLICATION,,,
51-56-43-08,0112-001-002,NEIGHBOUR,,,
51-56-43-08,0112-001-002,OTHER (SPECIFY),,,
80-23-77-43,0113-001-001,GOVERNMENT EXTENSION,NO,,
80-23-77-43,0113-001-001,NGO,NO,,
80-23-77-43,0113-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
80-23-77-43,0113-001-001,LARGE SCALE FARMER,NO,,
80-23-77-43,0113-001-001,RADIO,NO,,
80-23-77-43,0113-001-001,PUBLICATION,NO,,
80-23-77-43,0113-001-001,NEIGHBOUR,YES,NO,
80-23-77-43,0113-001-001,OTHER (SPECIFY),NO,,
86-56-84-14,0113-002-001,GOVERNMENT EXTENSION,NO,,
86-56-84-14,0113-002-001,NGO,NO,,
86-56-84-14,0113-002-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
86-56-84-14,0113-002-001,LARGE SCALE FARMER,NO,,
86-56-84-14,0113-002-001,RADIO,NO,,
86-56-84-14,0113-002-001,PUBLICATION,NO,,
86-56-84-14,0113-002-001,NEIGHBOUR,YES,NO,
86-56-84-14,0113-002-001,OTHER (SPECIFY),NO,,
95-71-62-51,0114-001-001,GOVERNMENT EXTENSION,NO,,
95-71-62-51,0114-001-001,NGO,NO,,
95-71-62-51,0114-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
95-71-62-51,0114-001-001,LARGE SCALE FARMER,NO,,
95-71-62-51,0114-001-001,RADIO,NO,,
95-71-62-51,0114-001-001,PUBLICATION,NO,,
95-71-62-51,0114-001-001,NEIGHBOUR,NO,,
95-71-62-51,0114-001-001,OTHER (SPECIFY),NO,,
35-20-92-57,0115-001-001,GOVERNMENT EXTENSION,NO,,
35-20-92-57,0115-001-001,NGO,NO,,
35-20-92-57,0115-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
35-20-92-57,0115-001-001,LARGE SCALE FARMER,NO,,
35-20-92-57,0115-001-001,RADIO,NO,,
35-20-92-57,0115-001-001,PUBLICATION,NO,,
35-20-92-57,0115-001-001,NEIGHBOUR,YES,NO,
35-20-92-57,0115-001-001,OTHER (SPECIFY),NO,,
61-55-11-19,0115-001-002,GOVERNMENT EXTENSION,NO,,
61-55-11-19,0115-001-002,NGO,NO,,
61-55-11-19,0115-001-002,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
61-55-11-19,0115-001-002,LARGE SCALE FARMER,NO,,
61-55-11-19,0115-001-002,RADIO,NO,,
61-55-11-19,0115-001-002,PUBLICATION,NO,,
61-55-11-19,0115-001-002,NEIGHBOUR,NO,,
61-55-11-19,0115-001-002,OTHER (SPECIFY),YES,NO,
61-11-91-19,0118-001-001,GOVERNMENT EXTENSION,NO,,
61-11-91-19,0118-001-001,NGO,NO,,
61-11-91-19,0118-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
61-11-91-19,0118-001-001,LARGE SCALE FARMER,NO,,
61-11-91-19,0118-001-001,RADIO,NO,,
61-11-91-19,0118-001-001,PUBLICATION,NO,,
61-11-91-19,0118-001-001,NEIGHBOUR,YES,NO,
61-11-91-19,0118-001-001,OTHER (SPECIFY),NO,,
67-13-31-42,0119-001-001,GOVERNMENT EXTENSION,NO,,
67-13-31-42,0119-001-001,NGO,NO,,
67-13-31-42,0119-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
67-13-31-42,0119-001-001,LARGE SCALE FARMER,NO,,
67-13-31-42,0119-001-001,RADIO,NO,,
67-13-31-42,0119-001-001,PUBLICATION,NO,,
67-13-31-42,0119-001-001,NEIGHBOUR,NO,,
67-13-31-42,0119-001-001,OTHER (SPECIFY),NO,,
16-86-84-80,0119-001-002,GOVERNMENT EXTENSION,NO,,
16-86-84-80,0119-001-002,NGO,NO,,
16-86-84-80,0119-001-002,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
16-86-84-80,0119-001-002,LARGE SCALE FARMER,NO,,
16-86-84-80,0119-001-002,RADIO,NO,,
16-86-84-80,0119-001-002,PUBLICATION,NO,,
16-86-84-80,0119-001-002,NEIGHBOUR,NO,,
16-86-84-80,0119-001-002,OTHER (SPECIFY),NO,,
98-32-46-89,0120-001-001,GOVERNMENT EXTENSION,NO,,
98-32-46-89,0120-001-001,NGO,NO,,
98-32-46-89,0120-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
98-32-46-89,0120-001-001,LARGE SCALE FARMER,YES,NO,
98-32-46-89,0120-001-001,RADIO,NO,,
98-32-46-89,0120-001-001,PUBLICATION,NO,,
98-32-46-89,0120-001-001,NEIGHBOUR,NO,,
98-32-46-89,0120-001-001,OTHER (SPECIFY),YES,NO,
11-41-50-08,0121-002-001,GOVERNMENT EXTENSION,NO,,
11-41-50-08,0121-002-001,NGO,NO,,
11-41-50-08,0121-002-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
11-41-50-08,0121-002-001,LARGE SCALE FARMER,NO,,
11-41-50-08,0121-002-001,RADIO,NO,,
11-41-50-08,0121-002-001,PUBLICATION,NO,,
11-41-50-08,0121-002-001,NEIGHBOUR,NO,,
11-41-50-08,0121-002-001,OTHER (SPECIFY),NO,,
20-26-27-46,0121-004-001,GOVERNMENT EXTENSION,NO,,
20-26-27-46,0121-004-001,NGO,NO,,
20-26-27-46,0121-004-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
20-26-27-46,0121-004-001,LARGE SCALE FARMER,NO,,
20-26-27-46,0121-004-001,RADIO,NO,,
20-26-27-46,0121-004-001,PUBLICATION,NO,,
20-26-27-46,0121-004-001,NEIGHBOUR,YES,NO,
20-26-27-46,0121-004-001,OTHER (SPECIFY),NO,,
51-99-30-00,0122-001-001,GOVERNMENT EXTENSION,NO,,
51-99-30-00,0122-001-001,NGO,NO,,
51-99-30-00,0122-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
51-99-30-00,0122-001-001,LARGE SCALE FARMER,NO,,
51-99-30-00,0122-001-001,RADIO,NO,,
51-99-30-00,0122-001-001,PUBLICATION,NO,,
51-99-30-00,0122-001-001,NEIGHBOUR,NO,,
51-99-30-00,0122-001-001,OTHER (SPECIFY),NO,,
94-57-72-83,0122-001-002,GOVERNMENT EXTENSION,NO,,
94-57-72-83,0122-001-002,NGO,NO,,
94-57-72-83,0122-001-002,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
94-57-72-83,0122-001-002,LARGE SCALE FARMER,NO,,
94-57-72-83,0122-001-002,RADIO,NO,,
94-57-72-83,0122-001-002,PUBLICATION,NO,,
94-57-72-83,0122-001-002,NEIGHBOUR,NO,,
94-57-72-83,0122-001-002,OTHER (SPECIFY),NO,,
43-50-47-25,0122-001-003,GOVERNMENT EXTENSION,NO,,
43-50-47-25,0122-001-003,NGO,NO,,
43-50-47-25,0122-001-003,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
43-50-47-25,0122-001-003,LARGE SCALE FARMER,NO,,
43-50-47-25,0122-001-003,RADIO,YES,,
43-50-47-25,0122-001-003,PUBLICATION,NO,,
43-50-47-25,0122-001-003,NEIGHBOUR,YES,NO,
43-50-47-25,0122-001-003,OTHER (SPECIFY),NO,,
38-83-27-01,0123-001-001,GOVERNMENT EXTENSION,NO,,
38-83-27-01,0123-001-001,NGO,NO,,
38-83-27-01,0123-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
38-83-27-01,0123-001-001,LARGE SCALE FARMER,NO,,
38-83-27-01,0123-001-001,RADIO,NO,,
38-83-27-01,0123-001-001,PUBLICATION,NO,,
38-83-27-01,0123-001-001,NEIGHBOUR,NO,,
38-83-27-01,0123-001-001,OTHER (SPECIFY),NO,,
73-91-37-79,0124-001-001,GOVERNMENT EXTENSION,,,
73-91-37-79,0124-001-001,NGO,,,
73-91-37-79,0124-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
73-91-37-79,0124-001-001,LARGE SCALE FARMER,,,
73-91-37-79,0124-001-001,RADIO,,,
73-91-37-79,0124-001-001,PUBLICATION,,,
73-91-37-79,0124-001-001,NEIGHBOUR,,,
73-91-37-79,0124-001-001,OTHER (SPECIFY),,,
85-36-20-21,0124-002-001,GOVERNMENT EXTENSION,,,
85-36-20-21,0124-002-001,NGO,,,
85-36-20-21,0124-002-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
85-36-20-21,0124-002-001,LARGE SCALE FARMER,,,
85-36-20-21,0124-002-001,RADIO,,,
85-36-20-21,0124-002-001,PUBLICATION,,,
85-36-20-21,0124-002-001,NEIGHBOUR,,,
85-36-20-21,0124-002-001,OTHER (SPECIFY),,,
59-55-68-20,0126-001-001,GOVERNMENT EXTENSION,NO,,
59-55-68-20,0126-001-001,NGO,NO,,
59-55-68-20,0126-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
59-55-68-20,0126-001-001,LARGE SCALE FARMER,NO,,
59-55-68-20,0126-001-001,RADIO,NO,,
59-55-68-20,0126-001-001,PUBLICATION,NO,,
59-55-68-20,0126-001-001,NEIGHBOUR,YES,NO,
59-55-68-20,0126-001-001,OTHER (SPECIFY),NO,,
32-50-39-98,0126-001-003,GOVERNMENT EXTENSION,NO,,
32-50-39-98,0126-001-003,NGO,NO,,
32-50-39-98,0126-001-003,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
32-50-39-98,0126-001-003,LARGE SCALE FARMER,NO,,
32-50-39-98,0126-001-003,RADIO,NO,,
32-50-39-98,0126-001-003,PUBLICATION,NO,,
32-50-39-98,0126-001-003,NEIGHBOUR,YES,NO,
32-50-39-98,0126-001-003,OTHER (SPECIFY),NO,,
20-77-46-74,0127-001-001,GOVERNMENT EXTENSION,,,
20-77-46-74,0127-001-001,NGO,,,
20-77-46-74,0127-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
20-77-46-74,0127-001-001,LARGE SCALE FARMER,,,
20-77-46-74,0127-001-001,RADIO,,,
20-77-46-74,0127-001-001,PUBLICATION,,,
20-77-46-74,0127-001-001,NEIGHBOUR,,,
20-77-46-74,0127-001-001,OTHER (SPECIFY),,,
40-08-98-18,0127-003-001,GOVERNMENT EXTENSION,NO,,
40-08-98-18,0127-003-001,NGO,NO,,
40-08-98-18,0127-003-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
40-08-98-18,0127-003-001,LARGE SCALE FARMER,NO,,
40-08-98-18,0127-003-001,RADIO,NO,,
40-08-98-18,0127-003-001,PUBLICATION,NO,,
40-08-98-18,0127-003-001,NEIGHBOUR,NO,,
40-08-98-18,0127-003-001,OTHER (SPECIFY),NO,,
48-18-47-32,0127-005-001,GOVERNMENT EXTENSION,,,
48-18-47-32,0127-005-001,NGO,,,
48-18-47-32,0127-005-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
48-18-47-32,0127-005-001,LARGE SCALE FARMER,,,
48-18-47-32,0127-005-001,RADIO,,,
48-18-47-32,0127-005-001,PUBLICATION,,,
48-18-47-32,0127-005-001,NEIGHBOUR,,,
48-18-47-32,0127-005-001,OTHER (SPECIFY),,,
87-27-18-80,0128-001-001,GOVERNMENT EXTENSION,NO,,
87-27-18-80,0128-001-001,NGO,NO,,
87-27-18-80,0128-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
87-27-18-80,0128-001-001,LARGE SCALE FARMER,NO,,
87-27-18-80,0128-001-001,RADIO,YES,,
87-27-18-80,0128-001-001,PUBLICATION,NO,,
87-27-18-80,0128-001-001,NEIGHBOUR,NO,,
87-27-18-80,0128-001-001,OTHER (SPECIFY),NO,,
77-02-36-76,0129-001-001,GOVERNMENT EXTENSION,NO,,
77-02-36-76,0129-001-001,NGO,NO,,
77-02-36-76,0129-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
77-02-36-76,0129-001-001,LARGE SCALE FARMER,NO,,
77-02-36-76,0129-001-001,RADIO,YES,,
77-02-36-76,0129-001-001,PUBLICATION,NO,,
77-02-36-76,0129-001-001,NEIGHBOUR,NO,,
77-02-36-76,0129-001-001,OTHER (SPECIFY),NO,,
71-99-12-22,0129-004-003,GOVERNMENT EXTENSION,,,
71-99-12-22,0129-004-003,NGO,,,
71-99-12-22,0129-004-003,COOPERATIVE/FARMER'S ASSOCIATION,,,
71-99-12-22,0129-004-003,LARGE SCALE FARMER,,,
71-99-12-22,0129-004-003,RADIO,,,
71-99-12-22,0129-004-003,PUBLICATION,,,
71-99-12-22,0129-004-003,NEIGHBOUR,,,
71-99-12-22,0129-004-003,OTHER (SPECIFY),,,
30-09-14-99,0129-004-004,GOVERNMENT EXTENSION,,,
30-09-14-99,0129-004-004,NGO,,,
30-09-14-99,0129-004-004,COOPERATIVE/FARMER'S ASSOCIATION,,,
30-09-14-99,0129-004-004,LARGE SCALE FARMER,,,
30-09-14-99,0129-004-004,RADIO,,,
30-09-14-99,0129-004-004,PUBLICATION,,,
30-09-14-99,0129-004-004,NEIGHBOUR,,,
30-09-14-99,0129-004-004,OTHER (SPECIFY),,,
15-74-57-76,0130-001-001,GOVERNMENT EXTENSION,,,
15-74-57-76,0130-001-001,NGO,,,
15-74-57-76,0130-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
15-74-57-76,0130-001-001,LARGE SCALE FARMER,,,
15-74-57-76,0130-001-001,RADIO,,,
15-74-57-76,0130-001-001,PUBLICATION,,,
15-74-57-76,0130-001-001,NEIGHBOUR,,,
15-74-57-76,0130-001-001,OTHER (SPECIFY),,,
18-53-46-11,0131-001-002,GOVERNMENT EXTENSION,NO,,
18-53-46-11,0131-001-002,NGO,NO,,
18-53-46-11,0131-001-002,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
18-53-46-11,0131-001-002,LARGE SCALE FARMER,NO,,
18-53-46-11,0131-001-002,RADIO,NO,,
18-53-46-11,0131-001-002,PUBLICATION,NO,,
18-53-46-11,0131-001-002,NEIGHBOUR,NO,,
18-53-46-11,0131-001-002,OTHER (SPECIFY),NO,,
72-29-77-92,0133-001-001,GOVERNMENT EXTENSION,,,
72-29-77-92,0133-001-001,NGO,,,
72-29-77-92,0133-001-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
72-29-77-92,0133-001-001,LARGE SCALE FARMER,,,
72-29-77-92,0133-001-001,RADIO,,,
72-29-77-92,0133-001-001,PUBLICATION,,,
72-29-77-92,0133-001-001,NEIGHBOUR,,,
72-29-77-92,0133-001-001,OTHER (SPECIFY),,,
44-39-10-22,0134-001-001,GOVERNMENT EXTENSION,NO,,
44-39-10-22,0134-001-001,NGO,NO,,
44-39-10-22,0134-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
44-39-10-22,0134-001-001,LARGE SCALE FARMER,NO,,
44-39-10-22,0134-001-001,RADIO,NO,,
44-39-10-22,0134-001-001,PUBLICATION,NO,,
44-39-10-22,0134-001-001,NEIGHBOUR,YES,NO,
44-39-10-22,0134-001-001,OTHER (SPECIFY),NO,,
23-86-10-09,0134-006-001,GOVERNMENT EXTENSION,,,
23-86-10-09,0134-006-001,NGO,,,
23-86-10-09,0134-006-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
23-86-10-09,0134-006-001,LARGE SCALE FARMER,,,
23-86-10-09,0134-006-001,RADIO,,,
23-86-10-09,0134-006-001,PUBLICATION,,,
23-86-10-09,0134-006-001,NEIGHBOUR,,,
23-86-10-09,0134-006-001,OTHER (SPECIFY),,,
49-77-74-54,0136-001-001,GOVERNMENT EXTENSION,NO,,
49-77-74-54,0136-001-001,NGO,NO,,
49-77-74-54,0136-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
49-77-74-54,0136-001-001,LARGE SCALE FARMER,NO,,
49-77-74-54,0136-001-001,RADIO,NO,,
49-77-74-54,0136-001-001,PUBLICATION,NO,,
49-77-74-54,0136-001-001,NEIGHBOUR,YES,NO,
49-77-74-54,0136-001-001,OTHER (SPECIFY),NO,,
21-87-07-74,0137-001-001,GOVERNMENT EXTENSION,NO,,
21-87-07-74,0137-001-001,NGO,NO,,
21-87-07-74,0137-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
21-87-07-74,0137-001-001,LARGE SCALE FARMER,NO,,
21-87-07-74,0137-001-001,RADIO,NO,,
21-87-07-74,0137-001-001,PUBLICATION,NO,,
21-87-07-74,0137-001-001,NEIGHBOUR,NO,,
21-87-07-74,0137-001-001,OTHER (SPECIFY),NO,,
91-46-77-86,0137-003-001,GOVERNMENT EXTENSION,NO,,
91-46-77-86,0137-003-001,NGO,NO,,
91-46-77-86,0137-003-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
91-46-77-86,0137-003-001,LARGE SCALE FARMER,NO,,
91-46-77-86,0137-003-001,RADIO,NO,,
91-46-77-86,0137-003-001,PUBLICATION,NO,,
91-46-77-86,0137-003-001,NEIGHBOUR,NO,,
91-46-77-86,0137-003-001,OTHER (SPECIFY),NO,,
96-40-12-40,0138-002-001,GOVERNMENT EXTENSION,NO,,
96-40-12-40,0138-002-001,NGO,NO,,
96-40-12-40,0138-002-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
96-40-12-40,0138-002-001,LARGE SCALE FARMER,NO,,
96-40-12-40,0138-002-001,RADIO,NO,,
96-40-12-40,0138-002-001,PUBLICATION,NO,,
96-40-12-40,0138-002-001,NEIGHBOUR,NO,,
96-40-12-40,0138-002-001,OTHER (SPECIFY),NO,,
51-16-04-26,0139-001-001,GOVERNMENT EXTENSION,NO,,
51-16-04-26,0139-001-001,NGO,NO,,
51-16-04-26,0139-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
51-16-04-26,0139-001-001,LARGE SCALE FARMER,NO,,
51-16-04-26,0139-001-001,RADIO,NO,,
51-16-04-26,0139-001-001,PUBLICATION,NO,,
51-16-04-26,0139-001-001,NEIGHBOUR,NO,,
51-16-04-26,0139-001-001,OTHER (SPECIFY),NO,,
78-88-97-43,0140-002-001,GOVERNMENT EXTENSION,NO,,
78-88-97-43,0140-002-001,NGO,NO,,
78-88-97-43,0140-002-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
78-88-97-43,0140-002-001,LARGE SCALE FARMER,NO,,
78-88-97-43,0140-002-001,RADIO,NO,,
78-88-97-43,0140-002-001,PUBLICATION,NO,,
78-88-97-43,0140-002-001,NEIGHBOUR,NO,,
78-88-97-43,0140-002-001,OTHER (SPECIFY),NO,,
43-41-40-08,0142-001-001,GOVERNMENT EXTENSION,NO,,
43-41-40-08,0142-001-001,NGO,NO,,
43-41-40-08,0142-001-001,COOPERATIVE/FARMER'S ASSOCIATION,NO,,
43-41-40-08,0142-001-001,LARGE SCALE FARMER,NO,,
43-41-40-08,0142-001-001,RADIO,NO,,
43-41-40-08,0142-001-001,PUBLICATION,NO,,
43-41-40-08,0142-001-001,NEIGHBOUR,YES,NO,
43-41-40-08,0142-001-001,OTHER (SPECIFY),NO,,
18-32-58-97,0142-002-001,GOVERNMENT EXTENSION,,,
18-32-58-97,0142-002-001,NGO,,,
18-32-58-97,0142-002-001,COOPERATIVE/FARMER'S ASSOCIATION,,,
18-32-58-97,0142-002-001,LARGE SCALE FARMER,,,
18-32-58-97,0142-002-001,RADIO,,,
18-32-58-97,0142-002-001,PUBLICATION,,,
