interview__key,sdd_hhid,itemcode,hh_l01,hh_l02a,hh_l02b,hh_l03
42-84-07-76,0255-001-009,FINES OR LEGAL FEES,NO,,,
42-84-07-76,0255-001-009,BRIDE PRICE /MARRIAGE COSTS,YES,15000,,
42-84-07-76,0255-001-009,FUNERAL COSTS,YES,15000,,
42-84-07-76,0255-001-009,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
42-84-07-76,0255-001-009,REPAIRS TO CONSUMER DURABLES,NO,,,
42-84-07-76,0255-001-009,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
42-84-07-76,0255-001-009,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
42-84-07-76,0255-001-009,GARMENTS FOR MEN,NO,,,
42-84-07-76,0255-001-009,GARMENTS FOR WOMEN,YES,28000,,
42-84-07-76,0255-001-009,GARMENTS FOR CHILDREN & BABIES,YES,30000,,
42-84-07-76,0255-001-009,FOOTWEAR FOR MEN,NO,,,
42-84-07-76,0255-001-009,FOOTWEAR FOR WOMEN,NO,,,
42-84-07-76,0255-001-009,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
42-84-07-76,0255-001-009,"WOOD POLES, BAMBOO",YES,,120000,120000
42-84-07-76,0255-001-009,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
56-73-22-28,0257-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
56-73-22-28,0257-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",YES,20000,,
56-73-22-28,0257-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
56-73-22-28,0257-001-001,MOSQUITO NET,NO,,,
56-73-22-28,0257-001-001,MATTRESS,NO,,,
56-73-22-28,0257-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
56-73-22-28,0257-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
56-73-22-28,0257-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
56-73-22-28,0257-001-001,COUNCIL RATES,NO,,,
56-73-22-28,0257-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
56-73-22-28,0257-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
56-73-22-28,0257-001-001,FINES OR LEGAL FEES,NO,,,
56-73-22-28,0257-001-001,BRIDE PRICE /MARRIAGE COSTS,YES,50000,,
56-73-22-28,0257-001-001,FUNERAL COSTS,YES,35000,,
56-73-22-28,0257-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
56-73-22-28,0257-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
56-73-22-28,0257-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",YES,50000,,
56-73-22-28,0257-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
56-73-22-28,0257-001-001,GARMENTS FOR MEN,YES,80000,,
56-73-22-28,0257-001-001,GARMENTS FOR WOMEN,YES,130000,,
56-73-22-28,0257-001-001,GARMENTS FOR CHILDREN & BABIES,YES,250000,,
56-73-22-28,0257-001-001,FOOTWEAR FOR MEN,YES,15000,,
56-73-22-28,0257-001-001,FOOTWEAR FOR WOMEN,YES,25000,,
56-73-22-28,0257-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,45000,,
56-73-22-28,0257-001-001,"WOOD POLES, BAMBOO",NO,,,
56-73-22-28,0257-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
68-63-08-39,0259-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
68-63-08-39,0259-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
68-63-08-39,0259-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
68-63-08-39,0259-001-001,MOSQUITO NET,NO,,,
68-63-08-39,0259-001-001,MATTRESS,NO,,,
68-63-08-39,0259-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
68-63-08-39,0259-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
68-63-08-39,0259-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
68-63-08-39,0259-001-001,COUNCIL RATES,NO,,,
68-63-08-39,0259-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
68-63-08-39,0259-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
68-63-08-39,0259-001-001,FINES OR LEGAL FEES,NO,,,
68-63-08-39,0259-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
68-63-08-39,0259-001-001,FUNERAL COSTS,NO,,,
68-63-08-39,0259-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
68-63-08-39,0259-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
68-63-08-39,0259-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
68-63-08-39,0259-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
68-63-08-39,0259-001-001,GARMENTS FOR MEN,YES,50000,,
68-63-08-39,0259-001-001,GARMENTS FOR WOMEN,YES,25000,,
68-63-08-39,0259-001-001,GARMENTS FOR CHILDREN & BABIES,NO,,,
68-63-08-39,0259-001-001,FOOTWEAR FOR MEN,YES,30000,,
68-63-08-39,0259-001-001,FOOTWEAR FOR WOMEN,YES,9000,,
68-63-08-39,0259-001-001,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
68-63-08-39,0259-001-001,"WOOD POLES, BAMBOO",NO,,,
68-63-08-39,0259-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
51-99-35-71,0259-004-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
51-99-35-71,0259-004-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
51-99-35-71,0259-004-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
51-99-35-71,0259-004-001,MOSQUITO NET,NO,,,
51-99-35-71,0259-004-001,MATTRESS,NO,,,
51-99-35-71,0259-004-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
51-99-35-71,0259-004-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
51-99-35-71,0259-004-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
51-99-35-71,0259-004-001,COUNCIL RATES,NO,,,
51-99-35-71,0259-004-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
51-99-35-71,0259-004-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
51-99-35-71,0259-004-001,FINES OR LEGAL FEES,NO,,,
51-99-35-71,0259-004-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
51-99-35-71,0259-004-001,FUNERAL COSTS,YES,10000,,
51-99-35-71,0259-004-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
51-99-35-71,0259-004-001,REPAIRS TO CONSUMER DURABLES,NO,,,
51-99-35-71,0259-004-001,"TAXES FOR INCOME, PROPERTY, ETC.",YES,240000,,
51-99-35-71,0259-004-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
51-99-35-71,0259-004-001,GARMENTS FOR MEN,NO,,,
51-99-35-71,0259-004-001,GARMENTS FOR WOMEN,YES,32000,,
51-99-35-71,0259-004-001,GARMENTS FOR CHILDREN & BABIES,YES,30000,,
51-99-35-71,0259-004-001,FOOTWEAR FOR MEN,NO,,,
51-99-35-71,0259-004-001,FOOTWEAR FOR WOMEN,YES,7500,,
51-99-35-71,0259-004-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,15000,,
51-99-35-71,0259-004-001,"WOOD POLES, BAMBOO",NO,,,
51-99-35-71,0259-004-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
12-03-97-45,0260-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
12-03-97-45,0260-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
12-03-97-45,0260-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,YES,20000,,
12-03-97-45,0260-001-001,MOSQUITO NET,NO,,,
12-03-97-45,0260-001-001,MATTRESS,NO,,,
12-03-97-45,0260-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
12-03-97-45,0260-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
12-03-97-45,0260-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
12-03-97-45,0260-001-001,COUNCIL RATES,NO,,,
12-03-97-45,0260-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
12-03-97-45,0260-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
12-03-97-45,0260-001-001,FINES OR LEGAL FEES,NO,,,
12-03-97-45,0260-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
12-03-97-45,0260-001-001,FUNERAL COSTS,NO,,,
12-03-97-45,0260-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
12-03-97-45,0260-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
12-03-97-45,0260-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
12-03-97-45,0260-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
12-03-97-45,0260-001-001,GARMENTS FOR MEN,NO,,,
12-03-97-45,0260-001-001,GARMENTS FOR WOMEN,NO,,,
12-03-97-45,0260-001-001,GARMENTS FOR CHILDREN & BABIES,YES,35000,,
12-03-97-45,0260-001-001,FOOTWEAR FOR MEN,YES,15000,,
12-03-97-45,0260-001-001,FOOTWEAR FOR WOMEN,YES,5000,,
12-03-97-45,0260-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,12000,,
12-03-97-45,0260-001-001,"WOOD POLES, BAMBOO",NO,,,
12-03-97-45,0260-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
35-64-91-26,0261-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
35-64-91-26,0261-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",YES,70000,,
35-64-91-26,0261-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
35-64-91-26,0261-001-001,MOSQUITO NET,NO,,,
35-64-91-26,0261-001-001,MATTRESS,NO,,,
35-64-91-26,0261-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
35-64-91-26,0261-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
35-64-91-26,0261-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
35-64-91-26,0261-001-001,COUNCIL RATES,NO,,,
35-64-91-26,0261-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
35-64-91-26,0261-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
35-64-91-26,0261-001-001,FINES OR LEGAL FEES,NO,,,
35-64-91-26,0261-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
35-64-91-26,0261-001-001,FUNERAL COSTS,NO,,,
35-64-91-26,0261-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
35-64-91-26,0261-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
35-64-91-26,0261-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
35-64-91-26,0261-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
35-64-91-26,0261-001-001,GARMENTS FOR MEN,YES,50000,,
35-64-91-26,0261-001-001,GARMENTS FOR WOMEN,YES,50000,,
35-64-91-26,0261-001-001,GARMENTS FOR CHILDREN & BABIES,YES,120000,,
35-64-91-26,0261-001-001,FOOTWEAR FOR MEN,YES,10000,,
35-64-91-26,0261-001-001,FOOTWEAR FOR WOMEN,YES,30000,,
35-64-91-26,0261-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,60000,,
35-64-91-26,0261-001-001,"WOOD POLES, BAMBOO",NO,,,
35-64-91-26,0261-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
85-90-36-67,0261-001-002,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
85-90-36-67,0261-001-002,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
85-90-36-67,0261-001-002,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
85-90-36-67,0261-001-002,MOSQUITO NET,NO,,,
85-90-36-67,0261-001-002,MATTRESS,NO,,,
85-90-36-67,0261-001-002,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
85-90-36-67,0261-001-002,"FILM, FILM PROCESSING, CAMERA",NO,,,
85-90-36-67,0261-001-002,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
85-90-36-67,0261-001-002,COUNCIL RATES,NO,,,
85-90-36-67,0261-001-002,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
85-90-36-67,0261-001-002,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
85-90-36-67,0261-001-002,FINES OR LEGAL FEES,NO,,,
85-90-36-67,0261-001-002,BRIDE PRICE /MARRIAGE COSTS,NO,,,
85-90-36-67,0261-001-002,FUNERAL COSTS,NO,,,
85-90-36-67,0261-001-002,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
85-90-36-67,0261-001-002,REPAIRS TO CONSUMER DURABLES,NO,,,
85-90-36-67,0261-001-002,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
85-90-36-67,0261-001-002,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
85-90-36-67,0261-001-002,GARMENTS FOR MEN,NO,,,
85-90-36-67,0261-001-002,GARMENTS FOR WOMEN,YES,50000,,
85-90-36-67,0261-001-002,GARMENTS FOR CHILDREN & BABIES,YES,50000,,
85-90-36-67,0261-001-002,FOOTWEAR FOR MEN,NO,,,
85-90-36-67,0261-001-002,FOOTWEAR FOR WOMEN,YES,25000,,
85-90-36-67,0261-001-002,FOOTWEAR FOR CHILDREN AND BABIES,YES,25000,,
85-90-36-67,0261-001-002,"WOOD POLES, BAMBOO",NO,,,
85-90-36-67,0261-001-002,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
91-56-57-06,0262-001-002,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
91-56-57-06,0262-001-002,"LINEN - TOWELS, SHEETS, BLANKETS",YES,12000,,
91-56-57-06,0262-001-002,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
91-56-57-06,0262-001-002,MOSQUITO NET,NO,,,
91-56-57-06,0262-001-002,MATTRESS,NO,,,
91-56-57-06,0262-001-002,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
91-56-57-06,0262-001-002,"FILM, FILM PROCESSING, CAMERA",NO,,,
91-56-57-06,0262-001-002,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
91-56-57-06,0262-001-002,COUNCIL RATES,NO,,,
91-56-57-06,0262-001-002,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
91-56-57-06,0262-001-002,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
91-56-57-06,0262-001-002,FINES OR LEGAL FEES,NO,,,
91-56-57-06,0262-001-002,BRIDE PRICE /MARRIAGE COSTS,NO,,,
91-56-57-06,0262-001-002,FUNERAL COSTS,YES,50000,,
91-56-57-06,0262-001-002,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
91-56-57-06,0262-001-002,REPAIRS TO CONSUMER DURABLES,NO,,,
91-56-57-06,0262-001-002,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
91-56-57-06,0262-001-002,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
91-56-57-06,0262-001-002,GARMENTS FOR MEN,YES,100000,,
91-56-57-06,0262-001-002,GARMENTS FOR WOMEN,YES,25000,,
91-56-57-06,0262-001-002,GARMENTS FOR CHILDREN & BABIES,NO,,,
91-56-57-06,0262-001-002,FOOTWEAR FOR MEN,YES,30000,,
91-56-57-06,0262-001-002,FOOTWEAR FOR WOMEN,NO,,,
91-56-57-06,0262-001-002,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
91-56-57-06,0262-001-002,"WOOD POLES, BAMBOO",NO,,,
91-56-57-06,0262-001-002,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
89-92-90-61,0263-001-001,"CARPET, RUGS, DRAPES, CURTAINS",YES,100000,,
89-92-90-61,0263-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",YES,40000,,
89-92-90-61,0263-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
89-92-90-61,0263-001-001,MOSQUITO NET,YES,20000,,
89-92-90-61,0263-001-001,MATTRESS,YES,150000,,
89-92-90-61,0263-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",YES,50000,,
89-92-90-61,0263-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
89-92-90-61,0263-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
89-92-90-61,0263-001-001,COUNCIL RATES,YES,60000,,
89-92-90-61,0263-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",YES,150000,,
89-92-90-61,0263-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),YES,75000,,
89-92-90-61,0263-001-001,FINES OR LEGAL FEES,NO,,,
89-92-90-61,0263-001-001,BRIDE PRICE /MARRIAGE COSTS,YES,200000,,
89-92-90-61,0263-001-001,FUNERAL COSTS,YES,50000,,
89-92-90-61,0263-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
89-92-90-61,0263-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
89-92-90-61,0263-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",YES,20000,,
89-92-90-61,0263-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
89-92-90-61,0263-001-001,GARMENTS FOR MEN,YES,240000,,
89-92-90-61,0263-001-001,GARMENTS FOR WOMEN,YES,350000,,
89-92-90-61,0263-001-001,GARMENTS FOR CHILDREN & BABIES,YES,200000,,
89-92-90-61,0263-001-001,FOOTWEAR FOR MEN,YES,120000,,
89-92-90-61,0263-001-001,FOOTWEAR FOR WOMEN,YES,80000,,
89-92-90-61,0263-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,45000,,
89-92-90-61,0263-001-001,"WOOD POLES, BAMBOO",NO,,,
89-92-90-61,0263-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
73-66-70-99,0263-001-004,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
73-66-70-99,0263-001-004,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
73-66-70-99,0263-001-004,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
73-66-70-99,0263-001-004,MOSQUITO NET,NO,,,
73-66-70-99,0263-001-004,MATTRESS,NO,,,
73-66-70-99,0263-001-004,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",YES,12000,,
73-66-70-99,0263-001-004,"FILM, FILM PROCESSING, CAMERA",NO,,,
73-66-70-99,0263-001-004,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
73-66-70-99,0263-001-004,COUNCIL RATES,NO,,,
73-66-70-99,0263-001-004,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
73-66-70-99,0263-001-004,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
73-66-70-99,0263-001-004,FINES OR LEGAL FEES,NO,,,
73-66-70-99,0263-001-004,BRIDE PRICE /MARRIAGE COSTS,NO,,,
73-66-70-99,0263-001-004,FUNERAL COSTS,YES,30000,,
73-66-70-99,0263-001-004,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
73-66-70-99,0263-001-004,REPAIRS TO CONSUMER DURABLES,NO,,,
73-66-70-99,0263-001-004,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
73-66-70-99,0263-001-004,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
73-66-70-99,0263-001-004,GARMENTS FOR MEN,YES,45000,,
73-66-70-99,0263-001-004,GARMENTS FOR WOMEN,YES,54500,,
73-66-70-99,0263-001-004,GARMENTS FOR CHILDREN & BABIES,YES,65000,,
73-66-70-99,0263-001-004,FOOTWEAR FOR MEN,YES,15000,,
73-66-70-99,0263-001-004,FOOTWEAR FOR WOMEN,YES,21000,,
73-66-70-99,0263-001-004,FOOTWEAR FOR CHILDREN AND BABIES,YES,36000,,
73-66-70-99,0263-001-004,"WOOD POLES, BAMBOO",NO,,,
73-66-70-99,0263-001-004,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
07-23-75-51,0263-001-006,"CARPET, RUGS, DRAPES, CURTAINS",YES,5000,,
07-23-75-51,0263-001-006,"LINEN - TOWELS, SHEETS, BLANKETS",YES,36000,,
07-23-75-51,0263-001-006,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
07-23-75-51,0263-001-006,MOSQUITO NET,NO,,,
07-23-75-51,0263-001-006,MATTRESS,NO,,,
07-23-75-51,0263-001-006,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
07-23-75-51,0263-001-006,"FILM, FILM PROCESSING, CAMERA",NO,,,
07-23-75-51,0263-001-006,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",YES,600000,,
07-23-75-51,0263-001-006,COUNCIL RATES,NO,,,
07-23-75-51,0263-001-006,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
07-23-75-51,0263-001-006,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
07-23-75-51,0263-001-006,FINES OR LEGAL FEES,NO,,,
07-23-75-51,0263-001-006,BRIDE PRICE /MARRIAGE COSTS,NO,,,
07-23-75-51,0263-001-006,FUNERAL COSTS,NO,,,
07-23-75-51,0263-001-006,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
07-23-75-51,0263-001-006,REPAIRS TO CONSUMER DURABLES,NO,,,
07-23-75-51,0263-001-006,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
07-23-75-51,0263-001-006,REPAIRS & MAINTENANCE TO DWELLING,YES,250000,,
07-23-75-51,0263-001-006,GARMENTS FOR MEN,YES,100000,,
07-23-75-51,0263-001-006,GARMENTS FOR WOMEN,YES,80000,,
07-23-75-51,0263-001-006,GARMENTS FOR CHILDREN & BABIES,YES,70000,,
07-23-75-51,0263-001-006,FOOTWEAR FOR MEN,YES,60000,,
07-23-75-51,0263-001-006,FOOTWEAR FOR WOMEN,YES,25000,,
07-23-75-51,0263-001-006,FOOTWEAR FOR CHILDREN AND BABIES,YES,24000,,
07-23-75-51,0263-001-006,"WOOD POLES, BAMBOO",NO,,,
07-23-75-51,0263-001-006,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
72-76-27-22,0264-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
72-76-27-22,0264-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
72-76-27-22,0264-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
72-76-27-22,0264-001-001,MOSQUITO NET,YES,7000,,
72-76-27-22,0264-001-001,MATTRESS,NO,,,
72-76-27-22,0264-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
72-76-27-22,0264-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
72-76-27-22,0264-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
72-76-27-22,0264-001-001,COUNCIL RATES,NO,,,
72-76-27-22,0264-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
72-76-27-22,0264-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
72-76-27-22,0264-001-001,FINES OR LEGAL FEES,NO,,,
72-76-27-22,0264-001-001,BRIDE PRICE /MARRIAGE COSTS,YES,30000,,
72-76-27-22,0264-001-001,FUNERAL COSTS,YES,3000,,
72-76-27-22,0264-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
72-76-27-22,0264-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
72-76-27-22,0264-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
72-76-27-22,0264-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
72-76-27-22,0264-001-001,GARMENTS FOR MEN,YES,20000,,
72-76-27-22,0264-001-001,GARMENTS FOR WOMEN,YES,35000,,
72-76-27-22,0264-001-001,GARMENTS FOR CHILDREN & BABIES,YES,20000,,
72-76-27-22,0264-001-001,FOOTWEAR FOR MEN,YES,7000,,
72-76-27-22,0264-001-001,FOOTWEAR FOR WOMEN,YES,6000,,
72-76-27-22,0264-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,12000,,
72-76-27-22,0264-001-001,"WOOD POLES, BAMBOO",YES,,120000,120000
72-76-27-22,0264-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
96-22-42-95,0265-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
96-22-42-95,0265-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
96-22-42-95,0265-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
96-22-42-95,0265-001-001,MOSQUITO NET,NO,,,
96-22-42-95,0265-001-001,MATTRESS,NO,,,
96-22-42-95,0265-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
96-22-42-95,0265-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
96-22-42-95,0265-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
96-22-42-95,0265-001-001,COUNCIL RATES,NO,,,
96-22-42-95,0265-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
96-22-42-95,0265-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
96-22-42-95,0265-001-001,FINES OR LEGAL FEES,NO,,,
96-22-42-95,0265-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
96-22-42-95,0265-001-001,FUNERAL COSTS,NO,,,
96-22-42-95,0265-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
96-22-42-95,0265-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
96-22-42-95,0265-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
96-22-42-95,0265-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
96-22-42-95,0265-001-001,GARMENTS FOR MEN,NO,,,
