interview__key,sdd_hhid,hh_n01a,enterprise_id,hh_n02_2,hh_n02_3a,hh_n02_3,hh_n03_1,hh_n03_2,hh_n03_3,hh_n03_4,hh_n03_5,hh_n03_6,hh_n04a,hh_n04b,hh_n04_1,hh_n04_2,hh_n04_3,hh_n05_1,hh_n05_2,hh_n06,hh_n07_1,hh_n07_2,hh_n08_1,hh_n08_2,hh_n08_3,hh_n09_1,hh_n09_2,hh_n10,hh_n11,hh_n12,hh_n13_1,hh_n13_2,hh_n14_1,hh_n14_2,hh_n15,hh_n16,hh_n17,hh_n18,hh_n19,hh_n20,hh_n21_1,hh_n21_2,hh_n21_3,hh_n21_4
58-70-71-25,0203-001-002,YES,1,KUUZA NGUO,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",2,,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,1,6,OWN SAVINGS,,,FINAL CONSUMERS,,0,0,0,MONTH,0,MONTH,0,0,0,0,0,8,180000,NO,NO,NO,NO
85-27-88-94,0204-001-001,YES,1,KUUZA SAMBUSA,Accommodation and food service activities,RESTAURANTS AND MOBILE FOOD SERVICE ACTIVITIES,2,,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,0,8,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,20000,0,0,MONTH,0,MONTH,0,0,0,0,0,8,5000,NO,NO,NO,NO
85-27-88-94,0204-001-001,YES,2,DEREVA WA PIKIPIKI,Transportation and storage,OTHER LAND TRANSPORT,6,,,,,,6,,6,YES,,6,,NO FIXED LOCATION/MOBILE,2,6,OTHER (SPECIFY),,,FINAL CONSUMERS,,1800000,0,0,MONTH,580000,MONTH,180000,0,0,0,400000,12,200000,NO,YES,YES,NO
40-89-03-58,0204-001-009,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-87-80-64,0204-008-001,YES,1,DEREVA WA PIKIPIKI,Transportation and storage,OTHER LAND TRANSPORT,1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,4,6,OTHER (SPECIFY),,,FINAL CONSUMERS,,2000000,0,0,MONTH,450000,MONTH,150000,0,0,0,80000,12,200000,NO,YES,YES,NO
64-87-80-64,0204-008-001,YES,2,KUUZA POCHI MITAANI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",2,,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,0,11,OTHER (SPECIFY),,,FINAL CONSUMERS,,0,0,0,MONTH,0,MONTH,0,0,0,0,0,8,200000,NO,NO,NO,NO
58-88-28-93,0205-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83-06-62-27,0208-004-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79-05-47-33,0210-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-96-67-80,0210-002-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-75-06-50,0211-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-67-43-95,0211-006-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-03-77-61,0212-001-001,YES,1,KUCHOMELEA MAGETI,Construction,SPECIALIZED CONSTRUCTION ACTIVITIES,1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,25,12,OWN SAVINGS,,,FINAL CONSUMERS,,6000000,0,0,MONTH,650000,MONTH,400000,4,225000,0,250000,12,200000,NO,YES,NO,NO
80-82-58-54,0214-001-001,YES,1,HUDUMA YA SALOON YA KIKE,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,11,10,PROCEEDS FROM NON-AG BUSINESS,OWN SAVINGS,,FINAL CONSUMERS,,4000000,0,0,MONTH,320000,WEEK,180000,1,100000,0,35000,12,150000,NO,YES,YES,NO
47-56-60-71,0215-001-001,YES,1,"BIASHARA YA MIHOGO,","Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",2,,,,,,2,,2,YES,,2,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,2,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,20000,0,0,MONTH,107500,MONTH,60000,0,0,40000,7500,9,60000,NO,NO,NO,NO
47-56-60-71,0215-001-001,YES,2,FUNDI UJENZI.,Construction,CONSTRUCTION OF BUILDINGS,1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,7,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,50000,0,0,MONTH,170000,MONTH,150000,2,20000,0,0,7,120000,NO,NO,NO,NO
43-96-13-63,0216-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-90-11-27,0216-006-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-94-34-79,0217-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-85-44-36,0217-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58-92-13-43,0218-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60-79-06-82,0218-001-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-30-23-38,0218-001-003,YES,1,FUNDI SEREMALA.,Manufacturing,"MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES OF STRAW AND PLAITING MATERIALS",4,,,,,,4,,4,YES,,4,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,5,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,2000000,300000,500000,MONTH,660000,MONTH,200000,2,60000,200000,0,12,200000,NO,NO,NO,NO
06-92-75-91,0218-001-005,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-66-63-47,0219-001-001,YES,1,SALUNI YA KIKE (MSUSI),Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,1,,,,,,1,,1,YES,,1,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,19,6,LOAN FROM MONEY LENDER,,,FINAL CONSUMERS,,300000,17000,0,MONTH,300000,MONTH,250000,0,0,40000,10000,12,250000,NO,NO,YES,NO
32-61-13-34,0219-005-001,YES,1,FUNDI KOMPUTA,Other service activities,REPAIR OF COMPUTERS AND PERSONAL AND HOUSEHOLD GOODS,1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,8,3,OWN SAVINGS,,,FINAL CONSUMERS,,900000,50000,0,MONTH,400000,MONTH,390000,0,0,0,10000,12,400000,YES,YES,YES,NO
97-60-22-72,0220-001-001,YES,1,FUNDI SEREMALA,Manufacturing,MANUFACTURE OF FURNITURE,1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,25,2,GIFT FROM FAMILY/FRIENDS,OWN SAVINGS,,FINAL CONSUMERS,,260000,0,0,MONTH,550000,MONTH,450000,0,0,100000,0,12,320000,NO,NO,NO,NO
00-92-63-48,0220-001-003,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-53-90-07,0220-001-006,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-82-11-64,0220-001-007,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75-78-20-22,0220-001-008,YES,1,BIASHARA YA CHAPATI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL SALE OF FOOD, BEVERAGES AND TOBACCO IN SPECIALIZED STORES",1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,0,4,OWN SAVINGS,GIFT FROM FAMILY/FRIENDS,,FINAL CONSUMERS,,45000,0,1500,WEEK,290000,MONTH,180000,0,0,65000,45000,4,180000,NO,NO,NO,NO
93-34-26-43,0221-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77-56-32-86,0222-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67-31-73-27,0223-001-001,YES,1,DUKA LA VIPODOZI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",1,2,,,,,1,2,2,YES,,1,2,PERMANENT BLDG. OTHER THAN HOME,7,8,OWN SAVINGS,,,FINAL CONSUMERS,,380000,0,4000000,MONTH,200000,MONTH,132000,1,60000,0,8000,12,100000,NO,YES,YES,NO
33-67-18-79,0224-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84-84-63-90,0225-001-001,YES,1,FUNDI CHEREHANI,Manufacturing,MANUFACTURE OF WEARING APPAREL,2,,,,,,2,,2,YES,,2,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,24,4,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,650000,50000,175000,MONTH,250000,MONTH,190000,0,0,60000,0,12,230000,NO,NO,NO,NO
72-31-02-65,0225-001-003,YES,1,BIASHARA YA MUHOGO WA KUKAANGA,Accommodation and food service activities,EVENT CATERING AND OTHER FOOD SERVICE ACTIVITIES,2,3,,,,,2,3,3,YES,,2,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,5,0,OWN SAVINGS,LOAN FROM MONEY LENDER,,FINAL CONSUMERS,,40000,12000,4000,WEEK,210000,WEEK,70000,0,0,600000,60000,12,240000,NO,NO,NO,NO
19-92-84-46,0226-001-001,YES,1,KUUZA VITENGE,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",2,,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,18,0,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,0,0,0,MONTH,800000,MONTH,350000,0,0,0,0,9,380000,NO,NO,NO,NO
29-59-86-09,0228-001-003,YES,1,DEREVA WA PIKIPIKI,Transportation and storage,OTHER LAND TRANSPORT,1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,3,4,OTHER (SPECIFY),,,FINAL CONSUMERS,,2200000,0,0,MONTH,650000,MONTH,350000,0,0,0,140000,12,300000,NO,YES,YES,NO
45-35-51-47,0228-001-004,YES,1,KUUZA CD ZA PICHA,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,2,6,LOAN FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,0,0,45000,MONTH,220000,MONTH,80000,0,0,0,20000,12,150000,NO,NO,NO,NO
54-34-22-32,0228-001-005,YES,1,KUUZA GENGE LA VITU VIDOGOVIDOGO,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",8,,,,,,8,,8,YES,,8,,W/IN OWN OR BUS. PARTNER'S HOME - WITHOUT SPECIAL BUS. SPACE,1,4,LOAN FROM MONEY LENDER,PROCEEDS FROM NON-AG BUSINESS,GIFT FROM FAMILY/FRIENDS,FINAL CONSUMERS,,25000,0,0,MONTH,0,MONTH,0,0,0,0,0,8,240000,NO,NO,NO,NO
64-31-82-27,0228-001-006,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-07-10-97,0230-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-61-33-27,0231-001-001,YES,1,FUNDI RANGI MAJUMBANI.,Construction,CONSTRUCTION OF BUILDINGS,1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,28,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,20000,0,0,MONTH,150000,MONTH,150000,0,0,0,0,12,150000,NO,NO,NO,NO
32-98-50-34,0232-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70-97-13-97,0232-001-002,YES,1,KUTENGENEZA MZIKI  (MUSIC PRODUCER ),Arts; entertainment and recreation,"CREATIVE, ARTS AND ENTERTAINMENT ACTIVITIES",1,,,,,,1,,1,YES,,1,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,5,2,GIFT FROM FAMILY/FRIENDS,,,MANUFACTURERS,,12000000,0,0,MONTH,900000,MONTH,850000,0,0,0,50000,12,800000,NO,YES,NO,NO
16-71-73-07,0233-001-001,YES,1,BIASHARA YA DUKA,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE IN NON-SPECIALIZED STORES,2,,,,,,2,,1,NO,NOT AVAILABLE DURING TIME IN EA,2,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,7,0,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,1200000,0,400000,WEEK,350000,WEEK,100000,0,0,0,30000,12,400000,NO,YES,NO,NO
88-13-25-26,0235-001-002,YES,1,FUNDI KUSHONA NGUO,Manufacturing,MANUFACTURE OF WEARING APPAREL,3,,,,,,3,,3,YES,,3,,PERMANENT BLDG. OTHER THAN HOME,0,8,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,50000,5000,0,MONTH,90000,MONTH,50000,0,0,20000,20000,8,50000,NO,NO,NO,NO
93-28-19-25,0236-005-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-93-36-62,0238-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81-08-56-98,0239-001-001,YES,1,BIASHARA YA DUKA LA BIDHAA MCHANGANYIKO,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE VIA STALLS AND MARKETS,1,,,,,,1,,1,YES,,1,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,4,8,OWN SAVINGS,,,FINAL CONSUMERS,,850000,0,1100000,MONTH,1200000,MONTH,300000,0,0,0,15000,12,300000,NO,YES,YES,NO
32-58-01-01,0239-001-004,YES,1,BIASHARA  YA  BODABODA,Transportation and storage,URBAN AND SUBURBAN PASSENGER LAND TRANSPORT,1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,0,6,SALE OF ASSETS OWNED,,,FINAL CONSUMERS,,1300000,0,0,MONTH,140000,MONTH,130000,1,0,0,0,6,130000,NO,NO,NO,NO
47-72-46-38,0239-106-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-82-44-02,0240-001-001,YES,1,FUNDI KOMPYUTA,Manufacturing,REPAIR AND INSTALLATION OF MACHINERY AND EQUIPMENT,1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,6,5,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,150000,0,0,MONTH,600000,MONTH,400000,0,0,0,20000,12,400000,NO,YES,YES,NO
02-85-17-16,0241-001-001,YES,1,KUPIKA NA KUUZA SUPU,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",1,,,,,,1,,1,YES,,1,,"VEHICLE, CART, TEMP. STALL - IN MARKET",16,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,65000,0,0,MONTH,3000000,MONTH,600000,2,300000,1800000,300000,12,500000,NO,NO,NO,NO
99-85-97-80,0242-001-001,YES,1,BIASHARA YA DALADALA,Transportation and storage,URBAN AND SUBURBAN PASSENGER LAND TRANSPORT,1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,6,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,36000000,0,0,WEEK,350000,WEEK,350000,2,0,0,0,12,1000000,NO,YES,NO,NO
05-26-99-01,0243-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-44-88-45,0244-001-001,YES,1,BIASHARA YA BODABODA,Transportation and storage,OTHER LAND TRANSPORT,1,2,,,,,1,2,2,YES,,1,2,OTHER TEMPORARY STRUCTURE,0,6,OWN SAVINGS,,,FINAL CONSUMERS,,0,0,0,WEEK,196000,WEEK,140000,2,300000,0,56000,6,250000,NO,NO,YES,NO
42-03-35-97,0247-001-001,YES,1,KUOSHA  MAGARI,Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,3,,,,,,3,,3,YES,,3,,OTHER TEMPORARY STRUCTURE,8,2,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,10000,5000,0,MONTH,100000,MONTH,60000,0,0,40000,0,12,80000,NO,NO,NO,NO
42-03-35-97,0247-001-001,YES,2,FUNDI MCHUNDO,Manufacturing,"MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT",6,,,,,,6,,6,YES,,6,,FIXED STALL/ KIOSK - STREET,0,6,OWN SAVINGS,,,FINAL CONSUMERS,SMALL BUSINESS,560000,160000,750000,MONTH,890000,MONTH,350000,2,120000,420000,45000,12,375000,NO,NO,NO,NO
29-56-58-07,0249-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-43-87-43,0251-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,YES,1,KUUZA MIHOGO,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL SALE OF FOOD, BEVERAGES AND TOBACCO IN SPECIALIZED STORES",2,,,,,,2,,2,YES,,2,,OTHER TEMPORARY STRUCTURE,0,6,OWN SAVINGS,,,FINAL CONSUMERS,,5500,0,0,WEEK,196000,WEEK,56000,0,0,0,0,6,0,NO,NO,NO,NO
47-10-37-20,0253-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-56-64-74,0254-001-001,YES,1,FUNDI WA KUTENGENEZA VIFAA VINAVYOTUMIA UMEME,Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,8,2,OWN SAVINGS,,,FINAL CONSUMERS,,1000000,0,0,WEEK,160000,WEEK,140000,0,0,0,20000,12,600000,NO,YES,YES,NO
11-56-64-74,0254-001-001,YES,2,BIASHARA YA KUUZA UJI,Accommodation and food service activities,RESTAURANTS AND MOBILE FOOD SERVICE ACTIVITIES,2,,,,,,2,,2,YES,,2,,NO FIXED LOCATION/MOBILE,12,9,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,180000,10000,0,WEEK,108000,WEEK,48000,0,0,48000,24000,12,192000,NO,NO,NO,NO
66-44-07-30,0255-001-001,YES,1,DUKA LA VIFAA VYA PIKIPIKI.,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,0,8,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,8000000,0,7000000,MONTH,3000000,MONTH,300000,1,280000,2370000,50000,8,300000,NO,NO,NO,NO
42-84-07-76,0255-001-009,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-73-22-28,0257-001-001,YES,1,DALALI WA BIDHAA MBALIMBALI SOKONI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","WHOLESALE TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",1,,,,,,1,,1,YES,,1,,FIXED STALL/KIOSK - IN MARKET,20,3,NO START-UP COST,,,SMALL BUSINESS,,0,0,0,WEEK,900000,WEEK,900000,0,0,0,0,12,1500000,NO,YES,NO,NO
56-73-22-28,0257-001-001,YES,2,BIASHARA YA DUKA LA BIDHAA MCHANGANYIKO,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE VIA STALLS AND MARKETS,1,2,,,,,1,2,2,YES,,1,2,PERMANENT BLDG. OTHER THAN HOME,9,2,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,650000,0,3000000,WEEK,1050000,WEEK,105000,0,0,0,10000,12,400000,NO,YES,YES,NO
68-63-08-39,0259-001-001,YES,1,BIASHARA YA MAMA NTILIE,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL SALE OF FOOD, BEVERAGES AND TOBACCO IN SPECIALIZED STORES",2,,,,,,2,,1,NO,REFUSED,2,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,1,3,OWN SAVINGS,,,FINAL CONSUMERS,,,,,,,,,,,,,,,NO,NO,NO,NO
51-99-35-71,0259-004-001,YES,1,BIASHARA YA SAMAKI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL SALE OF FOOD, BEVERAGES AND TOBACCO IN SPECIALIZED STORES",1,,,,,,1,,1,YES,,1,,"VEHICLE, CART, TEMP. STALL - IN MARKET",4,11,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,81000,0,150000,WEEK,639000,WEEK,60000,0,0,0,72000,12,360000,NO,YES,NO,NO
12-03-97-45,0260-001-001,YES,1,BIASHARA YA MAANDAZI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL SALE OF FOOD, BEVERAGES AND TOBACCO IN SPECIALIZED STORES",1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,5,2,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,35000,0,0,WEEK,42000,WEEK,14000,0,0,0,14000,8,60000,NO,NO,NO,NO
12-03-97-45,0260-001-001,YES,2,BIASHARA YA DAWA YA MADOA,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,0,8,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,15000,0,30000,WEEK,90000,WEEK,60000,0,0,0,0,8,240000,NO,NO,NO,NO
35-64-91-26,0261-001-001,YES,1,KUUZA SAA ZA MKONONI,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE IN NON-SPECIALIZED STORES,4,,,,,,4,,4,YES,,4,,FIXED STALL/KIOSK - IN MARKET,12,12,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,400000,0,1200000,MONTH,4500000,WEEK,600000,3,750000,0,0,12,600000,NO,NO,YES,NO
35-64-91-26,0261-001-001,YES,2,SALUNI YA KIKE,Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,1,,,,,,1,,1,YES,,1,,PERMANENT BLDG. OTHER THAN HOME,0,2,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,0,0,0,WEEK,50000,WEEK,40000,0,0,0,10000,2,320000,NO,NO,YES,NO
85-90-36-67,0261-001-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91-56-57-06,0262-001-002,YES,1,KUUZA NGUO,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",5,,,,,,5,,5,YES,,5,,NO FIXED LOCATION/MOBILE,1,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,15000,0,0,MONTH,320000,MONTH,80000,0,0,240000,0,12,80000,NO,NO,NO,NO
91-56-57-06,0262-001-002,YES,2,FUNDI SIMU,Other service activities,OTHER PERSONAL SERVICE ACTIVITIES,3,,,,,,3,,3,YES,,3,,"VEHICLE, CART, TEMP. STALL - IN MARKET",2,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,30000,0,0,WEEK,35000,WEEK,35000,0,0,0,0,12,120000,NO,NO,NO,NO
89-92-90-61,0263-001-001,YES,1,VIFAA VYA UJENZI,"Wholesale and retail trade, repair of motor vehicles and motorcycles",RETAIL SALE OF OTHER HOUSEHOLD EQUIPMENT IN SPECIALIZED STORES,2,,,,,,2,,2,YES,,2,,PERMANENT BLDG. OTHER THAN HOME,2,0,GIFT FROM FAMILY/FRIENDS,,,FINAL CONSUMERS,,250000,0,15000000,MONTH,1200000,MONTH,288000,1,80000,822000,10000,12,300000,NO,YES,NO,NO
73-66-70-99,0263-001-004,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-23-75-51,0263-001-006,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72-76-27-22,0264-001-001,YES,1,KUUZA NGUO,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",1,,,,,,1,,1,YES,,1,,NO FIXED LOCATION/MOBILE,3,0,PROCEEDS FROM NON-AG BUSINESS,,,FINAL CONSUMERS,,50000,0,20000,MONTH,560000,MONTH,160000,0,0,400000,0,12,120000,NO,NO,NO,NO
96-22-42-95,0265-001-001,YES,1,KUUZA MIHOGO YA KUKAANGA,Accommodation and food service activities,FOOD AND BEVERAGE SERVICE ACTIVITIES,2,,,,,,2,,2,YES,,2,,PERMANENT BLDG. OTHER THAN HOME,1,2,OWN SAVINGS,,,FINAL CONSUMERS,,20000,8000,0,WEEK,140000,WEEK,35000,0,0,420000,0,12,140000,NO,NO,NO,NO
21-28-91-77,0266-001-001,YES,1,KUUZA MAKUTI,"Wholesale and retail trade, repair of motor vehicles and motorcycles","RETAIL TRADE NOT IN STORES, STALLS OR MARKETS",1,,,,,,1,,1,YES,,1,,W/IN OWN OR BUS. PARTNER'S HOME - WITH SPECIAL BUS. SPACE,7,2,OWN SAVINGS,,,FINAL CONSUMERS,,45000,0,0,MONTH,30000,MONTH,30000,0,0,0,0,7,25000,NO,NO,NO,NO
08-95-27-37,0267-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-07-21-94,0267-001-003,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-93-73-52,0267-001-005,YES,1,BODABODA,Transportation and storage,URBAN AND SUBURBAN PASSENGER LAND TRANSPORT,1,,,,,,1,,1,YES,,1,,OTHER (SPECIFY),5,4,LOAN FROM MONEY LENDER,,,FINAL CONSUMERS,,2000000,0,0,MONTH,400000,MONTH,300000,0,0,0,100000,12,300000,NO,NO,YES,NO
