interview__key,sdd_hhid,sdd_indid,asset_id,hh_g201,asset_no,hh_g202,hh_g203,hh_g204,hh_g205,hh_g206_1,hh_g206_2,hh_g206_3,hh_g207,hh_g208a,hh_g208b,hh_g209_1,hh_g209_2,hh_g209_3,hh_g210a,hh_g210b,hh_g211,hh_g212,hh_g213,hh_g214_1,hh_g214_2,hh_g214_3
18-41-40-51,0093-001-001,3,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
74-00-49-61,0102-001-003,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,0,NO,,,,
74-00-49-61,0102-001-003,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
74-00-49-61,0102-001-003,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
74-00-49-61,0102-001-003,2,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
74-00-49-61,0102-001-003,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
51-54-44-86,0108-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
51-54-44-86,0108-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,30000,NO,,,,
51-54-44-86,0108-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
51-54-44-86,0108-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
51-54-44-86,0108-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
49-60-00-77,0112-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
49-60-00-77,0112-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,260000,NO,,,,
49-60-00-77,0112-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
49-60-00-77,0112-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
49-60-00-77,0112-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,100000,NO,,,,
38-83-27-01,0123-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,175000,NO,,,,
38-83-27-01,0123-001-001,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,2,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,3,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,3,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,3,,,0,0,150000,NO,,,,
38-83-27-01,0123-001-001,3,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,3,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,3,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
59-55-68-20,0126-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
59-55-68-20,0126-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,2,0,50000,NO,,,,
59-55-68-20,0126-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
59-55-68-20,0126-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
59-55-68-20,0126-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
59-55-68-20,0126-001-001,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
59-55-68-20,0126-001-001,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
59-55-68-20,0126-001-001,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
59-55-68-20,0126-001-001,2,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,4,26,DO NOT KNOW,NO,,,,
59-55-68-20,0126-001-001,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
32-50-39-98,0126-001-003,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
32-50-39-98,0126-001-003,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,30000,NO,,,,
32-50-39-98,0126-001-003,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
32-50-39-98,0126-001-003,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
32-50-39-98,0126-001-003,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
32-50-39-98,0126-001-003,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
32-50-39-98,0126-001-003,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,1,0,100000,NO,,,,
32-50-39-98,0126-001-003,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
32-50-39-98,0126-001-003,2,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
32-50-39-98,0126-001-003,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
20-77-46-74,0127-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
20-77-46-74,0127-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,2000000,NO,,,,
20-77-46-74,0127-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
20-77-46-74,0127-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
20-77-46-74,0127-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
40-08-98-18,0127-003-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
40-08-98-18,0127-003-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,400000,NO,,,,
40-08-98-18,0127-003-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
40-08-98-18,0127-003-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
40-08-98-18,0127-003-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
48-18-47-32,0127-005-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
48-18-47-32,0127-005-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
48-18-47-32,0127-005-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
48-18-47-32,0127-005-001,1,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,,,,NO,,,1,,,5,20,13000000,NO,,,,
48-18-47-32,0127-005-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
71-99-12-22,0129-004-003,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
71-99-12-22,0129-004-003,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,10000,NO,,,,
71-99-12-22,0129-004-003,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
71-99-12-22,0129-004-003,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
71-99-12-22,0129-004-003,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
22-45-37-86,0146-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
22-45-37-86,0146-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
22-45-37-86,0146-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
22-45-37-86,0146-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
22-45-37-86,0146-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
22-45-37-86,0146-001-001,12,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
22-45-37-86,0146-001-001,12,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,12,,,0,0,REFUSE TO ANSWER,NO,,,,
22-45-37-86,0146-001-001,12,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
22-45-37-86,0146-001-001,12,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
22-45-37-86,0146-001-001,12,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
44-69-89-77,0146-001-003,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
44-69-89-77,0146-001-003,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,86000,NO,,,,
44-69-89-77,0146-001-003,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
44-69-89-77,0146-001-003,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
44-69-89-77,0146-001-003,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
64-63-77-61,0146-001-007,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
64-63-77-61,0146-001-007,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,50000,NO,,,,
64-63-77-61,0146-001-007,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
64-63-77-61,0146-001-007,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
64-63-77-61,0146-001-007,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
52-34-01-68,0151-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
52-34-01-68,0151-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,12000,NO,,,,
52-34-01-68,0151-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,240000,NO,,,,
52-34-01-68,0151-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
52-34-01-68,0151-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
52-34-01-68,0151-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
52-34-01-68,0151-001-001,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
52-34-01-68,0151-001-001,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,10000,NO,,,,
52-34-01-68,0151-001-001,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
52-34-01-68,0151-001-001,2,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
52-34-01-68,0151-001-001,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
04-30-93-81,0157-001-001,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
04-30-93-81,0157-001-001,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,72600,NO,,,,
04-30-93-81,0157-001-001,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
04-30-93-81,0157-001-001,2,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
04-30-93-81,0157-001-001,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
88-54-76-45,0159-001-002,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
88-54-76-45,0159-001-002,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
88-54-76-45,0159-001-002,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
88-54-76-45,0159-001-002,2,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,75000,NO,,,,
88-54-76-45,0159-001-002,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
88-54-76-45,0159-001-002,6,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
88-54-76-45,0159-001-002,6,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,6,,,0,0,100000,NO,,,,
88-54-76-45,0159-001-002,6,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
88-54-76-45,0159-001-002,6,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
88-54-76-45,0159-001-002,6,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
22-99-30-42,0159-001-003,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
22-99-30-42,0159-001-003,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,123000,NO,,,,
22-99-30-42,0159-001-003,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
22-99-30-42,0159-001-003,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
22-99-30-42,0159-001-003,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
38-35-31-19,0160-002-001,3,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
38-35-31-19,0160-002-001,3,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,3,,,0,0,REFUSE TO ANSWER,NO,,,,
38-35-31-19,0160-002-001,3,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
38-35-31-19,0160-002-001,3,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
38-35-31-19,0160-002-001,3,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
23-91-88-28,0172-004-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
23-91-88-28,0172-004-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
23-91-88-28,0172-004-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
23-91-88-28,0172-004-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
23-91-88-28,0172-004-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
23-91-88-28,0172-004-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
73-57-62-18,0173-003-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
73-57-62-18,0173-003-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,2,0,200000,NO,,,,
73-57-62-18,0173-003-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
73-57-62-18,0173-003-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
73-57-62-18,0173-003-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
80-22-80-03,0175-003-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
80-22-80-03,0175-003-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
80-22-80-03,0175-003-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
80-22-80-03,0175-003-001,1,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,400000,NO,,,,
80-22-80-03,0175-003-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
05-54-45-31,0175-014-001,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
05-54-45-31,0175-014-001,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
05-54-45-31,0175-014-001,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
05-54-45-31,0175-014-001,2,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,100000,NO,,,,
05-54-45-31,0175-014-001,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
80-93-48-57,0177-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
80-93-48-57,0177-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,20000,NO,,,,
80-93-48-57,0177-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
80-93-48-57,0177-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
80-93-48-57,0177-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
97-03-71-43,0179-001-003,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
97-03-71-43,0179-001-003,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,350000,NO,,,,
97-03-71-43,0179-001-003,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
97-03-71-43,0179-001-003,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
97-03-71-43,0179-001-003,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
26-41-59-49,0180-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
26-41-59-49,0180-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,REFUSE TO ANSWER,NO,,,,
26-41-59-49,0180-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
26-41-59-49,0180-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
26-41-59-49,0180-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
40-26-23-74,0182-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
40-26-23-74,0182-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,35000,NO,,,,
40-26-23-74,0182-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
40-26-23-74,0182-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
40-26-23-74,0182-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
80-57-22-37,0186-003-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
80-57-22-37,0186-003-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
80-57-22-37,0186-003-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
80-57-22-37,0186-003-001,1,INFORMAL SAVINGS PROGRAM/CLUB,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,200000,NO,,,,
80-57-22-37,0186-003-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
15-56-66-55,0186-004-001,2,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
15-56-66-55,0186-004-001,2,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,2,,,0,0,DO NOT KNOW,NO,,,,
15-56-66-55,0186-004-001,2,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
15-56-66-55,0186-004-001,2,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
15-56-66-55,0186-004-001,2,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
22-19-42-39,0188-001-001,1,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
22-19-42-39,0188-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,10000,NO,,,,
22-19-42-39,0188-001-001,1,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,YES,FA2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,DO NOT KNOW,NO,,,,
22-19-42-39,0188-001-001,1,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
22-19-42-39,0188-001-001,1,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
22-19-42-39,0188-001-001,1,OTHER (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,
66-54-30-86,0195-001-001,4,FORMAL BANK/CREDIT UNION/CHECKING ACCOUNT,YES,FA1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,,1,,,0,0,5000,NO,,,,
66-54-30-86,0195-001-001,4,FORMAL BANK/CREDIT UNION/SAVINGS ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
66-54-30-86,0195-001-001,4,MICROFINANCE ACCOUNT,NO,,,,,,,,,,,,,,,,,,,,,,
66-54-30-86,0195-001-001,4,INFORMAL SAVINGS PROGRAM/CLUB,NO,,,,,,,,,,,,,,,,,,,,,,
