interview__key,sdd_hhid,lvstckid,lf03_01,lf03_02_1,lf03_02_2,lf03_02_3,lf03_02_4,lf03_03,lf03_04,lf03_05_1,lf03_05_2,lf03_05_3,lf03_05_4,lf03_06,lf03_07,lf03_08,lf03_09,lf03_10,lf03_11,lf03_12,lf03_13,lf03_14
72-31-02-65,0225-001-003,POULTRY,,,,,,,,,,,,,,,,,,,,
72-31-02-65,0225-001-003,DONKEYS,,,,,,,,,,,,,,,,,,,,
72-31-02-65,0225-001-003,DOGS,,,,,,,,,,,,,,,,,,,,
19-92-84-46,0226-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
19-92-84-46,0226-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
19-92-84-46,0226-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
19-92-84-46,0226-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
19-92-84-46,0226-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
19-92-84-46,0226-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
29-59-86-09,0228-001-003,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
29-59-86-09,0228-001-003,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
29-59-86-09,0228-001-003,PIGS,,,,,,,,,,,,,,,,,,,,
29-59-86-09,0228-001-003,POULTRY,,,,,,,,,,,,,,,,,,,,
29-59-86-09,0228-001-003,DONKEYS,,,,,,,,,,,,,,,,,,,,
29-59-86-09,0228-001-003,DOGS,,,,,,,,,,,,,,,,,,,,
45-35-51-47,0228-001-004,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
45-35-51-47,0228-001-004,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
45-35-51-47,0228-001-004,PIGS,,,,,,,,,,,,,,,,,,,,
45-35-51-47,0228-001-004,POULTRY,,,,,,,,,,,,,,,,,,,,
45-35-51-47,0228-001-004,DONKEYS,,,,,,,,,,,,,,,,,,,,
45-35-51-47,0228-001-004,DOGS,,,,,,,,,,,,,,,,,,,,
54-34-22-32,0228-001-005,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
54-34-22-32,0228-001-005,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
54-34-22-32,0228-001-005,PIGS,,,,,,,,,,,,,,,,,,,,
54-34-22-32,0228-001-005,POULTRY,,,,,,,,,,,,,,,,,,,,
54-34-22-32,0228-001-005,DONKEYS,,,,,,,,,,,,,,,,,,,,
54-34-22-32,0228-001-005,DOGS,,,,,,,,,,,,,,,,,,,,
64-31-82-27,0228-001-006,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
64-31-82-27,0228-001-006,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
64-31-82-27,0228-001-006,PIGS,,,,,,,,,,,,,,,,,,,,
64-31-82-27,0228-001-006,POULTRY,,,,,,,,,,,,,,,,,,,,
64-31-82-27,0228-001-006,DONKEYS,,,,,,,,,,,,,,,,,,,,
64-31-82-27,0228-001-006,DOGS,,,,,,,,,,,,,,,,,,,,
36-07-10-97,0230-001-001,LARGE RUMINANTS,YES,GOMBORO (GUMBORO),,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),GOMBORO (GUMBORO),,,,NO,,NO,,NO,,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,18000
36-07-10-97,0230-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
36-07-10-97,0230-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
36-07-10-97,0230-001-001,POULTRY,YES,NEW CASTLE DISEASE (KIDELI/MDONDO),SMALL POX (NDUI),,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),NEW CASTLE DISEASE (KIDELI/MDONDO),SMALL POX (NDUI),,,NO,,,,,,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,204000
36-07-10-97,0230-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
36-07-10-97,0230-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
17-61-33-27,0231-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
17-61-33-27,0231-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
17-61-33-27,0231-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
17-61-33-27,0231-001-001,POULTRY,YES,GOMBORO (GUMBORO),,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),NEW CASTLE DISEASE (KIDELI/MDONDO),GOMBORO (GUMBORO),,,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,,,,,NO,,30000
17-61-33-27,0231-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
17-61-33-27,0231-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
32-98-50-34,0232-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
32-98-50-34,0232-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
32-98-50-34,0232-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
32-98-50-34,0232-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
32-98-50-34,0232-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
32-98-50-34,0232-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
70-97-13-97,0232-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
70-97-13-97,0232-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
70-97-13-97,0232-001-002,PIGS,,,,,,,,,,,,,,,,,,,,
70-97-13-97,0232-001-002,POULTRY,,,,,,,,,,,,,,,,,,,,
70-97-13-97,0232-001-002,DONKEYS,,,,,,,,,,,,,,,,,,,,
70-97-13-97,0232-001-002,DOGS,,,,,,,,,,,,,,,,,,,,
16-71-73-07,0233-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
16-71-73-07,0233-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
16-71-73-07,0233-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
16-71-73-07,0233-001-001,POULTRY,YES,NEW CASTLE DISEASE (KIDELI/MDONDO),,,,"YES, SOME",OTHER (SPECIFY),NEW CASTLE DISEASE (KIDELI/MDONDO),,,,"YES, SOME",THE HOUSEHOLD,,,,,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,15000
16-71-73-07,0233-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
16-71-73-07,0233-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
88-13-25-26,0235-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
88-13-25-26,0235-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
88-13-25-26,0235-001-002,PIGS,,,,,,,,,,,,,,,,,,,,
88-13-25-26,0235-001-002,POULTRY,,,,,,,,,,,,,,,,,,,,
88-13-25-26,0235-001-002,DONKEYS,,,,,,,,,,,,,,,,,,,,
88-13-25-26,0235-001-002,DOGS,,,,,,,,,,,,,,,,,,,,
93-28-19-25,0236-005-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
93-28-19-25,0236-005-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
93-28-19-25,0236-005-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
93-28-19-25,0236-005-001,POULTRY,YES,NOT SICK,,,,"YES, ALL ANIMALS AT LEAST ONCE",DISTRICT VET CLINIC,NEW CASTLE DISEASE (KIDELI/MDONDO),SMALL POX (NDUI),,,NO,,,,,,"YES, SOME",DISTRICT VET CLINIC,0
93-28-19-25,0236-005-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
93-28-19-25,0236-005-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
38-93-36-62,0238-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
38-93-36-62,0238-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
38-93-36-62,0238-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
38-93-36-62,0238-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
38-93-36-62,0238-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
38-93-36-62,0238-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
81-08-56-98,0239-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
81-08-56-98,0239-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
81-08-56-98,0239-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
81-08-56-98,0239-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
81-08-56-98,0239-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
81-08-56-98,0239-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
32-58-01-01,0239-001-004,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
32-58-01-01,0239-001-004,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
32-58-01-01,0239-001-004,PIGS,,,,,,,,,,,,,,,,,,,,
32-58-01-01,0239-001-004,POULTRY,,,,,,,,,,,,,,,,,,,,
32-58-01-01,0239-001-004,DONKEYS,,,,,,,,,,,,,,,,,,,,
32-58-01-01,0239-001-004,DOGS,,,,,,,,,,,,,,,,,,,,
47-72-46-38,0239-106-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
47-72-46-38,0239-106-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
47-72-46-38,0239-106-001,PIGS,,,,,,,,,,,,,,,,,,,,
47-72-46-38,0239-106-001,POULTRY,,,,,,,,,,,,,,,,,,,,
47-72-46-38,0239-106-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
47-72-46-38,0239-106-001,DOGS,,,,,,,,,,,,,,,,,,,,
28-82-44-02,0240-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
28-82-44-02,0240-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
28-82-44-02,0240-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
28-82-44-02,0240-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
28-82-44-02,0240-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
28-82-44-02,0240-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
02-85-17-16,0241-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
02-85-17-16,0241-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
02-85-17-16,0241-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
02-85-17-16,0241-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
02-85-17-16,0241-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
02-85-17-16,0241-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
99-85-97-80,0242-001-001,LARGE RUMINANTS,YES,NOT SICK,,,,NO,,,,,,NO,,"YES, ALL ANIMALS AT LEAST ONCE",SPRAYING,NO,,NO,,40000
99-85-97-80,0242-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
99-85-97-80,0242-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
99-85-97-80,0242-001-001,POULTRY,YES,OTHER (SPECIFY),,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),NEW CASTLE DISEASE (KIDELI/MDONDO),,,,NO,,,,,,"YES, SOME",THE HOUSEHOLD,50000
99-85-97-80,0242-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
99-85-97-80,0242-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
05-26-99-01,0243-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
05-26-99-01,0243-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
05-26-99-01,0243-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
05-26-99-01,0243-001-001,POULTRY,YES,SMALL POX (NDUI),,,,"YES, ALL ANIMALS AT LEAST ONCE",PRIVATE CLINIC,SMALL POX (NDUI),,,,NO,,,,,,NO,,2500
05-26-99-01,0243-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
05-26-99-01,0243-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
21-44-88-45,0244-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
21-44-88-45,0244-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
21-44-88-45,0244-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
21-44-88-45,0244-001-001,POULTRY,YES,NEW CASTLE DISEASE (KIDELI/MDONDO),,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),NEW CASTLE DISEASE (KIDELI/MDONDO),,,,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,,,,,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,15000
21-44-88-45,0244-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
21-44-88-45,0244-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
42-03-35-97,0247-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
42-03-35-97,0247-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
42-03-35-97,0247-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
42-03-35-97,0247-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
42-03-35-97,0247-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
42-03-35-97,0247-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
29-56-58-07,0249-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
29-56-58-07,0249-001-001,SMALL RUMINANTS,YES,NOT SICK,,,,NO,,,,,,NO,,NO,,NO,,NO,,0
29-56-58-07,0249-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
29-56-58-07,0249-001-001,POULTRY,NO,,,,,,,,,,,,,,,,,,,
29-56-58-07,0249-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
29-56-58-07,0249-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
47-43-87-43,0251-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
47-43-87-43,0251-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
47-43-87-43,0251-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
47-43-87-43,0251-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
47-43-87-43,0251-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
47-43-87-43,0251-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
67-10-80-24,0252-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
47-10-37-20,0253-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
47-10-37-20,0253-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
47-10-37-20,0253-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
47-10-37-20,0253-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
47-10-37-20,0253-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
47-10-37-20,0253-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
11-56-64-74,0254-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
11-56-64-74,0254-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
11-56-64-74,0254-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
11-56-64-74,0254-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
11-56-64-74,0254-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
11-56-64-74,0254-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,POULTRY,YES,NEW CASTLE DISEASE (KIDELI/MDONDO),,,,NO,,,,,,NO,,,,,,NO,,0
66-44-07-30,0255-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
66-44-07-30,0255-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
42-84-07-76,0255-001-009,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
42-84-07-76,0255-001-009,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
42-84-07-76,0255-001-009,PIGS,,,,,,,,,,,,,,,,,,,,
42-84-07-76,0255-001-009,POULTRY,,,,,,,,,,,,,,,,,,,,
42-84-07-76,0255-001-009,DONKEYS,,,,,,,,,,,,,,,,,,,,
42-84-07-76,0255-001-009,DOGS,,,,,,,,,,,,,,,,,,,,
56-73-22-28,0257-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
56-73-22-28,0257-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
56-73-22-28,0257-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
56-73-22-28,0257-001-001,POULTRY,YES,NEW CASTLE DISEASE (KIDELI/MDONDO),,,,"YES, SOME",OTHER (SPECIFY),NEW CASTLE DISEASE (KIDELI/MDONDO),,,,"YES, SOME",THE HOUSEHOLD,,,,,"YES, SOME",THE HOUSEHOLD,15000
56-73-22-28,0257-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
56-73-22-28,0257-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
68-63-08-39,0259-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
68-63-08-39,0259-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
68-63-08-39,0259-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
68-63-08-39,0259-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
68-63-08-39,0259-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
68-63-08-39,0259-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
51-99-35-71,0259-004-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
51-99-35-71,0259-004-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
51-99-35-71,0259-004-001,PIGS,,,,,,,,,,,,,,,,,,,,
51-99-35-71,0259-004-001,POULTRY,,,,,,,,,,,,,,,,,,,,
51-99-35-71,0259-004-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
51-99-35-71,0259-004-001,DOGS,,,,,,,,,,,,,,,,,,,,
12-03-97-45,0260-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
12-03-97-45,0260-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
12-03-97-45,0260-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
12-03-97-45,0260-001-001,POULTRY,YES,NOT SICK,,,,"YES, ALL ANIMALS AT LEAST ONCE",OTHER (SPECIFY),NEW CASTLE DISEASE (KIDELI/MDONDO),SMALL POX (NDUI),GOMBORO (GUMBORO),,"YES, ALL ANIMALS AT LEAST ONCE",THE HOUSEHOLD,,,,,NO,,15000
12-03-97-45,0260-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
12-03-97-45,0260-001-001,DOGS,NO,,,,,,,,,,,,,,,,,,,
35-64-91-26,0261-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
35-64-91-26,0261-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
35-64-91-26,0261-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
35-64-91-26,0261-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
35-64-91-26,0261-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
35-64-91-26,0261-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
85-90-36-67,0261-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
85-90-36-67,0261-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
85-90-36-67,0261-001-002,PIGS,,,,,,,,,,,,,,,,,,,,
85-90-36-67,0261-001-002,POULTRY,,,,,,,,,,,,,,,,,,,,
85-90-36-67,0261-001-002,DONKEYS,,,,,,,,,,,,,,,,,,,,
85-90-36-67,0261-001-002,DOGS,,,,,,,,,,,,,,,,,,,,
91-56-57-06,0262-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
91-56-57-06,0262-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
91-56-57-06,0262-001-002,PIGS,,,,,,,,,,,,,,,,,,,,
91-56-57-06,0262-001-002,POULTRY,,,,,,,,,,,,,,,,,,,,
91-56-57-06,0262-001-002,DONKEYS,,,,,,,,,,,,,,,,,,,,
91-56-57-06,0262-001-002,DOGS,,,,,,,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
89-92-90-61,0263-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
73-66-70-99,0263-001-004,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
73-66-70-99,0263-001-004,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
73-66-70-99,0263-001-004,PIGS,,,,,,,,,,,,,,,,,,,,
73-66-70-99,0263-001-004,POULTRY,,,,,,,,,,,,,,,,,,,,
73-66-70-99,0263-001-004,DONKEYS,,,,,,,,,,,,,,,,,,,,
73-66-70-99,0263-001-004,DOGS,,,,,,,,,,,,,,,,,,,,
07-23-75-51,0263-001-006,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
07-23-75-51,0263-001-006,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
07-23-75-51,0263-001-006,PIGS,,,,,,,,,,,,,,,,,,,,
07-23-75-51,0263-001-006,POULTRY,,,,,,,,,,,,,,,,,,,,
07-23-75-51,0263-001-006,DONKEYS,,,,,,,,,,,,,,,,,,,,
07-23-75-51,0263-001-006,DOGS,,,,,,,,,,,,,,,,,,,,
72-76-27-22,0264-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
72-76-27-22,0264-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
72-76-27-22,0264-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
72-76-27-22,0264-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
72-76-27-22,0264-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
72-76-27-22,0264-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
96-22-42-95,0265-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
96-22-42-95,0265-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
96-22-42-95,0265-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
96-22-42-95,0265-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
96-22-42-95,0265-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
96-22-42-95,0265-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
21-28-91-77,0266-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
21-28-91-77,0266-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
21-28-91-77,0266-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
21-28-91-77,0266-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
21-28-91-77,0266-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
21-28-91-77,0266-001-001,DOGS,,,,,,,,,,,,,,,,,,,,
08-95-27-37,0267-001-001,LARGE RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
08-95-27-37,0267-001-001,SMALL RUMINANTS,NO,,,,,,,,,,,,,,,,,,,
08-95-27-37,0267-001-001,PIGS,NO,,,,,,,,,,,,,,,,,,,
08-95-27-37,0267-001-001,POULTRY,YES,SMALL POX (NDUI),,,,NO,,,,,,NO,,,,,,NO,,0
08-95-27-37,0267-001-001,DONKEYS,NO,,,,,,,,,,,,,,,,,,,
08-95-27-37,0267-001-001,DOGS,YES,NOT SICK,,,,NO,,,,,,,,,,,,,,
56-07-21-94,0267-001-003,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
56-07-21-94,0267-001-003,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
56-07-21-94,0267-001-003,PIGS,,,,,,,,,,,,,,,,,,,,
56-07-21-94,0267-001-003,POULTRY,,,,,,,,,,,,,,,,,,,,
56-07-21-94,0267-001-003,DONKEYS,,,,,,,,,,,,,,,,,,,,
56-07-21-94,0267-001-003,DOGS,,,,,,,,,,,,,,,,,,,,
61-93-73-52,0267-001-005,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
61-93-73-52,0267-001-005,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
61-93-73-52,0267-001-005,PIGS,,,,,,,,,,,,,,,,,,,,
61-93-73-52,0267-001-005,POULTRY,,,,,,,,,,,,,,,,,,,,
61-93-73-52,0267-001-005,DONKEYS,,,,,,,,,,,,,,,,,,,,
61-93-73-52,0267-001-005,DOGS,,,,,,,,,,,,,,,,,,,,
45-28-40-86,0267-001-006,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
45-28-40-86,0267-001-006,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
45-28-40-86,0267-001-006,PIGS,,,,,,,,,,,,,,,,,,,,
45-28-40-86,0267-001-006,POULTRY,,,,,,,,,,,,,,,,,,,,
45-28-40-86,0267-001-006,DONKEYS,,,,,,,,,,,,,,,,,,,,
45-28-40-86,0267-001-006,DOGS,,,,,,,,,,,,,,,,,,,,
70-01-39-09,0267-104-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
70-01-39-09,0267-104-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
70-01-39-09,0267-104-001,PIGS,,,,,,,,,,,,,,,,,,,,
70-01-39-09,0267-104-001,POULTRY,,,,,,,,,,,,,,,,,,,,
70-01-39-09,0267-104-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
70-01-39-09,0267-104-001,DOGS,,,,,,,,,,,,,,,,,,,,
99-73-94-40,0268-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,,,,
99-73-94-40,0268-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,,,,
99-73-94-40,0268-001-001,PIGS,,,,,,,,,,,,,,,,,,,,
99-73-94-40,0268-001-001,POULTRY,,,,,,,,,,,,,,,,,,,,
99-73-94-40,0268-001-001,DONKEYS,,,,,,,,,,,,,,,,,,,,
