interview__key,sdd_hhid,wqt_selection,wqt_prob,wqt_blank_s,wqt_blank_p,wqt_01,wqt_02,wqt_03,wqt_04,wqt_05,wqt_06,wqt_07_1,wqt_07_2,wqt_07_3,wqt_08,wqt_09,wqt_10,wqt_11,wqt_12,wqt_13__Latitude,wqt_13__Longitude,wqt_13__Accuracy,wqt_13__Altitude,wqt_13__Timestamp,wqt_14,wqt_15,wqt_16,wqt_17,wqt_18,wqt_19a,wqt_19,wqt_20,wqr_01a,wqr_01,wqr_02,wqr_03,wqr_04,wqr_05,wqr_06,wqr_07a,wqr_07,wqr_08,wqr_09,wqr_10,wqr_11,wqr_12,wqr_13,wqr_14,wqr_15,wqr_16,wqr_17,wqr_18
82-80-49-27,0104-001-006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-01-65-38,0104-008-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-75-17-70,0105-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-36-44-51,0105-005-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83-56-10-16,0106-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72-82-51-97,0106-001-003,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-04-09-01,0107-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-54-44-86,0108-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-34-97-68,0108-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47-69-21-93,0109-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-62-73-26,0110-001-001,YES,1,YES,0.2,YES,1,2019-05-31T15:03:15,YES,COVERED CONTAINER,NO,,,,2019-05-31T15:04:12,2019-05-31T15:15:05,TUBEWELL/BOREHOLE,YES,,-8.1274255,36.6808114,35.5,234.10000610351562,2019-05-31T13:25:49,YES,2019-05-31T15:21:03,2019-05-31T15:28:01,2019-05-31T16:26:20,1008725,YES,2019-05-31T20:07:48,2019-05-31T20:17:04,NO,2019-06-02T08:34:02,17,wqr_03__.jpg,2019-06-02T08:37:25,0,YES,YES,2019-06-02T08:38:29,2,wqr_09__.jpg,2019-06-02T08:39:31,0,NO,2019-06-02T08:40:06,0,wqr_15__.jpg,2019-06-02T08:40:59,0,NO
71-21-99-60,0110-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-03-93-64,0111-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-60-00-77,0112-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-56-43-08,0112-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80-23-77-43,0113-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86-56-84-14,0113-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95-71-62-51,0114-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-20-92-57,0115-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-55-11-19,0115-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-11-91-19,0118-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67-13-31-42,0119-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-86-84-80,0119-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98-32-46-89,0120-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-41-50-08,0121-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-26-27-46,0121-004-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-99-30-00,0122-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-57-72-83,0122-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-50-47-25,0122-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-91-37-79,0124-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85-36-20-21,0124-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-55-68-20,0126-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-50-39-98,0126-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-77-46-74,0127-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-08-98-18,0127-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48-18-47-32,0127-005-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87-27-18-80,0128-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77-02-36-76,0129-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71-99-12-22,0129-004-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-09-14-99,0129-004-004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-74-57-76,0130-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-53-46-11,0131-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72-29-77-92,0133-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-39-10-22,0134-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-86-10-09,0134-006-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-77-74-54,0136-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-87-07-74,0137-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91-46-77-86,0137-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96-40-12-40,0138-002-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-16-04-26,0139-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78-88-97-43,0140-002-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-41-40-08,0142-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-32-58-97,0142-002-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93-57-90-59,0142-002-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-56-78-16,0142-006-001,YES,1,NO,,YES,1,2019-06-03T12:44:20,YES,COVERED CONTAINER,NO,,,,2019-06-03T12:45:30,2019-06-03T12:53:00,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",YES,,-7.1853709,37.4108011,8.5,728.0999755859375,2019-06-03T11:47:01,YES,2019-06-03T12:54:59,2019-06-03T12:58:11,2019-06-03T13:01:53,1008948,NO,,,NO,2019-06-05T08:57:59,101,wqr_03__.jpg,2019-06-05T09:09:15,1,YES,YES,2019-06-05T09:09:47,101,wqr_09__.jpg,2019-06-05T09:10:54,1,YES,,,,,,
76-14-00-21,0142-006-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70-42-29-42,0143-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-35-00-07,0144-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-64-37-36,0145-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-45-37-86,0146-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44-69-89-77,0146-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64-63-77-61,0146-001-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80-90-53-00,0146-001-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-77-50-86,0147-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-48-78-18,0148-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-93-34-62,0149-001-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-47-45-53,0149-001-009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52-34-01-68,0151-001-001,YES,1,NO,,YES,1,2019-04-24T07:09:24,YES,COVERED CONTAINER,NO,,,,2019-04-24T07:10:38,2019-04-24T07:10:44,PROTECTED DUG WELL,YES,,-6.4587842,38.879256,11,-31.600000381469727,2019-04-24T12:41:56,YES,2019-04-24T08:36:52,2019-04-24T08:36:59,2019-04-24T08:37:07,1008942,NO,,,NO,2019-04-25T09:23:28,101,wqr_03__.jpg,2019-04-25T09:25:48,2,YES,YES,2019-04-25T09:26:26,101,wqr_09__.jpg,2019-04-25T09:27:28,4,YES,,,,,,
66-61-34-49,0151-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-08-77-60,0152-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-38-82-18,0153-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-44-19-68,0154-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-84-88-57,0155-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32-87-19-04,0155-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-61-56-23,0155-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63-01-65-91,0155-001-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-93-81,0157-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-64-23-03,0158-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-01-93-27,0158-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88-54-76-45,0159-001-002,YES,,NO,,YES,2,2019-04-02T08:10:23,YES,COVERED CONTAINER,NO,,,,2019-04-02T09:24:48,2019-04-02T09:30:32,PIPED WATER - PIPED INTO DWELLING,YES,,-10.6615605,35.6285704,20,1087.9000244140625,2019-04-02T12:15:25,YES,2019-04-02T09:34:03,2019-04-02T09:40:05,2019-04-02T10:28:11,1008715,NO,,,NO,2019-04-04T00:17:33,101,wqr_03__.jpg,2019-04-04T00:19:14,0,YES,YES,2019-04-04T00:22:25,0,wqr_09__.jpg,2019-04-04T00:24:16,0,NO,,,,,,
22-99-30-42,0159-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69-81-01-27,0160-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38-35-31-19,0160-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-29-15-18,0161-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-54-39-20,0162-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89-30-25-72,0163-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74-07-84-83,0163-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-99-98-98,0164-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-64-05-36,0166-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56-50-71-92,0167-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72-54-77-52,0168-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-93-30-27,0168-002-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-61-17-84,0169-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58-64-20-38,0170-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-91-88-28,0172-004-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-63-97-96,0173-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-57-62-18,0173-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-35-02-97,0174-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88-48-93-24,0174-002-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-64-10-91,0175-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94-29-87-68,0175-001-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80-22-80-03,0175-003-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-37-68-79,0175-007-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69-45-62-82,0175-008-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-73-10-13,0175-008-003,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-54-45-31,0175-014-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78-81-52-69,0175-014-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80-93-48-57,0177-001-001,YES,1,NO,,YES,3,2019-06-16T12:16:06,YES,COVERED CONTAINER,NO,,,,2019-06-16T12:16:39,2019-06-16T12:24:36,TUBEWELL/BOREHOLE,YES,,-6.9648919,39.2076663,16.5,-29,2019-06-16T11:06:04,YES,2019-06-16T14:15:53,2019-06-16T14:31:04,2019-06-16T14:31:22,,NO,,,NO,2019-06-18T15:20:11,101,wqr_03__.jpg,2019-06-18T15:21:08,15,YES,YES,2019-06-18T15:21:31,18,wqr_09__.jpg,2019-06-18T15:22:19,0,YES,,,,,,
87-96-65-49,0178-001-001,YES,1,NO,,YES,1,2019-06-15T10:48:12,YES,COVERED CONTAINER,NO,,,,2019-06-15T10:48:41,2019-06-15T10:54:35,BOTTLED WATER,YES,,-6.7858745,39.2674166,17,-22.100000381469727,2019-06-17T09:10:36,YES,2019-06-15T10:58:43,2019-06-15T11:03:13,2019-06-15T11:05:10,1008952,NO,,,NO,2019-06-17T08:32:33,0,wqr_03__.jpg,2019-06-17T08:33:17,0,NO,YES,2019-06-17T08:33:42,0,wqr_09__.jpg,2019-06-17T08:34:18,0,NO,,,,,,
50-72-74-09,0179-001-001,YES,1,NO,,YES,1,2019-06-17T15:56:04,YES,COVERED CONTAINER,NO,,,,2019-06-18T10:22:30,2019-06-18T10:29:23,PIPED WATER - PIPED TO NEIGHBOUR,YES,,-6.7864615,39.2667086,23,2.5999999046325684,2019-06-18T07:18:19,YES,2019-06-18T10:33:37,2019-06-18T10:40:58,2019-06-18T10:45:26,1008887,NO,,,NO,2019-06-19T17:04:19,0,wqr_03__.jpg,2019-06-19T17:05:27,0,NO,YES,2019-06-19T17:05:55,0,wqr_09__.jpg,2019-06-19T17:07:11,0,NO,,,,,,
97-03-71-43,0179-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-41-59-49,0180-001-001,YES,1,NO,,YES,1,2019-06-21T12:05:29,YES,COVERED CONTAINER,NO,,,,2019-06-21T12:07:19,2019-06-21T12:14:49,PIPED WATER - PIPED TO NEIGHBOUR,YES,,-6.7860695,39.2672175,18.5,20.899999618530273,2019-06-21T09:18:55,YES,2019-06-21T12:19:58,2019-06-21T12:25:08,2019-06-21T12:26:43,,NO,,,NO,2019-06-23T10:07:43,11,wqr_03__.jpg,2019-06-23T10:08:21,0,NO,YES,2019-06-23T10:09:06,0,wqr_09__.jpg,2019-06-23T10:10:27,0,NO,,,,,,
36-54-74-87,0180-001-007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77-70-35-65,0181-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40-26-23-74,0182-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82-20-98-85,0183-002-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93-13-13-82,0183-002-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-11-15-68,0184-001-001,YES,1,NO,,YES,1,2019-06-18T12:22:39,YES,COVERED CONTAINER,NO,,,,2019-06-18T12:26:56,2019-06-18T12:37:18,PIPED WATER - PIPED TO NEIGHBOUR,YES,,-6.7858457,39.2677921,22.5,-35.79999923706055,2019-06-18T11:00:57,YES,2019-06-18T12:43:20,2019-06-18T12:46:11,2019-06-18T12:47:55,,NO,,,NO,2019-06-20T12:56:45,101,wqr_03__.jpg,2019-06-20T13:10:34,0,YES,YES,2019-06-20T13:12:28,8,wqr_09__.jpg,2019-06-20T13:22:03,0,NO,,,,,,
52-59-56-82,0185-001-002,YES,0.54545456,NO,,YES,2,2019-07-07T15:37:52,YES,COVERED CONTAINER,NO,,,,2019-07-07T15:38:45,2019-07-07T15:41:32,PIPED WATER - PIPED TO NEIGHBOUR,YES,,-6.7865305,39.2676669,18.5,-4.099999904632568,2019-07-07T12:48:07,YES,2019-07-07T15:49:08,2019-07-07T15:53:38,,,NO,,,NO,2019-07-09T07:25:26,101,wqr_03__.jpg,2019-07-09T07:26:50,101,YES,YES,2019-07-09T07:27:13,101,wqr_09__.jpg,2019-07-09T07:28:01,101,YES,,,,,,
91-74-83-64,0186-001-001,YES,1,YES,0.16666667,YES,2,2019-06-18T16:00:47,YES,COVERED CONTAINER,NO,,,,2019-06-18T16:19:40,2019-06-18T16:26:16,PIPED WATER - PIPED TO NEIGHBOUR,YES,,-6.78644,39.2675809,34.5,0.10000000149011612,2019-06-19T07:52:19,YES,2019-06-18T16:42:09,2019-06-18T16:46:05,2019-06-18T16:47:37,,YES,2019-06-19T14:45:49,2019-06-19T14:51:52,NO,2019-06-20T13:29:41,31,wqr_03__.jpg,2019-06-20T13:30:45,6,YES,YES,2019-06-20T13:31:20,2,wqr_09__.jpg,2019-06-20T13:31:51,0,NO,2019-06-20T13:28:06,0,wqr_15__.jpg,2019-06-20T13:29:11,0,NO
90-16-09-17,0186-001-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80-57-22-37,0186-003-001,YES,0.54545456,NO,,YES,1,2019-06-13T18:54:24,YES,COVERED CONTAINER,NO,,,,2019-06-13T18:59:05,2019-06-13T19:12:25,PIPED WATER - PIPED TO NEIGHBOUR,YES,,-6.7822935,39.2524062,37.5,-2,2019-06-13T16:13:07,YES,2019-06-13T19:13:54,2019-06-13T19:18:00,2019-06-13T19:22:17,1008725,NO,,,NO,2019-06-15T09:18:46,0,wqr_03__.jpg,2019-06-15T09:25:42,0,NO,YES,2019-06-15T09:26:08,0,wqr_09__.jpg,2019-06-15T09:26:52,0,NO,,,,,,
15-56-66-55,0186-004-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-87-10-73,0187-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-67-55-32,0187-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-19-42-39,0188-001-001,YES,0.54545456,NO,,YES,2,2019-06-11T14:56:45,YES,COVERED CONTAINER,NO,,,,2019-06-11T14:57:04,2019-06-11T15:01:27,PIPED WATER - PIPED TO NEIGHBOUR,YES,,-6.7333923,38.8978939,10.5,75.19999694824219,2019-06-11T11:43:50,NO,,,,,NO,,,NO,2019-06-13T09:44:57,0,wqr_03__.jpg,2019-06-13T09:46:56,0,NO,NO,,,,,,,,,,,,
32-98-17-50,0189-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69-12-32-87,0191-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88-53-04-67,0192-001-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-87-86-23,0193-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-27-98-28,0194-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-11-01-92,0194-007-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66-54-30-86,0195-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37-52-42-87,0195-001-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-65-07-99,0195-006-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-01-73-94,0196-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-23-49-92,0197-001-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88-74-53-78,0198-001-001,YES,0.85714287,NO,,YES,1,2019-05-06T15:57:05,YES,COVERED CONTAINER,NO,,,,2019-05-06T17:10:11,2019-05-06T17:20:32,"PIPED WATER - PIPED INTO COMPOUND, YARD OR PLOT",YES,,-6.8982323,39.1729848,33,55.599998474121094,2019-05-06T14:34:48,YES,2019-05-06T17:29:53,2019-05-06T17:35:24,,,NO,,,NO,2019-05-08T12:37:41,33,wqr_03__.jpg,2019-05-08T12:41:14,0,NO,YES,2019-05-08T12:41:52,13,wqr_09__.jpg,2019-05-08T12:43:39,0,NO,,,,,,
56-90-38-75,0199-001-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-00-58-38,0199-001-002,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-54-63-75,0199-001-014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-42-16-20,0199-008-001,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74-58-36-12,0199-008-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68-34-72-68,0200-001-001,YES,0.54545456,YES,0.16666667,YES,1,2019-06-12T16:35:37,YES,COVERED CONTAINER,NO,,,,2019-06-12T16:55:54,2019-06-12T17:00:27,PIPED WATER - PIPED TO NEIGHBOUR,YES,,-6.8016617,39.2273422,48,29.100000381469727,2019-06-12T14:11:09,YES,2019-06-12T17:24:25,2019-06-12T17:34:36,2019-06-12T17:40:44,1008905,YES,2019-06-12T17:43:08,2019-06-12T17:52:39,NO,2019-06-14T11:24:37,2,wqr_03__.jpg,2019-06-14T11:26:25,0,NO,YES,2019-06-14T11:27:06,0,wqr_09__.jpg,2019-06-14T11:28:07,0,NO,2019-06-14T11:28:58,0,wqr_15__.jpg,2019-06-14T11:36:43,0,NO
21-95-94-12,0201-001-001,YES,0.85714287,NO,,YES,2,2019-05-07T20:47:20,YES,COVERED CONTAINER,NO,,,,2019-05-07T21:01:31,2019-05-07T21:03:54,"PIPED WATER - PIPED INTO COMPOUND, YARD OR PLOT",YES,,-6.8408067,39.2182063,18,3.4000000953674316,2019-05-07T18:03:25,NO,,,,,NO,,,NO,2019-05-09T16:21:32,2,wqr_03__.jpg,2019-05-09T16:23:35,0,NO,NO,,,,,,,,,,,,
