interview__key,sdd_hhid,productid,lf08_01,lf08_02,lf08_03_1,lf08_03_2,lf08_04,lf08_05_1,lf08_05_2,lf08_06,lf08_07_a,lf08_07_b,lf08_07_c,lf08_08_1,lf08_08_2
42-94-75-73,0099-008-001,EGGS,YES,3,16,PIECES,NO,,,,,,,,
42-94-75-73,0099-008-001,HONEY,NO,,,,,,,,,,,,
42-94-75-73,0099-008-001,SKIN/HIDES,NO,,,,,,,,,,,,
73-19-77-82,0100-001-001,EGGS,,,,,,,,,,,,,
73-19-77-82,0100-001-001,HONEY,,,,,,,,,,,,,
73-19-77-82,0100-001-001,SKIN/HIDES,,,,,,,,,,,,,
07-74-53-75,0101-001-001,EGGS,YES,5,12,PIECES,YES,40,PIECES,12000,2,,KARIBU NA KIJIJI,1,
07-74-53-75,0101-001-001,HONEY,NO,,,,,,,,,,,,
07-74-53-75,0101-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
28-26-05-62,0101-001-002,EGGS,,,,,,,,,,,,,
28-26-05-62,0101-001-002,HONEY,,,,,,,,,,,,,
28-26-05-62,0101-001-002,SKIN/HIDES,,,,,,,,,,,,,
09-18-15-86,0101-002-001,EGGS,YES,2,14,PIECES,NO,,,,,,,,
09-18-15-86,0101-002-001,HONEY,NO,,,,,,,,,,,,
09-18-15-86,0101-002-001,SKIN/HIDES,NO,,,,,,,,,,,,
48-76-11-58,0101-003-001,EGGS,,,,,,,,,,,,,
48-76-11-58,0101-003-001,HONEY,,,,,,,,,,,,,
48-76-11-58,0101-003-001,SKIN/HIDES,,,,,,,,,,,,,
16-87-89-06,0102-001-001,EGGS,NO,,,,,,,,,,,,
16-87-89-06,0102-001-001,HONEY,NO,,,,,,,,,,,,
16-87-89-06,0102-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
74-00-49-61,0102-001-003,EGGS,,,,,,,,,,,,,
74-00-49-61,0102-001-003,HONEY,,,,,,,,,,,,,
74-00-49-61,0102-001-003,SKIN/HIDES,,,,,,,,,,,,,
13-27-24-08,0103-001-001,EGGS,YES,3,86,PIECES,NO,,,,,,,,
13-27-24-08,0103-001-001,HONEY,NO,,,,,,,,,,,,
13-27-24-08,0103-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
61-86-51-55,0104-001-001,EGGS,YES,4,8,PIECES,NO,,,,,,,,
61-86-51-55,0104-001-001,HONEY,NO,,,,,,,,,,,,
61-86-51-55,0104-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
82-80-49-27,0104-001-006,EGGS,YES,3,11,PIECES,NO,,,,,,,,
82-80-49-27,0104-001-006,HONEY,NO,,,,,,,,,,,,
82-80-49-27,0104-001-006,SKIN/HIDES,NO,,,,,,,,,,,,
45-01-65-38,0104-008-001,EGGS,,,,,,,,,,,,,
45-01-65-38,0104-008-001,HONEY,,,,,,,,,,,,,
45-01-65-38,0104-008-001,SKIN/HIDES,,,,,,,,,,,,,
56-75-17-70,0105-001-001,EGGS,YES,3,24,PIECES,NO,,,,,,,,
56-75-17-70,0105-001-001,HONEY,NO,,,,,,,,,,,,
56-75-17-70,0105-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
03-36-44-51,0105-005-001,EGGS,,,,,,,,,,,,,
03-36-44-51,0105-005-001,HONEY,,,,,,,,,,,,,
03-36-44-51,0105-005-001,SKIN/HIDES,,,,,,,,,,,,,
83-56-10-16,0106-001-002,EGGS,,,,,,,,,,,,,
83-56-10-16,0106-001-002,HONEY,,,,,,,,,,,,,
83-56-10-16,0106-001-002,SKIN/HIDES,,,,,,,,,,,,,
72-82-51-97,0106-001-003,EGGS,YES,3,12,PIECES,NO,,,,,,,,
72-82-51-97,0106-001-003,HONEY,NO,,,,,,,,,,,,
72-82-51-97,0106-001-003,SKIN/HIDES,NO,,,,,,,,,,,,
11-04-09-01,0107-001-001,EGGS,,,,,,,,,,,,,
11-04-09-01,0107-001-001,HONEY,,,,,,,,,,,,,
11-04-09-01,0107-001-001,SKIN/HIDES,,,,,,,,,,,,,
51-54-44-86,0108-001-001,EGGS,NO,,,,,,,,,,,,
51-54-44-86,0108-001-001,HONEY,NO,,,,,,,,,,,,
51-54-44-86,0108-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
35-34-97-68,0108-001-002,EGGS,,,,,,,,,,,,,
35-34-97-68,0108-001-002,HONEY,,,,,,,,,,,,,
35-34-97-68,0108-001-002,SKIN/HIDES,,,,,,,,,,,,,
47-69-21-93,0109-001-001,EGGS,,,,,,,,,,,,,
47-69-21-93,0109-001-001,HONEY,,,,,,,,,,,,,
47-69-21-93,0109-001-001,SKIN/HIDES,,,,,,,,,,,,,
22-62-73-26,0110-001-001,EGGS,,,,,,,,,,,,,
22-62-73-26,0110-001-001,HONEY,,,,,,,,,,,,,
22-62-73-26,0110-001-001,SKIN/HIDES,,,,,,,,,,,,,
71-21-99-60,0110-001-002,EGGS,,,,,,,,,,,,,
71-21-99-60,0110-001-002,HONEY,,,,,,,,,,,,,
71-21-99-60,0110-001-002,SKIN/HIDES,,,,,,,,,,,,,
09-03-93-64,0111-001-001,EGGS,YES,4,22,PIECES,NO,,,,,,,,
09-03-93-64,0111-001-001,HONEY,NO,,,,,,,,,,,,
09-03-93-64,0111-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
49-60-00-77,0112-001-001,EGGS,NO,,,,,,,,,,,,
49-60-00-77,0112-001-001,HONEY,NO,,,,,,,,,,,,
49-60-00-77,0112-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
51-56-43-08,0112-001-002,EGGS,,,,,,,,,,,,,
51-56-43-08,0112-001-002,HONEY,,,,,,,,,,,,,
51-56-43-08,0112-001-002,SKIN/HIDES,,,,,,,,,,,,,
80-23-77-43,0113-001-001,EGGS,,,,,,,,,,,,,
80-23-77-43,0113-001-001,HONEY,,,,,,,,,,,,,
80-23-77-43,0113-001-001,SKIN/HIDES,,,,,,,,,,,,,
86-56-84-14,0113-002-001,EGGS,YES,1,12,PIECES,NO,,,,,,,,
86-56-84-14,0113-002-001,HONEY,NO,,,,,,,,,,,,
86-56-84-14,0113-002-001,SKIN/HIDES,NO,,,,,,,,,,,,
95-71-62-51,0114-001-001,EGGS,YES,3,96,PIECES,NO,,,,,,,,
95-71-62-51,0114-001-001,HONEY,NO,,,,,,,,,,,,
95-71-62-51,0114-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
35-20-92-57,0115-001-001,EGGS,,,,,,,,,,,,,
35-20-92-57,0115-001-001,HONEY,,,,,,,,,,,,,
35-20-92-57,0115-001-001,SKIN/HIDES,,,,,,,,,,,,,
61-55-11-19,0115-001-002,EGGS,,,,,,,,,,,,,
61-55-11-19,0115-001-002,HONEY,,,,,,,,,,,,,
61-55-11-19,0115-001-002,SKIN/HIDES,,,,,,,,,,,,,
61-11-91-19,0118-001-001,EGGS,YES,3,10,PIECES,NO,,,,,,,,
61-11-91-19,0118-001-001,HONEY,NO,,,,,,,,,,,,
61-11-91-19,0118-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
67-13-31-42,0119-001-001,EGGS,,,,,,,,,,,,,
67-13-31-42,0119-001-001,HONEY,,,,,,,,,,,,,
67-13-31-42,0119-001-001,SKIN/HIDES,,,,,,,,,,,,,
16-86-84-80,0119-001-002,EGGS,,,,,,,,,,,,,
16-86-84-80,0119-001-002,HONEY,,,,,,,,,,,,,
16-86-84-80,0119-001-002,SKIN/HIDES,,,,,,,,,,,,,
98-32-46-89,0120-001-001,EGGS,NO,,,,,,,,,,,,
98-32-46-89,0120-001-001,HONEY,NO,,,,,,,,,,,,
98-32-46-89,0120-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
11-41-50-08,0121-002-001,EGGS,YES,4,84,PIECES,NO,,,,,,,,
11-41-50-08,0121-002-001,HONEY,NO,,,,,,,,,,,,
11-41-50-08,0121-002-001,SKIN/HIDES,NO,,,,,,,,,,,,
20-26-27-46,0121-004-001,EGGS,YES,1,10,PIECES,NO,,,,,,,,
20-26-27-46,0121-004-001,HONEY,NO,,,,,,,,,,,,
20-26-27-46,0121-004-001,SKIN/HIDES,NO,,,,,,,,,,,,
51-99-30-00,0122-001-001,EGGS,,,,,,,,,,,,,
51-99-30-00,0122-001-001,HONEY,,,,,,,,,,,,,
51-99-30-00,0122-001-001,SKIN/HIDES,,,,,,,,,,,,,
94-57-72-83,0122-001-002,EGGS,,,,,,,,,,,,,
94-57-72-83,0122-001-002,HONEY,,,,,,,,,,,,,
94-57-72-83,0122-001-002,SKIN/HIDES,,,,,,,,,,,,,
43-50-47-25,0122-001-003,EGGS,YES,8,12,PIECES,NO,,,,,,,,
43-50-47-25,0122-001-003,HONEY,NO,,,,,,,,,,,,
43-50-47-25,0122-001-003,SKIN/HIDES,YES,2,1,PIECES,NO,,,,,,,,
38-83-27-01,0123-001-001,EGGS,,,,,,,,,,,,,
38-83-27-01,0123-001-001,HONEY,,,,,,,,,,,,,
38-83-27-01,0123-001-001,SKIN/HIDES,,,,,,,,,,,,,
73-91-37-79,0124-001-001,EGGS,,,,,,,,,,,,,
73-91-37-79,0124-001-001,HONEY,,,,,,,,,,,,,
73-91-37-79,0124-001-001,SKIN/HIDES,,,,,,,,,,,,,
85-36-20-21,0124-002-001,EGGS,,,,,,,,,,,,,
85-36-20-21,0124-002-001,HONEY,,,,,,,,,,,,,
85-36-20-21,0124-002-001,SKIN/HIDES,,,,,,,,,,,,,
59-55-68-20,0126-001-001,EGGS,,,,,,,,,,,,,
59-55-68-20,0126-001-001,HONEY,,,,,,,,,,,,,
59-55-68-20,0126-001-001,SKIN/HIDES,,,,,,,,,,,,,
32-50-39-98,0126-001-003,EGGS,,,,,,,,,,,,,
32-50-39-98,0126-001-003,HONEY,,,,,,,,,,,,,
32-50-39-98,0126-001-003,SKIN/HIDES,,,,,,,,,,,,,
20-77-46-74,0127-001-001,EGGS,YES,5,18,PIECES,NO,,,,,,,,
20-77-46-74,0127-001-001,HONEY,NO,,,,,,,,,,,,
20-77-46-74,0127-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
40-08-98-18,0127-003-001,EGGS,YES,7,46,PIECES,NO,,,,,,,,
40-08-98-18,0127-003-001,HONEY,NO,,,,,,,,,,,,
40-08-98-18,0127-003-001,SKIN/HIDES,NO,,,,,,,,,,,,
48-18-47-32,0127-005-001,EGGS,,,,,,,,,,,,,
48-18-47-32,0127-005-001,HONEY,,,,,,,,,,,,,
48-18-47-32,0127-005-001,SKIN/HIDES,,,,,,,,,,,,,
87-27-18-80,0128-001-001,EGGS,YES,4,24,PIECES,NO,,,,,,,,
87-27-18-80,0128-001-001,HONEY,NO,,,,,,,,,,,,
87-27-18-80,0128-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
77-02-36-76,0129-001-001,EGGS,,,,,,,,,,,,,
77-02-36-76,0129-001-001,HONEY,,,,,,,,,,,,,
77-02-36-76,0129-001-001,SKIN/HIDES,,,,,,,,,,,,,
71-99-12-22,0129-004-003,EGGS,,,,,,,,,,,,,
71-99-12-22,0129-004-003,HONEY,,,,,,,,,,,,,
71-99-12-22,0129-004-003,SKIN/HIDES,,,,,,,,,,,,,
30-09-14-99,0129-004-004,EGGS,,,,,,,,,,,,,
30-09-14-99,0129-004-004,HONEY,,,,,,,,,,,,,
30-09-14-99,0129-004-004,SKIN/HIDES,,,,,,,,,,,,,
15-74-57-76,0130-001-001,EGGS,,,,,,,,,,,,,
15-74-57-76,0130-001-001,HONEY,,,,,,,,,,,,,
15-74-57-76,0130-001-001,SKIN/HIDES,,,,,,,,,,,,,
18-53-46-11,0131-001-002,EGGS,YES,4,24,PIECES,NO,,,,,,,,
18-53-46-11,0131-001-002,HONEY,NO,,,,,,,,,,,,
18-53-46-11,0131-001-002,SKIN/HIDES,NO,,,,,,,,,,,,
72-29-77-92,0133-001-001,EGGS,,,,,,,,,,,,,
72-29-77-92,0133-001-001,HONEY,,,,,,,,,,,,,
72-29-77-92,0133-001-001,SKIN/HIDES,,,,,,,,,,,,,
44-39-10-22,0134-001-001,EGGS,YES,2,25,PIECES,NO,,,,,,,,
44-39-10-22,0134-001-001,HONEY,NO,,,,,,,,,,,,
44-39-10-22,0134-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
23-86-10-09,0134-006-001,EGGS,,,,,,,,,,,,,
23-86-10-09,0134-006-001,HONEY,,,,,,,,,,,,,
23-86-10-09,0134-006-001,SKIN/HIDES,,,,,,,,,,,,,
49-77-74-54,0136-001-001,EGGS,YES,1,10,PIECES,NO,,,,,,,,
49-77-74-54,0136-001-001,HONEY,NO,,,,,,,,,,,,
49-77-74-54,0136-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
21-87-07-74,0137-001-001,EGGS,YES,3,40,PIECES,YES,20,PIECES,4000,2,,NDANI YA KIJIJI /MJI,1,2
21-87-07-74,0137-001-001,HONEY,NO,,,,,,,,,,,,
21-87-07-74,0137-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
91-46-77-86,0137-003-001,EGGS,YES,4,18,PIECES,NO,,,,,,,,
91-46-77-86,0137-003-001,HONEY,NO,,,,,,,,,,,,
91-46-77-86,0137-003-001,SKIN/HIDES,NO,,,,,,,,,,,,
96-40-12-40,0138-002-001,EGGS,,,,,,,,,,,,,
96-40-12-40,0138-002-001,HONEY,,,,,,,,,,,,,
96-40-12-40,0138-002-001,SKIN/HIDES,,,,,,,,,,,,,
51-16-04-26,0139-001-001,EGGS,YES,3,10,PIECES,NO,,,,,,,,
51-16-04-26,0139-001-001,HONEY,NO,,,,,,,,,,,,
51-16-04-26,0139-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
78-88-97-43,0140-002-001,EGGS,NO,,,,,,,,,,,,
78-88-97-43,0140-002-001,HONEY,NO,,,,,,,,,,,,
78-88-97-43,0140-002-001,SKIN/HIDES,NO,,,,,,,,,,,,
43-41-40-08,0142-001-001,EGGS,YES,4,12,PIECES,YES,12,PIECES,24000,4,,NDANI YA KIJIJI /MJI,1,
43-41-40-08,0142-001-001,HONEY,NO,,,,,,,,,,,,
43-41-40-08,0142-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
18-32-58-97,0142-002-001,EGGS,,,,,,,,,,,,,
18-32-58-97,0142-002-001,HONEY,,,,,,,,,,,,,
18-32-58-97,0142-002-001,SKIN/HIDES,,,,,,,,,,,,,
93-57-90-59,0142-002-002,EGGS,,,,,,,,,,,,,
93-57-90-59,0142-002-002,HONEY,,,,,,,,,,,,,
93-57-90-59,0142-002-002,SKIN/HIDES,,,,,,,,,,,,,
45-56-78-16,0142-006-001,EGGS,,,,,,,,,,,,,
45-56-78-16,0142-006-001,HONEY,,,,,,,,,,,,,
45-56-78-16,0142-006-001,SKIN/HIDES,,,,,,,,,,,,,
76-14-00-21,0142-006-002,EGGS,,,,,,,,,,,,,
76-14-00-21,0142-006-002,HONEY,,,,,,,,,,,,,
76-14-00-21,0142-006-002,SKIN/HIDES,,,,,,,,,,,,,
70-42-29-42,0143-001-001,EGGS,NO,,,,,,,,,,,,
70-42-29-42,0143-001-001,HONEY,NO,,,,,,,,,,,,
70-42-29-42,0143-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
30-35-00-07,0144-001-001,EGGS,,,,,,,,,,,,,
30-35-00-07,0144-001-001,HONEY,,,,,,,,,,,,,
30-35-00-07,0144-001-001,SKIN/HIDES,,,,,,,,,,,,,
73-64-37-36,0145-002-001,EGGS,,,,,,,,,,,,,
73-64-37-36,0145-002-001,HONEY,,,,,,,,,,,,,
73-64-37-36,0145-002-001,SKIN/HIDES,,,,,,,,,,,,,
22-45-37-86,0146-001-001,EGGS,YES,4,10,PIECES,NO,,,,,,,,
22-45-37-86,0146-001-001,HONEY,NO,,,,,,,,,,,,
22-45-37-86,0146-001-001,SKIN/HIDES,NO,,,,,,,,,,,,
44-69-89-77,0146-001-003,EGGS,,,,,,,,,,,,,
44-69-89-77,0146-001-003,HONEY,,,,,,,,,,,,,
44-69-89-77,0146-001-003,SKIN/HIDES,,,,,,,,,,,,,
64-63-77-61,0146-001-007,EGGS,,,,,,,,,,,,,
64-63-77-61,0146-001-007,HONEY,,,,,,,,,,,,,
64-63-77-61,0146-001-007,SKIN/HIDES,,,,,,,,,,,,,
80-90-53-00,0146-001-009,EGGS,,,,,,,,,,,,,
80-90-53-00,0146-001-009,HONEY,,,,,,,,,,,,,
80-90-53-00,0146-001-009,SKIN/HIDES,,,,,,,,,,,,,
38-77-50-86,0147-001-001,EGGS,,,,,,,,,,,,,
38-77-50-86,0147-001-001,HONEY,,,,,,,,,,,,,
38-77-50-86,0147-001-001,SKIN/HIDES,,,,,,,,,,,,,
27-48-78-18,0148-001-001,EGGS,,,,,,,,,,,,,
27-48-78-18,0148-001-001,HONEY,,,,,,,,,,,,,
27-48-78-18,0148-001-001,SKIN/HIDES,,,,,,,,,,,,,
55-93-34-62,0149-001-002,EGGS,YES,4,12,PIECES,NO,,,,,,,,
55-93-34-62,0149-001-002,HONEY,NO,,,,,,,,,,,,
55-93-34-62,0149-001-002,SKIN/HIDES,NO,,,,,,,,,,,,
42-47-45-53,0149-001-009,EGGS,NO,,,,,,,,,,,,
42-47-45-53,0149-001-009,HONEY,NO,,,,,,,,,,,,
42-47-45-53,0149-001-009,SKIN/HIDES,NO,,,,,,,,,,,,
52-34-01-68,0151-001-001,EGGS,,,,,,,,,,,,,
52-34-01-68,0151-001-001,HONEY,,,,,,,,,,,,,
52-34-01-68,0151-001-001,SKIN/HIDES,,,,,,,,,,,,,
66-61-34-49,0151-001-003,EGGS,,,,,,,,,,,,,
66-61-34-49,0151-001-003,HONEY,,,,,,,,,,,,,
66-61-34-49,0151-001-003,SKIN/HIDES,,,,,,,,,,,,,
30-08-77-60,0152-001-002,EGGS,,,,,,,,,,,,,
30-08-77-60,0152-001-002,HONEY,,,,,,,,,,,,,
30-08-77-60,0152-001-002,SKIN/HIDES,,,,,,,,,,,,,
24-38-82-18,0153-001-001,EGGS,,,,,,,,,,,,,
24-38-82-18,0153-001-001,HONEY,,,,,,,,,,,,,
24-38-82-18,0153-001-001,SKIN/HIDES,,,,,,,,,,,,,
10-44-19-68,0154-001-001,EGGS,,,,,,,,,,,,,
10-44-19-68,0154-001-001,HONEY,,,,,,,,,,,,,
10-44-19-68,0154-001-001,SKIN/HIDES,,,,,,,,,,,,,
04-84-88-57,0155-001-001,EGGS,,,,,,,,,,,,,
04-84-88-57,0155-001-001,HONEY,,,,,,,,,,,,,
04-84-88-57,0155-001-001,SKIN/HIDES,,,,,,,,,,,,,
32-87-19-04,0155-001-002,EGGS,,,,,,,,,,,,,
32-87-19-04,0155-001-002,HONEY,,,,,,,,,,,,,
32-87-19-04,0155-001-002,SKIN/HIDES,,,,,,,,,,,,,
35-61-56-23,0155-001-003,EGGS,,,,,,,,,,,,,
35-61-56-23,0155-001-003,HONEY,,,,,,,,,,,,,
35-61-56-23,0155-001-003,SKIN/HIDES,,,,,,,,,,,,,
63-01-65-91,0155-001-005,EGGS,,,,,,,,,,,,,
63-01-65-91,0155-001-005,HONEY,,,,,,,,,,,,,
63-01-65-91,0155-001-005,SKIN/HIDES,,,,,,,,,,,,,
04-30-93-81,0157-001-001,EGGS,,,,,,,,,,,,,
04-30-93-81,0157-001-001,HONEY,,,,,,,,,,,,,
04-30-93-81,0157-001-001,SKIN/HIDES,,,,,,,,,,,,,
11-64-23-03,0158-001-001,EGGS,,,,,,,,,,,,,
11-64-23-03,0158-001-001,HONEY,,,,,,,,,,,,,
11-64-23-03,0158-001-001,SKIN/HIDES,,,,,,,,,,,,,
49-01-93-27,0158-001-003,EGGS,,,,,,,,,,,,,
49-01-93-27,0158-001-003,HONEY,,,,,,,,,,,,,
49-01-93-27,0158-001-003,SKIN/HIDES,,,,,,,,,,,,,
88-54-76-45,0159-001-002,EGGS,YES,2,120,PIECES,YES,90,PIECES,24000,16,,NDANI YA KIJIJI /MJI,2,
88-54-76-45,0159-001-002,HONEY,NO,,,,,,,,,,,,
88-54-76-45,0159-001-002,SKIN/HIDES,NO,,,,,,,,,,,,
22-99-30-42,0159-001-003,EGGS,NO,,,,,,,,,,,,
22-99-30-42,0159-001-003,HONEY,NO,,,,,,,,,,,,
22-99-30-42,0159-001-003,SKIN/HIDES,NO,,,,,,,,,,,,
69-81-01-27,0160-001-001,EGGS,,,,,,,,,,,,,
69-81-01-27,0160-001-001,HONEY,,,,,,,,,,,,,
69-81-01-27,0160-001-001,SKIN/HIDES,,,,,,,,,,,,,
38-35-31-19,0160-002-001,EGGS,YES,1,12,PIECES,NO,,,,,,,,
38-35-31-19,0160-002-001,HONEY,NO,,,,,,,,,,,,
38-35-31-19,0160-002-001,SKIN/HIDES,NO,,,,,,,,,,,,
29-29-15-18,0161-001-001,EGGS,,,,,,,,,,,,,
29-29-15-18,0161-001-001,HONEY,,,,,,,,,,,,,
29-29-15-18,0161-001-001,SKIN/HIDES,,,,,,,,,,,,,
53-54-39-20,0162-001-001,EGGS,,,,,,,,,,,,,
53-54-39-20,0162-001-001,HONEY,,,,,,,,,,,,,
53-54-39-20,0162-001-001,SKIN/HIDES,,,,,,,,,,,,,
89-30-25-72,0163-001-001,EGGS,,,,,,,,,,,,,
89-30-25-72,0163-001-001,HONEY,,,,,,,,,,,,,
89-30-25-72,0163-001-001,SKIN/HIDES,,,,,,,,,,,,,
74-07-84-83,0163-001-002,EGGS,,,,,,,,,,,,,
74-07-84-83,0163-001-002,HONEY,,,,,,,,,,,,,
74-07-84-83,0163-001-002,SKIN/HIDES,,,,,,,,,,,,,
17-99-98-98,0164-001-001,EGGS,,,,,,,,,,,,,
17-99-98-98,0164-001-001,HONEY,,,,,,,,,,,,,
17-99-98-98,0164-001-001,SKIN/HIDES,,,,,,,,,,,,,
54-64-05-36,0166-001-001,EGGS,,,,,,,,,,,,,
54-64-05-36,0166-001-001,HONEY,,,,,,,,,,,,,
54-64-05-36,0166-001-001,SKIN/HIDES,,,,,,,,,,,,,
56-50-71-92,0167-001-001,EGGS,,,,,,,,,,,,,
56-50-71-92,0167-001-001,HONEY,,,,,,,,,,,,,
56-50-71-92,0167-001-001,SKIN/HIDES,,,,,,,,,,,,,
72-54-77-52,0168-002-001,EGGS,,,,,,,,,,,,,
72-54-77-52,0168-002-001,HONEY,,,,,,,,,,,,,
72-54-77-52,0168-002-001,SKIN/HIDES,,,,,,,,,,,,,
59-93-30-27,0168-002-002,EGGS,,,,,,,,,,,,,
59-93-30-27,0168-002-002,HONEY,,,,,,,,,,,,,
59-93-30-27,0168-002-002,SKIN/HIDES,,,,,,,,,,,,,
54-61-17-84,0169-001-001,EGGS,,,,,,,,,,,,,
54-61-17-84,0169-001-001,HONEY,,,,,,,,,,,,,
54-61-17-84,0169-001-001,SKIN/HIDES,,,,,,,,,,,,,
58-64-20-38,0170-001-001,EGGS,,,,,,,,,,,,,
58-64-20-38,0170-001-001,HONEY,,,,,,,,,,,,,
58-64-20-38,0170-001-001,SKIN/HIDES,,,,,,,,,,,,,
23-91-88-28,0172-004-001,EGGS,,,,,,,,,,,,,
23-91-88-28,0172-004-001,HONEY,,,,,,,,,,,,,
23-91-88-28,0172-004-001,SKIN/HIDES,,,,,,,,,,,,,
45-63-97-96,0173-001-001,EGGS,,,,,,,,,,,,,
45-63-97-96,0173-001-001,HONEY,,,,,,,,,,,,,
45-63-97-96,0173-001-001,SKIN/HIDES,,,,,,,,,,,,,
73-57-62-18,0173-003-001,EGGS,,,,,,,,,,,,,
73-57-62-18,0173-003-001,HONEY,,,,,,,,,,,,,
73-57-62-18,0173-003-001,SKIN/HIDES,,,,,,,,,,,,,
61-35-02-97,0174-002-001,EGGS,,,,,,,,,,,,,
61-35-02-97,0174-002-001,HONEY,,,,,,,,,,,,,
61-35-02-97,0174-002-001,SKIN/HIDES,,,,,,,,,,,,,
88-48-93-24,0174-002-003,EGGS,YES,3,23,PIECES,NO,,,,,,,,
88-48-93-24,0174-002-003,HONEY,NO,,,,,,,,,,,,
88-48-93-24,0174-002-003,SKIN/HIDES,NO,,,,,,,,,,,,
59-64-10-91,0175-001-001,EGGS,,,,,,,,,,,,,
59-64-10-91,0175-001-001,HONEY,,,,,,,,,,,,,
59-64-10-91,0175-001-001,SKIN/HIDES,,,,,,,,,,,,,
94-29-87-68,0175-001-002,EGGS,,,,,,,,,,,,,
94-29-87-68,0175-001-002,HONEY,,,,,,,,,,,,,
94-29-87-68,0175-001-002,SKIN/HIDES,,,,,,,,,,,,,
80-22-80-03,0175-003-001,EGGS,,,,,,,,,,,,,
80-22-80-03,0175-003-001,HONEY,,,,,,,,,,,,,
80-22-80-03,0175-003-001,SKIN/HIDES,,,,,,,,,,,,,
23-37-68-79,0175-007-001,EGGS,,,,,,,,,,,,,
23-37-68-79,0175-007-001,HONEY,,,,,,,,,,,,,
23-37-68-79,0175-007-001,SKIN/HIDES,,,,,,,,,,,,,
69-45-62-82,0175-008-002,EGGS,,,,,,,,,,,,,
69-45-62-82,0175-008-002,HONEY,,,,,,,,,,,,,
69-45-62-82,0175-008-002,SKIN/HIDES,,,,,,,,,,,,,
24-73-10-13,0175-008-003,EGGS,,,,,,,,,,,,,
24-73-10-13,0175-008-003,HONEY,,,,,,,,,,,,,
24-73-10-13,0175-008-003,SKIN/HIDES,,,,,,,,,,,,,
05-54-45-31,0175-014-001,EGGS,,,,,,,,,,,,,
05-54-45-31,0175-014-001,HONEY,,,,,,,,,,,,,
05-54-45-31,0175-014-001,SKIN/HIDES,,,,,,,,,,,,,
78-81-52-69,0175-014-003,EGGS,,,,,,,,,,,,,
78-81-52-69,0175-014-003,HONEY,,,,,,,,,,,,,
78-81-52-69,0175-014-003,SKIN/HIDES,,,,,,,,,,,,,
80-93-48-57,0177-001-001,EGGS,,,,,,,,,,,,,
80-93-48-57,0177-001-001,HONEY,,,,,,,,,,,,,
80-93-48-57,0177-001-001,SKIN/HIDES,,,,,,,,,,,,,
87-96-65-49,0178-001-001,EGGS,,,,,,,,,,,,,
87-96-65-49,0178-001-001,HONEY,,,,,,,,,,,,,
87-96-65-49,0178-001-001,SKIN/HIDES,,,,,,,,,,,,,
50-72-74-09,0179-001-001,EGGS,,,,,,,,,,,,,
50-72-74-09,0179-001-001,HONEY,,,,,,,,,,,,,
50-72-74-09,0179-001-001,SKIN/HIDES,,,,,,,,,,,,,
97-03-71-43,0179-001-003,EGGS,,,,,,,,,,,,,
97-03-71-43,0179-001-003,HONEY,,,,,,,,,,,,,
97-03-71-43,0179-001-003,SKIN/HIDES,,,,,,,,,,,,,
26-41-59-49,0180-001-001,EGGS,,,,,,,,,,,,,
26-41-59-49,0180-001-001,HONEY,,,,,,,,,,,,,
26-41-59-49,0180-001-001,SKIN/HIDES,,,,,,,,,,,,,
36-54-74-87,0180-001-007,EGGS,YES,2,60,PIECES,NO,,,,,,,,
36-54-74-87,0180-001-007,HONEY,NO,,,,,,,,,,,,
36-54-74-87,0180-001-007,SKIN/HIDES,NO,,,,,,,,,,,,
77-70-35-65,0181-001-001,EGGS,,,,,,,,,,,,,
77-70-35-65,0181-001-001,HONEY,,,,,,,,,,,,,
77-70-35-65,0181-001-001,SKIN/HIDES,,,,,,,,,,,,,
40-26-23-74,0182-001-001,EGGS,,,,,,,,,,,,,
40-26-23-74,0182-001-001,HONEY,,,,,,,,,,,,,
40-26-23-74,0182-001-001,SKIN/HIDES,,,,,,,,,,,,,
82-20-98-85,0183-002-001,EGGS,,,,,,,,,,,,,
82-20-98-85,0183-002-001,HONEY,,,,,,,,,,,,,
82-20-98-85,0183-002-001,SKIN/HIDES,,,,,,,,,,,,,
93-13-13-82,0183-002-003,EGGS,YES,1,11,PIECES,NO,,,,,,,,
93-13-13-82,0183-002-003,HONEY,NO,,,,,,,,,,,,
