interview__key,sdd_hhid,plotnum,plotname,plotid_nps4,ag3a_desc,ag3a_02_1,ag3a_02_2,ag3a_02_3,ag3a_03,ag3a_04,ag3a_07,ag3a_08a_1,ag3a_08a_2,ag3a_08b_1,ag3a_08b_2,ag3a_08b_3,ag3a_08c1,ag3a_08c2,ag3a_09a_1,ag3a_09a_2,ag3a_09b_1,ag3a_09b_2,ag3a_09b_3,ag3a_09c1,ag3a_09c2,ag3a_10,ag3a_11,ag3a_12,ag3a_13,ag3a_14,ag3a_15,ag3a_16_1,ag3a_16_2,ag3a_17,ag3a_18,ag3a_19,ag3a_20,ag3a_21,ag3a_22,ag3a_23,ag3a_24,ag3a_25,ag3a_26_1,ag3a_26_2,ag3a_27,ag3a_28a,ag3a_28b,ag3a_28c,ag3a_28d,ag3a_29_1,ag3a_29_2,ag3a_30,ag3a_31_1,ag3a_31_2,ag3a_31a,ag3a_32_1,ag3a_32_2,ag3a_33,ag3a_34_1,ag3a_34_2,ag3a_35,ag3a_36_1,ag3a_36_2,ag3a_37_1,ag3a_37_2,ag3a_38,ag3a_38a,ag3a_39,ag3a_40,ag3a_41,ag3a_42,ag3a_43,ag3a_44,ag3a_45,ag3a_46_1,ag3a_46_2,ag3a_47,ag3a_48,ag3a_49,ag3a_51,ag3a_52,ag3a_53_1,ag3a_53_2,ag3a_54,ag3a_55,ag3a_56,ag3a_58,ag3a_59_1,ag3a_59_2,ag3a_60,ag3a_62_1,ag3a_62_2,ag3a_63,ag3a_64,ag3a_65_1,ag3a_65_2,ag3a_65a,ag3a_65b_1,ag3a_65b_2,ag3a_65c,ag3a_65d,ag3a_65e_1,ag3a_65e_2,ag3a_66,ag3a_67_1,ag3a_67_2,ag3a_67_3,ag3a_67_4,ag3a_68,ag3a_69,ag3a_70_1,ag3a_70_2,ag3a_71_1,ag3a_71_2,ag3a_71a,ag3a_71b,ag3a_72a,ag3a_72b_1,ag3a_72b_2,ag3a_72b_3,ag3a_72b_4,ag3a_72b_5,ag3a_72b_6,ag3a_72b_7,ag3a_72b_8,ag3a_72b_9,ag3a_72b_10,ag3a_72e,ag3a_72f_1,ag3a_72f_2,ag3a_72f_3,ag3a_72f_4,ag3a_72f_5,ag3a_72f_6,ag3a_72f_7,ag3a_72f_8,ag3a_72f_9,ag3a_72f_10,ag3a_72i,ag3a_72j_1,ag3a_72j_2,ag3a_72j_3,ag3a_72j_4,ag3a_72j_5,ag3a_72j_6,ag3a_72j_7,ag3a_72j_8,ag3a_72j_9,ag3a_72j_10,ag3a_73,ag3a_74_1a,ag3a_74_1b,ag3a_74_1c,ag3a_74_1d,ag3a_74_2a,ag3a_74_2b,ag3a_74_2c,ag3a_74_2d,ag3a_74_3a,ag3a_74_3b,ag3a_74_3c,ag3a_74_3d,ag3a_76,ag3a_77,ag3a_78,ag3a_79,ag3a_80,ag3a_81,ag3a_82,ag3a_83,ag3a_84,ag3a_85
71-03-08-46,0279-002-002,1,**CONFIDENTIAL**,,,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,3400000,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,30000,1,MONTHS,NONE,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,1,2,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
23-05-27-92,0279-006-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-05-27-92,0279-006-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-05-27-92,0279-006-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,13,2,16,CULTIVATED,,10,YES,NO,1,2,,,,YES,NO,1,2,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,2000000,GIFT,,,,NO CERTIFICATE,YES,NO,NO DOCUMENTATION,1,2,YES,1,,NO,,,,,,,,,,,2012,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,YES,3,LITRE,30000,OWN EXPERIENCE,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,YES,5,LITRE,75000,OWN EXPERIENCE,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,,,,,,,NO,NO,NO,,,,,,,,,,,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
23-05-27-92,0279-006-001,4,**CONFIDENTIAL**,M4,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-05-27-92,0279-006-001,5,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,7000000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,NO,,,,,,,,,,,,,,2016,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
23-05-27-92,0279-006-001,6,**CONFIDENTIAL**,,**CONFIDENTIAL**,12,5,17,CULTIVATED,,10,YES,NO,1,2,,,,YES,NO,1,2,,,,LOAM,GOOD,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,5000000,GIFT,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2017,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,YES,4,LITRE,40000,OWN EXPERIENCE,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,YES,10,LITRE,150000,OWN EXPERIENCE,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,,,,,,,NO,NO,NO,,,,,,,,,,,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,YES,0,0,0,0,0,0,0,0,0,3,0,90000,,,,,,NO,,YES,,OTHER (SPECIFY)
53-31-80-18,0280-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,50000000,PURCHASED,,,,GRANTED RIGHT OF OCCUPANCY,,,OTHER GOVERNMENT DOCUMENT,1,2,YES,1,2,YES,,,,,,,,,,,2009,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
18-82-85-31,0280-001-003,1,**CONFIDENTIAL**,,,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,0,"OTHER, SPECIFY",,,,,,,OTHER GOVERNMENT DOCUMENT,,,,,,,,,,,,,NDUGU YOYOTE (NDANI AU NJE YA KAYA),NDANI YA KIJIJI/MJI,1,2,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
39-02-00-74,0280-001-004,1,**CONFIDENTIAL**,,,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,0,USED FREE OF CHARGE,,,,,,,OTHER GOVERNMENT DOCUMENT,,,,,,,,,,,,,NDUGU YOYOTE (NDANI AU NJE YA KAYA),NDANI YA KIJIJI/MJI,1,2,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
80-17-56-66,0283-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80-17-56-66,0283-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,6000000,PURCHASED,,,,GRANTED RIGHT OF OCCUPANCY,,,OTHER GOVERNMENT DOCUMENT,1,2,YES,1,2,NO,,,,,,,,,,,1983,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
79-01-71-66,0283-003-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,2,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,0,USED FREE OF CHARGE,,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,NDUGU YOYOTE (NDANI AU NJE YA KAYA),KARIBU NA MJI,1,4,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
98-28-80-40,0283-003-002,1,**CONFIDENTIAL**,,,0,0.1,1,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,0,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,90000,6,MONTHS,NONE,NDUGU YOYOTE (NDANI AU NJE YA KAYA),MKOA MWINGINE,1,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
74-35-04-61,0285-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,3,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,10000000,PURCHASED,,,,NO CERTIFICATE,YES,YES,VILLAGE-GOVERNMENT-WITNESSED PURCHASE AGREEMENT,1,,YES,1,,YES,,,,,,,,,,,1997,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
16-61-30-78,0287-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,4,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,0,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,300000,1,YEARS,NONE,M/BIASHARA BINAFSI,KARIBU NA MJI,1,2,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
63-02-03-97,0290-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,2,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,0,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,350000,1,YEARS,NONE,M/BIASHARA BINAFSI,KARIBU NA MJI,1,2,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
35-18-85-05,0291-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0.2,0.2,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,15000000,GIFT,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,2,YES,1,2,NO,,,,,,,,,,,2018,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
85-31-10-94,0291-001-003,1,**CONFIDENTIAL**,,,0,0,1,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,25000000,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,35000,1,MONTHS,NONE,JIRANI,NDANI YA KIJIJI/MJI,1,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,NO,,
82-39-62-03,0291-001-005,1,**CONFIDENTIAL**,,,0,0.5,4,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,0,USED FREE OF CHARGE,,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,NDUGU YOYOTE (NDANI AU NJE YA KAYA),MKOA MWINGINE,1,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
65-18-30-41,0292-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65-18-30-41,0292-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,0,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,10000000,PURCHASED,,,,NO CERTIFICATE,YES,YES,LETTER OF ALLOCATION FROM VILLAGE GOV'T,2,,YES,2,,NO,,,,,,,,,,,2016,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
62-38-02-67,0295-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,0,2,12,FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2500000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,NO,,,,,,,,,,,,,,2008,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
62-38-02-67,0295-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,8,10,20,CULTIVATED,,1,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,GOOD,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,1500000,"SQUATTING, CLEARING",,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,1,,,,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,3,,,,,,,,YES,1,2,3,,,,,,,,NO,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
36-60-91-30,0296-001-002,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,10,12,12,FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1500000,"SQUATTING, CLEARING",,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,NDUGU YOYOTE (NDANI AU NJE YA KAYA),NDANI YA KIJIJI/MJI,2,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
36-60-91-30,0296-001-002,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,3,6,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,6000000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,2,,NO,,,,,,,,,,,,,,2015,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
61-96-62-14,0298-006-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,0,4,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,30000000,PURCHASED,,,,NO CERTIFICATE,YES,YES,VILLAGE-GOVERNMENT-WITNESSED PURCHASE AGREEMENT,1,,YES,1,,NO,,,,,,,,,,,2001,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
01-12-50-30,0298-006-004,1,**CONFIDENTIAL**,,,0,0,1,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,50000000,PURCHASED,,,,GRANTED RIGHT OF OCCUPANCY,,,VILLAGE-GOVERNMENT-WITNESSED PURCHASE AGREEMENT,1,,YES,1,,YES,,,,,,,,,,,1992,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
01-12-50-30,0298-006-004,2,**CONFIDENTIAL**,,,20,0,21,CULTIVATED,,1,YES,NO,1,,,,,YES,NO,1,,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,1000000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2011,NO,YES,,NO,,,,,,,YES,UREA,50,55000,OWN EXPERIENCE,SOKO KUU,NDANI YA KIJIJI/MJI,YES,CALCIUM AMMONIUM NITRATE (CAN),100,110000,SOKO KUU,NDANI YA KIJIJI/MJI,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,3,5,,,,,,,,YES,3,5,,,,,,,,,YES,1,5,,,,,,,,,YES,10,4,0,18000,18,0,0,50000,4,2,0,24000,,,,,,NO,,YES,,FALLOW
81-68-55-28,0298-006-006,1,**CONFIDENTIAL**,,,0,0,2,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,6000000,PURCHASED,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2004,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
81-68-55-28,0298-006-006,2,**CONFIDENTIAL**,,,12,2,2,CULTIVATED,,1,YES,NO,1,2,,,,YES,NO,1,2,,,,CLAY,GOOD,OWN EXPERIENCE,NO,,NO,,,FLAT TOP,NO,,,,NEVER,,3000000,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,30000,1,YEARS,NONE,NDUGU YOYOTE (NDANI AU NJE YA KAYA),KARIBU NA KIJIJI,1,2,,,NO,,NO,,,,,,,YES,UREA,50,58000,OWN EXPERIENCE,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,,NO,,,,,,,YES,2,LITRE,45000,OWN EXPERIENCE,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,,,,,,,NO,NO,YES,1,2,3,4,6,7,,,,,YES,1,2,3,4,6,7,,,,,YES,1,2,3,4,6,7,,,,,NO,,,,,,,,,,,,,,,,,,NO,,NO,STOPPED RENTING/SHARECROPPING,
82-47-05-90,0298-006-007,1,**CONFIDENTIAL**,,,0,0,1,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,8000000,RENTED IN,,,,,,,NO DOCUMENTATION,,,,,,,,,25000,1,MONTHS,NONE,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,1,2,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
50-08-76-82,0299-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,15,15,17,CULTIVATED,,2,YES,NO,1,2,,,,YES,NO,1,2,,,,LOAM,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,0,"SQUATTING, CLEARING",,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,"NYINGINE, TAJA",NDANI YA KIJIJI/MJI,1,2,,,NO,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,YES,1,2,,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,NO,ABANDONED,
50-08-76-82,0299-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,0,3,3,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,INHERITANCE,,,,NO CERTIFICATE,NO,,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2002,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FOREST
50-08-76-82,0299-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,1,4,4,OTHER (SPECIFY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEVER,,0,INHERITANCE,,,,NO CERTIFICATE,YES,NO,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2007,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,OTHER (SPECIFY)
16-73-84-34,0300-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,3,1,3,FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2000000,PURCHASED,,,,CERTIFICATE OF CUSTOMARY RIGHTS  OF OCCUPANCY,,,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,2007,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
16-73-84-34,0300-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-73-84-34,0300-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,0,1,5,CULTIVATED,,2,YES,NO,1,4,,,,YES,NO,1,,,,,LOAM,GOOD,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,3600000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,9,YES,1,9,NO,,,,,,,,,,,2017,NO,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,,,,,,,,,,YES,1,,,,,,,,,,YES,1,,,,,,,,,,YES,0,0,0,0,0,0,0,0,3,0,0,10000,,,,,,NO,,YES,,FALLOW
16-73-84-34,0300-001-001,4,**CONFIDENTIAL**,,**CONFIDENTIAL**,8,9,12,CULTIVATED,,1,YES,NO,1,4,,,,YES,NO,1,4,,,,CLAY,AVERAGE,OWN EXPERIENCE,NO,,NO,,,FLAT BOTTOM,NO,,,,NEVER,,300000,"SQUATTING, CLEARING",,,,,,,NO DOCUMENTATION,,,,,,,,,,,,,NDUGU YOYOTE (NDANI AU NJE YA KAYA),NDANI YA KIJIJI/MJI,1,,,,YES,,NO,,,,,,,NO,,,,,,,,,,,,,NO,,,,,,,NO,,,,,,,NO,,,,,,,,,,,NO,NO,YES,1,4,5,,,,,,,,YES,1,4,5,,,,,,,,YES,1,4,5,,,,,,,,NO,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
88-95-31-32,0300-001-002,1,**CONFIDENTIAL**,,,0,0,5,FALLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10000000,INHERITANCE,,,,NO CERTIFICATE,YES,YES,NO DOCUMENTATION,1,,YES,1,,NO,,,,,,,,,,,1951,NO,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,YES,,FALLOW
