interview__key,sdd_hhid,lvstckid,lf07_01,lf07_02_1,lf07_02_2,lf07_03,lf07_04_1,lf07_04_2,lf07_05,lf07_06
40-08-98-18,0127-003-001,DONKEYS,,,,,,,,
40-08-98-18,0127-003-001,OTHER ANIMALS,,,,,,,,
48-18-47-32,0127-005-001,LARGE RUMINANTS,,,,,,,,
48-18-47-32,0127-005-001,SMALL RUMINANTS,,,,,,,,
48-18-47-32,0127-005-001,PIGS,,,,,,,,
48-18-47-32,0127-005-001,POULTRY,,,,,,,,
48-18-47-32,0127-005-001,DONKEYS,,,,,,,,
48-18-47-32,0127-005-001,OTHER ANIMALS,,,,,,,,
87-27-18-80,0128-001-001,LARGE RUMINANTS,,,,,,,,
87-27-18-80,0128-001-001,SMALL RUMINANTS,,,,,,,,
87-27-18-80,0128-001-001,PIGS,,,,,,,,
87-27-18-80,0128-001-001,POULTRY,YES,MANURE,,,40,KG,,
87-27-18-80,0128-001-001,DONKEYS,,,,,,,,
87-27-18-80,0128-001-001,OTHER ANIMALS,,,,,,,,
77-02-36-76,0129-001-001,LARGE RUMINANTS,,,,,,,,
77-02-36-76,0129-001-001,SMALL RUMINANTS,,,,,,,,
77-02-36-76,0129-001-001,PIGS,,,,,,,,
77-02-36-76,0129-001-001,POULTRY,,,,,,,,
77-02-36-76,0129-001-001,DONKEYS,,,,,,,,
77-02-36-76,0129-001-001,OTHER ANIMALS,,,,,,,,
71-99-12-22,0129-004-003,LARGE RUMINANTS,,,,,,,,
71-99-12-22,0129-004-003,SMALL RUMINANTS,,,,,,,,
71-99-12-22,0129-004-003,PIGS,,,,,,,,
71-99-12-22,0129-004-003,POULTRY,,,,,,,,
71-99-12-22,0129-004-003,DONKEYS,,,,,,,,
71-99-12-22,0129-004-003,OTHER ANIMALS,,,,,,,,
30-09-14-99,0129-004-004,LARGE RUMINANTS,,,,,,,,
30-09-14-99,0129-004-004,SMALL RUMINANTS,,,,,,,,
30-09-14-99,0129-004-004,PIGS,,,,,,,,
30-09-14-99,0129-004-004,POULTRY,,,,,,,,
30-09-14-99,0129-004-004,DONKEYS,,,,,,,,
30-09-14-99,0129-004-004,OTHER ANIMALS,,,,,,,,
15-74-57-76,0130-001-001,LARGE RUMINANTS,,,,,,,,
15-74-57-76,0130-001-001,SMALL RUMINANTS,,,,,,,,
15-74-57-76,0130-001-001,PIGS,,,,,,,,
15-74-57-76,0130-001-001,POULTRY,,,,,,,,
15-74-57-76,0130-001-001,DONKEYS,,,,,,,,
15-74-57-76,0130-001-001,OTHER ANIMALS,,,,,,,,
18-53-46-11,0131-001-002,LARGE RUMINANTS,,,,,,,,
18-53-46-11,0131-001-002,SMALL RUMINANTS,,,,,,,,
18-53-46-11,0131-001-002,PIGS,,,,,,,,
18-53-46-11,0131-001-002,POULTRY,NO,,,,,,,
18-53-46-11,0131-001-002,DONKEYS,,,,,,,,
18-53-46-11,0131-001-002,OTHER ANIMALS,,,,,,,,
72-29-77-92,0133-001-001,LARGE RUMINANTS,,,,,,,,
72-29-77-92,0133-001-001,SMALL RUMINANTS,,,,,,,,
72-29-77-92,0133-001-001,PIGS,,,,,,,,
72-29-77-92,0133-001-001,POULTRY,,,,,,,,
72-29-77-92,0133-001-001,DONKEYS,,,,,,,,
72-29-77-92,0133-001-001,OTHER ANIMALS,,,,,,,,
44-39-10-22,0134-001-001,LARGE RUMINANTS,,,,,,,,
44-39-10-22,0134-001-001,SMALL RUMINANTS,,,,,,,,
44-39-10-22,0134-001-001,PIGS,,,,,,,,
44-39-10-22,0134-001-001,POULTRY,NO,,,,,,,
44-39-10-22,0134-001-001,DONKEYS,,,,,,,,
44-39-10-22,0134-001-001,OTHER ANIMALS,,,,,,,,
23-86-10-09,0134-006-001,LARGE RUMINANTS,,,,,,,,
23-86-10-09,0134-006-001,SMALL RUMINANTS,,,,,,,,
23-86-10-09,0134-006-001,PIGS,,,,,,,,
23-86-10-09,0134-006-001,POULTRY,,,,,,,,
23-86-10-09,0134-006-001,DONKEYS,,,,,,,,
23-86-10-09,0134-006-001,OTHER ANIMALS,,,,,,,,
49-77-74-54,0136-001-001,LARGE RUMINANTS,,,,,,,,
49-77-74-54,0136-001-001,SMALL RUMINANTS,,,,,,,,
49-77-74-54,0136-001-001,PIGS,NO,,,,,,,
49-77-74-54,0136-001-001,POULTRY,NO,,,,,,,
49-77-74-54,0136-001-001,DONKEYS,,,,,,,,
49-77-74-54,0136-001-001,OTHER ANIMALS,,,,,,,,
21-87-07-74,0137-001-001,LARGE RUMINANTS,,,,,,,,
21-87-07-74,0137-001-001,SMALL RUMINANTS,,,,,,,,
21-87-07-74,0137-001-001,PIGS,YES,MANURE,,,200,KG,,
21-87-07-74,0137-001-001,POULTRY,YES,MANURE,,,100,KG,,
21-87-07-74,0137-001-001,DONKEYS,,,,,,,,
21-87-07-74,0137-001-001,OTHER ANIMALS,,,,,,,,
91-46-77-86,0137-003-001,LARGE RUMINANTS,,,,,,,,
91-46-77-86,0137-003-001,SMALL RUMINANTS,,,,,,,,
91-46-77-86,0137-003-001,PIGS,NO,,,,,,,
91-46-77-86,0137-003-001,POULTRY,NO,,,,,,,
91-46-77-86,0137-003-001,DONKEYS,,,,,,,,
91-46-77-86,0137-003-001,OTHER ANIMALS,,,,,,,,
96-40-12-40,0138-002-001,LARGE RUMINANTS,,,,,,,,
96-40-12-40,0138-002-001,SMALL RUMINANTS,,,,,,,,
96-40-12-40,0138-002-001,PIGS,,,,,,,,
96-40-12-40,0138-002-001,POULTRY,,,,,,,,
96-40-12-40,0138-002-001,DONKEYS,,,,,,,,
96-40-12-40,0138-002-001,OTHER ANIMALS,,,,,,,,
51-16-04-26,0139-001-001,LARGE RUMINANTS,,,,,,,,
51-16-04-26,0139-001-001,SMALL RUMINANTS,,,,,,,,
51-16-04-26,0139-001-001,PIGS,,,,,,,,
51-16-04-26,0139-001-001,POULTRY,NO,,,,,,,
51-16-04-26,0139-001-001,DONKEYS,,,,,,,,
51-16-04-26,0139-001-001,OTHER ANIMALS,,,,,,,,
78-88-97-43,0140-002-001,LARGE RUMINANTS,,,,,,,,
78-88-97-43,0140-002-001,SMALL RUMINANTS,,,,,,,,
78-88-97-43,0140-002-001,PIGS,,,,,,,,
78-88-97-43,0140-002-001,POULTRY,YES,MANURE,,,20,KG,,
78-88-97-43,0140-002-001,DONKEYS,,,,,,,,
78-88-97-43,0140-002-001,OTHER ANIMALS,,,,,,,,
43-41-40-08,0142-001-001,LARGE RUMINANTS,,,,,,,,
43-41-40-08,0142-001-001,SMALL RUMINANTS,,,,,,,,
43-41-40-08,0142-001-001,PIGS,,,,,,,,
43-41-40-08,0142-001-001,POULTRY,NO,,,,,,,
43-41-40-08,0142-001-001,DONKEYS,,,,,,,,
43-41-40-08,0142-001-001,OTHER ANIMALS,,,,,,,,
18-32-58-97,0142-002-001,LARGE RUMINANTS,,,,,,,,
18-32-58-97,0142-002-001,SMALL RUMINANTS,,,,,,,,
18-32-58-97,0142-002-001,PIGS,,,,,,,,
18-32-58-97,0142-002-001,POULTRY,,,,,,,,
18-32-58-97,0142-002-001,DONKEYS,,,,,,,,
18-32-58-97,0142-002-001,OTHER ANIMALS,,,,,,,,
93-57-90-59,0142-002-002,LARGE RUMINANTS,,,,,,,,
93-57-90-59,0142-002-002,SMALL RUMINANTS,,,,,,,,
93-57-90-59,0142-002-002,PIGS,,,,,,,,
93-57-90-59,0142-002-002,POULTRY,,,,,,,,
93-57-90-59,0142-002-002,DONKEYS,,,,,,,,
93-57-90-59,0142-002-002,OTHER ANIMALS,,,,,,,,
45-56-78-16,0142-006-001,LARGE RUMINANTS,,,,,,,,
45-56-78-16,0142-006-001,SMALL RUMINANTS,,,,,,,,
45-56-78-16,0142-006-001,PIGS,,,,,,,,
45-56-78-16,0142-006-001,POULTRY,,,,,,,,
45-56-78-16,0142-006-001,DONKEYS,,,,,,,,
45-56-78-16,0142-006-001,OTHER ANIMALS,,,,,,,,
76-14-00-21,0142-006-002,LARGE RUMINANTS,,,,,,,,
76-14-00-21,0142-006-002,SMALL RUMINANTS,,,,,,,,
76-14-00-21,0142-006-002,PIGS,,,,,,,,
76-14-00-21,0142-006-002,POULTRY,,,,,,,,
76-14-00-21,0142-006-002,DONKEYS,,,,,,,,
76-14-00-21,0142-006-002,OTHER ANIMALS,,,,,,,,
70-42-29-42,0143-001-001,LARGE RUMINANTS,,,,,,,,
70-42-29-42,0143-001-001,SMALL RUMINANTS,,,,,,,,
70-42-29-42,0143-001-001,PIGS,,,,,,,,
70-42-29-42,0143-001-001,POULTRY,YES,MANURE,,,3,KG,,
70-42-29-42,0143-001-001,DONKEYS,,,,,,,,
70-42-29-42,0143-001-001,OTHER ANIMALS,,,,,,,,
30-35-00-07,0144-001-001,LARGE RUMINANTS,,,,,,,,
30-35-00-07,0144-001-001,SMALL RUMINANTS,,,,,,,,
30-35-00-07,0144-001-001,PIGS,,,,,,,,
30-35-00-07,0144-001-001,POULTRY,,,,,,,,
30-35-00-07,0144-001-001,DONKEYS,,,,,,,,
30-35-00-07,0144-001-001,OTHER ANIMALS,,,,,,,,
73-64-37-36,0145-002-001,LARGE RUMINANTS,,,,,,,,
73-64-37-36,0145-002-001,SMALL RUMINANTS,,,,,,,,
73-64-37-36,0145-002-001,PIGS,,,,,,,,
73-64-37-36,0145-002-001,POULTRY,,,,,,,,
73-64-37-36,0145-002-001,DONKEYS,,,,,,,,
73-64-37-36,0145-002-001,OTHER ANIMALS,,,,,,,,
22-45-37-86,0146-001-001,LARGE RUMINANTS,,,,,,,,
22-45-37-86,0146-001-001,SMALL RUMINANTS,,,,,,,,
22-45-37-86,0146-001-001,PIGS,,,,,,,,
22-45-37-86,0146-001-001,POULTRY,NO,,,,,,,
22-45-37-86,0146-001-001,DONKEYS,,,,,,,,
22-45-37-86,0146-001-001,OTHER ANIMALS,,,,,,,,
44-69-89-77,0146-001-003,LARGE RUMINANTS,,,,,,,,
44-69-89-77,0146-001-003,SMALL RUMINANTS,,,,,,,,
44-69-89-77,0146-001-003,PIGS,,,,,,,,
44-69-89-77,0146-001-003,POULTRY,,,,,,,,
44-69-89-77,0146-001-003,DONKEYS,,,,,,,,
44-69-89-77,0146-001-003,OTHER ANIMALS,,,,,,,,
64-63-77-61,0146-001-007,LARGE RUMINANTS,,,,,,,,
64-63-77-61,0146-001-007,SMALL RUMINANTS,,,,,,,,
64-63-77-61,0146-001-007,PIGS,,,,,,,,
64-63-77-61,0146-001-007,POULTRY,,,,,,,,
64-63-77-61,0146-001-007,DONKEYS,,,,,,,,
64-63-77-61,0146-001-007,OTHER ANIMALS,,,,,,,,
80-90-53-00,0146-001-009,LARGE RUMINANTS,,,,,,,,
80-90-53-00,0146-001-009,SMALL RUMINANTS,,,,,,,,
80-90-53-00,0146-001-009,PIGS,,,,,,,,
80-90-53-00,0146-001-009,POULTRY,,,,,,,,
80-90-53-00,0146-001-009,DONKEYS,,,,,,,,
80-90-53-00,0146-001-009,OTHER ANIMALS,,,,,,,,
38-77-50-86,0147-001-001,LARGE RUMINANTS,,,,,,,,
38-77-50-86,0147-001-001,SMALL RUMINANTS,,,,,,,,
38-77-50-86,0147-001-001,PIGS,,,,,,,,
38-77-50-86,0147-001-001,POULTRY,,,,,,,,
38-77-50-86,0147-001-001,DONKEYS,,,,,,,,
38-77-50-86,0147-001-001,OTHER ANIMALS,,,,,,,,
27-48-78-18,0148-001-001,LARGE RUMINANTS,,,,,,,,
27-48-78-18,0148-001-001,SMALL RUMINANTS,,,,,,,,
27-48-78-18,0148-001-001,PIGS,,,,,,,,
27-48-78-18,0148-001-001,POULTRY,,,,,,,,
27-48-78-18,0148-001-001,DONKEYS,,,,,,,,
27-48-78-18,0148-001-001,OTHER ANIMALS,,,,,,,,
55-93-34-62,0149-001-002,LARGE RUMINANTS,,,,,,,,
55-93-34-62,0149-001-002,SMALL RUMINANTS,NO,,,,,,,
55-93-34-62,0149-001-002,PIGS,,,,,,,,
55-93-34-62,0149-001-002,POULTRY,NO,,,,,,,
55-93-34-62,0149-001-002,DONKEYS,,,,,,,,
55-93-34-62,0149-001-002,OTHER ANIMALS,,,,,,,,
42-47-45-53,0149-001-009,LARGE RUMINANTS,,,,,,,,
42-47-45-53,0149-001-009,SMALL RUMINANTS,,,,,,,,
42-47-45-53,0149-001-009,PIGS,,,,,,,,
42-47-45-53,0149-001-009,POULTRY,NO,,,,,,,
42-47-45-53,0149-001-009,DONKEYS,,,,,,,,
42-47-45-53,0149-001-009,OTHER ANIMALS,,,,,,,,
52-34-01-68,0151-001-001,LARGE RUMINANTS,,,,,,,,
52-34-01-68,0151-001-001,SMALL RUMINANTS,,,,,,,,
52-34-01-68,0151-001-001,PIGS,,,,,,,,
52-34-01-68,0151-001-001,POULTRY,,,,,,,,
52-34-01-68,0151-001-001,DONKEYS,,,,,,,,
52-34-01-68,0151-001-001,OTHER ANIMALS,,,,,,,,
66-61-34-49,0151-001-003,LARGE RUMINANTS,,,,,,,,
66-61-34-49,0151-001-003,SMALL RUMINANTS,,,,,,,,
66-61-34-49,0151-001-003,PIGS,,,,,,,,
66-61-34-49,0151-001-003,POULTRY,,,,,,,,
66-61-34-49,0151-001-003,DONKEYS,,,,,,,,
66-61-34-49,0151-001-003,OTHER ANIMALS,,,,,,,,
30-08-77-60,0152-001-002,LARGE RUMINANTS,,,,,,,,
30-08-77-60,0152-001-002,SMALL RUMINANTS,,,,,,,,
30-08-77-60,0152-001-002,PIGS,,,,,,,,
30-08-77-60,0152-001-002,POULTRY,,,,,,,,
30-08-77-60,0152-001-002,DONKEYS,,,,,,,,
30-08-77-60,0152-001-002,OTHER ANIMALS,,,,,,,,
24-38-82-18,0153-001-001,LARGE RUMINANTS,,,,,,,,
24-38-82-18,0153-001-001,SMALL RUMINANTS,,,,,,,,
24-38-82-18,0153-001-001,PIGS,,,,,,,,
24-38-82-18,0153-001-001,POULTRY,,,,,,,,
24-38-82-18,0153-001-001,DONKEYS,,,,,,,,
24-38-82-18,0153-001-001,OTHER ANIMALS,,,,,,,,
10-44-19-68,0154-001-001,LARGE RUMINANTS,,,,,,,,
10-44-19-68,0154-001-001,SMALL RUMINANTS,,,,,,,,
10-44-19-68,0154-001-001,PIGS,,,,,,,,
10-44-19-68,0154-001-001,POULTRY,,,,,,,,
10-44-19-68,0154-001-001,DONKEYS,,,,,,,,
10-44-19-68,0154-001-001,OTHER ANIMALS,,,,,,,,
04-84-88-57,0155-001-001,LARGE RUMINANTS,,,,,,,,
04-84-88-57,0155-001-001,SMALL RUMINANTS,,,,,,,,
04-84-88-57,0155-001-001,PIGS,,,,,,,,
04-84-88-57,0155-001-001,POULTRY,,,,,,,,
04-84-88-57,0155-001-001,DONKEYS,,,,,,,,
04-84-88-57,0155-001-001,OTHER ANIMALS,,,,,,,,
32-87-19-04,0155-001-002,LARGE RUMINANTS,,,,,,,,
32-87-19-04,0155-001-002,SMALL RUMINANTS,,,,,,,,
32-87-19-04,0155-001-002,PIGS,,,,,,,,
32-87-19-04,0155-001-002,POULTRY,,,,,,,,
32-87-19-04,0155-001-002,DONKEYS,,,,,,,,
32-87-19-04,0155-001-002,OTHER ANIMALS,,,,,,,,
35-61-56-23,0155-001-003,LARGE RUMINANTS,,,,,,,,
35-61-56-23,0155-001-003,SMALL RUMINANTS,,,,,,,,
35-61-56-23,0155-001-003,PIGS,,,,,,,,
35-61-56-23,0155-001-003,POULTRY,,,,,,,,
35-61-56-23,0155-001-003,DONKEYS,,,,,,,,
35-61-56-23,0155-001-003,OTHER ANIMALS,,,,,,,,
63-01-65-91,0155-001-005,LARGE RUMINANTS,,,,,,,,
63-01-65-91,0155-001-005,SMALL RUMINANTS,,,,,,,,
63-01-65-91,0155-001-005,PIGS,,,,,,,,
63-01-65-91,0155-001-005,POULTRY,,,,,,,,
63-01-65-91,0155-001-005,DONKEYS,,,,,,,,
63-01-65-91,0155-001-005,OTHER ANIMALS,,,,,,,,
04-30-93-81,0157-001-001,LARGE RUMINANTS,,,,,,,,
04-30-93-81,0157-001-001,SMALL RUMINANTS,,,,,,,,
04-30-93-81,0157-001-001,PIGS,,,,,,,,
04-30-93-81,0157-001-001,POULTRY,,,,,,,,
04-30-93-81,0157-001-001,DONKEYS,,,,,,,,
04-30-93-81,0157-001-001,OTHER ANIMALS,,,,,,,,
11-64-23-03,0158-001-001,LARGE RUMINANTS,,,,,,,,
11-64-23-03,0158-001-001,SMALL RUMINANTS,,,,,,,,
11-64-23-03,0158-001-001,PIGS,,,,,,,,
11-64-23-03,0158-001-001,POULTRY,,,,,,,,
11-64-23-03,0158-001-001,DONKEYS,,,,,,,,
11-64-23-03,0158-001-001,OTHER ANIMALS,,,,,,,,
49-01-93-27,0158-001-003,LARGE RUMINANTS,,,,,,,,
49-01-93-27,0158-001-003,SMALL RUMINANTS,,,,,,,,
49-01-93-27,0158-001-003,PIGS,,,,,,,,
49-01-93-27,0158-001-003,POULTRY,,,,,,,,
49-01-93-27,0158-001-003,DONKEYS,,,,,,,,
49-01-93-27,0158-001-003,OTHER ANIMALS,,,,,,,,
88-54-76-45,0159-001-002,LARGE RUMINANTS,NO,,,,,,NO,NO
88-54-76-45,0159-001-002,SMALL RUMINANTS,,,,,,,,
88-54-76-45,0159-001-002,PIGS,,,,,,,,
88-54-76-45,0159-001-002,POULTRY,NO,,,,,,,
88-54-76-45,0159-001-002,DONKEYS,,,,,,,,
88-54-76-45,0159-001-002,OTHER ANIMALS,,,,,,,,
22-99-30-42,0159-001-003,LARGE RUMINANTS,,,,,,,,
22-99-30-42,0159-001-003,SMALL RUMINANTS,,,,,,,,
22-99-30-42,0159-001-003,PIGS,,,,,,,,
22-99-30-42,0159-001-003,POULTRY,NO,,,,,,,
22-99-30-42,0159-001-003,DONKEYS,,,,,,,,
22-99-30-42,0159-001-003,OTHER ANIMALS,,,,,,,,
69-81-01-27,0160-001-001,LARGE RUMINANTS,,,,,,,,
69-81-01-27,0160-001-001,SMALL RUMINANTS,,,,,,,,
69-81-01-27,0160-001-001,PIGS,,,,,,,,
69-81-01-27,0160-001-001,POULTRY,,,,,,,,
69-81-01-27,0160-001-001,DONKEYS,,,,,,,,
69-81-01-27,0160-001-001,OTHER ANIMALS,,,,,,,,
38-35-31-19,0160-002-001,LARGE RUMINANTS,,,,,,,,
38-35-31-19,0160-002-001,SMALL RUMINANTS,,,,,,,,
38-35-31-19,0160-002-001,PIGS,,,,,,,,
38-35-31-19,0160-002-001,POULTRY,NO,,,,,,,
38-35-31-19,0160-002-001,DONKEYS,,,,,,,,
38-35-31-19,0160-002-001,OTHER ANIMALS,,,,,,,,
29-29-15-18,0161-001-001,LARGE RUMINANTS,,,,,,,,
29-29-15-18,0161-001-001,SMALL RUMINANTS,,,,,,,,
29-29-15-18,0161-001-001,PIGS,,,,,,,,
29-29-15-18,0161-001-001,POULTRY,,,,,,,,
29-29-15-18,0161-001-001,DONKEYS,,,,,,,,
29-29-15-18,0161-001-001,OTHER ANIMALS,,,,,,,,
53-54-39-20,0162-001-001,LARGE RUMINANTS,,,,,,,,
53-54-39-20,0162-001-001,SMALL RUMINANTS,,,,,,,,
53-54-39-20,0162-001-001,PIGS,,,,,,,,
53-54-39-20,0162-001-001,POULTRY,,,,,,,,
53-54-39-20,0162-001-001,DONKEYS,,,,,,,,
53-54-39-20,0162-001-001,OTHER ANIMALS,,,,,,,,
89-30-25-72,0163-001-001,LARGE RUMINANTS,,,,,,,,
89-30-25-72,0163-001-001,SMALL RUMINANTS,,,,,,,,
89-30-25-72,0163-001-001,PIGS,,,,,,,,
89-30-25-72,0163-001-001,POULTRY,,,,,,,,
89-30-25-72,0163-001-001,DONKEYS,,,,,,,,
89-30-25-72,0163-001-001,OTHER ANIMALS,,,,,,,,
74-07-84-83,0163-001-002,LARGE RUMINANTS,,,,,,,,
74-07-84-83,0163-001-002,SMALL RUMINANTS,,,,,,,,
74-07-84-83,0163-001-002,PIGS,,,,,,,,
74-07-84-83,0163-001-002,POULTRY,,,,,,,,
74-07-84-83,0163-001-002,DONKEYS,,,,,,,,
74-07-84-83,0163-001-002,OTHER ANIMALS,,,,,,,,
17-99-98-98,0164-001-001,LARGE RUMINANTS,,,,,,,,
17-99-98-98,0164-001-001,SMALL RUMINANTS,,,,,,,,
17-99-98-98,0164-001-001,PIGS,,,,,,,,
17-99-98-98,0164-001-001,POULTRY,,,,,,,,
17-99-98-98,0164-001-001,DONKEYS,,,,,,,,
17-99-98-98,0164-001-001,OTHER ANIMALS,,,,,,,,
54-64-05-36,0166-001-001,LARGE RUMINANTS,,,,,,,,
54-64-05-36,0166-001-001,SMALL RUMINANTS,,,,,,,,
54-64-05-36,0166-001-001,PIGS,,,,,,,,
54-64-05-36,0166-001-001,POULTRY,,,,,,,,
54-64-05-36,0166-001-001,DONKEYS,,,,,,,,
54-64-05-36,0166-001-001,OTHER ANIMALS,,,,,,,,
56-50-71-92,0167-001-001,LARGE RUMINANTS,,,,,,,,
56-50-71-92,0167-001-001,SMALL RUMINANTS,,,,,,,,
56-50-71-92,0167-001-001,PIGS,,,,,,,,
56-50-71-92,0167-001-001,POULTRY,,,,,,,,
56-50-71-92,0167-001-001,DONKEYS,,,,,,,,
56-50-71-92,0167-001-001,OTHER ANIMALS,,,,,,,,
72-54-77-52,0168-002-001,LARGE RUMINANTS,,,,,,,,
72-54-77-52,0168-002-001,SMALL RUMINANTS,,,,,,,,
72-54-77-52,0168-002-001,PIGS,,,,,,,,
72-54-77-52,0168-002-001,POULTRY,,,,,,,,
72-54-77-52,0168-002-001,DONKEYS,,,,,,,,
72-54-77-52,0168-002-001,OTHER ANIMALS,,,,,,,,
59-93-30-27,0168-002-002,LARGE RUMINANTS,,,,,,,,
59-93-30-27,0168-002-002,SMALL RUMINANTS,,,,,,,,
59-93-30-27,0168-002-002,PIGS,,,,,,,,
59-93-30-27,0168-002-002,POULTRY,,,,,,,,
59-93-30-27,0168-002-002,DONKEYS,,,,,,,,
59-93-30-27,0168-002-002,OTHER ANIMALS,,,,,,,,
54-61-17-84,0169-001-001,LARGE RUMINANTS,,,,,,,,
54-61-17-84,0169-001-001,SMALL RUMINANTS,,,,,,,,
54-61-17-84,0169-001-001,PIGS,,,,,,,,
54-61-17-84,0169-001-001,POULTRY,,,,,,,,
54-61-17-84,0169-001-001,DONKEYS,,,,,,,,
54-61-17-84,0169-001-001,OTHER ANIMALS,,,,,,,,
58-64-20-38,0170-001-001,LARGE RUMINANTS,,,,,,,,
58-64-20-38,0170-001-001,SMALL RUMINANTS,,,,,,,,
58-64-20-38,0170-001-001,PIGS,,,,,,,,
58-64-20-38,0170-001-001,POULTRY,,,,,,,,
58-64-20-38,0170-001-001,DONKEYS,,,,,,,,
58-64-20-38,0170-001-001,OTHER ANIMALS,,,,,,,,
23-91-88-28,0172-004-001,LARGE RUMINANTS,,,,,,,,
23-91-88-28,0172-004-001,SMALL RUMINANTS,,,,,,,,
23-91-88-28,0172-004-001,PIGS,,,,,,,,
23-91-88-28,0172-004-001,POULTRY,,,,,,,,
23-91-88-28,0172-004-001,DONKEYS,,,,,,,,
23-91-88-28,0172-004-001,OTHER ANIMALS,,,,,,,,
45-63-97-96,0173-001-001,LARGE RUMINANTS,,,,,,,,
45-63-97-96,0173-001-001,SMALL RUMINANTS,,,,,,,,
45-63-97-96,0173-001-001,PIGS,,,,,,,,
45-63-97-96,0173-001-001,POULTRY,,,,,,,,
45-63-97-96,0173-001-001,DONKEYS,,,,,,,,
45-63-97-96,0173-001-001,OTHER ANIMALS,,,,,,,,
73-57-62-18,0173-003-001,LARGE RUMINANTS,,,,,,,,
73-57-62-18,0173-003-001,SMALL RUMINANTS,,,,,,,,
73-57-62-18,0173-003-001,PIGS,,,,,,,,
73-57-62-18,0173-003-001,POULTRY,,,,,,,,
73-57-62-18,0173-003-001,DONKEYS,,,,,,,,
73-57-62-18,0173-003-001,OTHER ANIMALS,,,,,,,,
61-35-02-97,0174-002-001,LARGE RUMINANTS,,,,,,,,
61-35-02-97,0174-002-001,SMALL RUMINANTS,,,,,,,,
61-35-02-97,0174-002-001,PIGS,,,,,,,,
61-35-02-97,0174-002-001,POULTRY,,,,,,,,
61-35-02-97,0174-002-001,DONKEYS,,,,,,,,
61-35-02-97,0174-002-001,OTHER ANIMALS,,,,,,,,
88-48-93-24,0174-002-003,LARGE RUMINANTS,,,,,,,,
88-48-93-24,0174-002-003,SMALL RUMINANTS,,,,,,,,
88-48-93-24,0174-002-003,PIGS,,,,,,,,
88-48-93-24,0174-002-003,POULTRY,NO,,,,,,,
88-48-93-24,0174-002-003,DONKEYS,,,,,,,,
88-48-93-24,0174-002-003,OTHER ANIMALS,,,,,,,,
59-64-10-91,0175-001-001,LARGE RUMINANTS,,,,,,,,
59-64-10-91,0175-001-001,SMALL RUMINANTS,,,,,,,,
59-64-10-91,0175-001-001,PIGS,,,,,,,,
59-64-10-91,0175-001-001,POULTRY,,,,,,,,
59-64-10-91,0175-001-001,DONKEYS,,,,,,,,
59-64-10-91,0175-001-001,OTHER ANIMALS,,,,,,,,
94-29-87-68,0175-001-002,LARGE RUMINANTS,,,,,,,,
94-29-87-68,0175-001-002,SMALL RUMINANTS,,,,,,,,
94-29-87-68,0175-001-002,PIGS,,,,,,,,
94-29-87-68,0175-001-002,POULTRY,,,,,,,,
94-29-87-68,0175-001-002,DONKEYS,,,,,,,,
94-29-87-68,0175-001-002,OTHER ANIMALS,,,,,,,,
80-22-80-03,0175-003-001,LARGE RUMINANTS,,,,,,,,
80-22-80-03,0175-003-001,SMALL RUMINANTS,,,,,,,,
80-22-80-03,0175-003-001,PIGS,,,,,,,,
80-22-80-03,0175-003-001,POULTRY,,,,,,,,
80-22-80-03,0175-003-001,DONKEYS,,,,,,,,
80-22-80-03,0175-003-001,OTHER ANIMALS,,,,,,,,
23-37-68-79,0175-007-001,LARGE RUMINANTS,,,,,,,,
23-37-68-79,0175-007-001,SMALL RUMINANTS,,,,,,,,
23-37-68-79,0175-007-001,PIGS,,,,,,,,
23-37-68-79,0175-007-001,POULTRY,,,,,,,,
23-37-68-79,0175-007-001,DONKEYS,,,,,,,,
23-37-68-79,0175-007-001,OTHER ANIMALS,,,,,,,,
69-45-62-82,0175-008-002,LARGE RUMINANTS,,,,,,,,
69-45-62-82,0175-008-002,SMALL RUMINANTS,,,,,,,,
69-45-62-82,0175-008-002,PIGS,,,,,,,,
69-45-62-82,0175-008-002,POULTRY,,,,,,,,
69-45-62-82,0175-008-002,DONKEYS,,,,,,,,
69-45-62-82,0175-008-002,OTHER ANIMALS,,,,,,,,
24-73-10-13,0175-008-003,LARGE RUMINANTS,,,,,,,,
24-73-10-13,0175-008-003,SMALL RUMINANTS,,,,,,,,
24-73-10-13,0175-008-003,PIGS,,,,,,,,
24-73-10-13,0175-008-003,POULTRY,,,,,,,,
24-73-10-13,0175-008-003,DONKEYS,,,,,,,,
24-73-10-13,0175-008-003,OTHER ANIMALS,,,,,,,,
05-54-45-31,0175-014-001,LARGE RUMINANTS,,,,,,,,
05-54-45-31,0175-014-001,SMALL RUMINANTS,,,,,,,,
05-54-45-31,0175-014-001,PIGS,,,,,,,,
05-54-45-31,0175-014-001,POULTRY,,,,,,,,
05-54-45-31,0175-014-001,DONKEYS,,,,,,,,
05-54-45-31,0175-014-001,OTHER ANIMALS,,,,,,,,
78-81-52-69,0175-014-003,LARGE RUMINANTS,,,,,,,,
78-81-52-69,0175-014-003,SMALL RUMINANTS,,,,,,,,
78-81-52-69,0175-014-003,PIGS,,,,,,,,
78-81-52-69,0175-014-003,POULTRY,,,,,,,,
78-81-52-69,0175-014-003,DONKEYS,,,,,,,,
78-81-52-69,0175-014-003,OTHER ANIMALS,,,,,,,,
