interview__key,sdd_hhid,itemcode,hh_k01,hh_k02
60-79-06-82,0218-001-002,"MILLING FEES, GRAIN",NO,
60-79-06-82,0218-001-002,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2000
60-79-06-82,0218-001-002,CLOTHES SOAP (POWDER),NO,
60-79-06-82,0218-001-002,"TOOTHPASTE, TOOTHBRUSH",NO,
60-79-06-82,0218-001-002,TOILET PAPER,NO,
60-79-06-82,0218-001-002,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
60-79-06-82,0218-001-002,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
60-79-06-82,0218-001-002,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",YES,500
60-79-06-82,0218-001-002,LIGHT BULBS,NO,
60-79-06-82,0218-001-002,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
60-79-06-82,0218-001-002,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,12000
60-79-06-82,0218-001-002,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
60-79-06-82,0218-001-002,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
60-79-06-82,0218-001-002,WAGES PAID TO SERVANTS,NO,
60-79-06-82,0218-001-002,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
60-79-06-82,0218-001-002,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
43-30-23-38,0218-001-003,CIGARETTES OR TOBACCO,NO,
43-30-23-38,0218-001-003,MATCHES,YES,700
43-30-23-38,0218-001-003,PUBLIC TRANSPORT,YES,7000
43-30-23-38,0218-001-003,KEROSENE,YES,2350
43-30-23-38,0218-001-003,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,10000
43-30-23-38,0218-001-003,GAS (FOR LIGHTING/COOKING),YES,15000
43-30-23-38,0218-001-003,WATER,YES,10000
43-30-23-38,0218-001-003,PETROL OR DIESEL,NO,
43-30-23-38,0218-001-003,CELL PHONE VOUCHER,YES,8000
43-30-23-38,0218-001-003,CHARCOAL,YES,16000
43-30-23-38,0218-001-003,"MILLING FEES, GRAIN",NO,
43-30-23-38,0218-001-003,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2000
43-30-23-38,0218-001-003,CLOTHES SOAP (POWDER),YES,2000
43-30-23-38,0218-001-003,"TOOTHPASTE, TOOTHBRUSH",YES,2000
43-30-23-38,0218-001-003,TOILET PAPER,NO,
43-30-23-38,0218-001-003,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
43-30-23-38,0218-001-003,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
43-30-23-38,0218-001-003,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",YES,6000
43-30-23-38,0218-001-003,LIGHT BULBS,NO,
43-30-23-38,0218-001-003,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
43-30-23-38,0218-001-003,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,5000
43-30-23-38,0218-001-003,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
43-30-23-38,0218-001-003,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
43-30-23-38,0218-001-003,WAGES PAID TO SERVANTS,NO,
43-30-23-38,0218-001-003,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
43-30-23-38,0218-001-003,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
06-92-75-91,0218-001-005,CIGARETTES OR TOBACCO,NO,
06-92-75-91,0218-001-005,MATCHES,NO,
06-92-75-91,0218-001-005,PUBLIC TRANSPORT,NO,
06-92-75-91,0218-001-005,KEROSENE,NO,
06-92-75-91,0218-001-005,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
06-92-75-91,0218-001-005,GAS (FOR LIGHTING/COOKING),NO,
06-92-75-91,0218-001-005,WATER,NO,
06-92-75-91,0218-001-005,PETROL OR DIESEL,YES,25000
06-92-75-91,0218-001-005,CELL PHONE VOUCHER,YES,8000
06-92-75-91,0218-001-005,CHARCOAL,NO,
06-92-75-91,0218-001-005,"MILLING FEES, GRAIN",NO,
06-92-75-91,0218-001-005,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,5000
06-92-75-91,0218-001-005,CLOTHES SOAP (POWDER),YES,4000
06-92-75-91,0218-001-005,"TOOTHPASTE, TOOTHBRUSH",YES,2000
06-92-75-91,0218-001-005,TOILET PAPER,NO,
06-92-75-91,0218-001-005,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
06-92-75-91,0218-001-005,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,4000
06-92-75-91,0218-001-005,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
06-92-75-91,0218-001-005,LIGHT BULBS,NO,
06-92-75-91,0218-001-005,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
06-92-75-91,0218-001-005,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
06-92-75-91,0218-001-005,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",YES,15000
06-92-75-91,0218-001-005,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
06-92-75-91,0218-001-005,WAGES PAID TO SERVANTS,NO,
06-92-75-91,0218-001-005,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
06-92-75-91,0218-001-005,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
98-66-63-47,0219-001-001,CIGARETTES OR TOBACCO,NO,
98-66-63-47,0219-001-001,MATCHES,YES,300
98-66-63-47,0219-001-001,PUBLIC TRANSPORT,YES,3000
98-66-63-47,0219-001-001,KEROSENE,NO,
98-66-63-47,0219-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,10000
98-66-63-47,0219-001-001,GAS (FOR LIGHTING/COOKING),NO,
98-66-63-47,0219-001-001,WATER,YES,4800
98-66-63-47,0219-001-001,PETROL OR DIESEL,NO,
98-66-63-47,0219-001-001,CELL PHONE VOUCHER,YES,6000
98-66-63-47,0219-001-001,CHARCOAL,YES,30000
98-66-63-47,0219-001-001,"MILLING FEES, GRAIN",NO,
98-66-63-47,0219-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,6000
98-66-63-47,0219-001-001,CLOTHES SOAP (POWDER),YES,4000
98-66-63-47,0219-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,3500
98-66-63-47,0219-001-001,TOILET PAPER,NO,
98-66-63-47,0219-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2500
98-66-63-47,0219-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,3000
98-66-63-47,0219-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",YES,3000
98-66-63-47,0219-001-001,LIGHT BULBS,YES,5000
98-66-63-47,0219-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
98-66-63-47,0219-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,5000
98-66-63-47,0219-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
98-66-63-47,0219-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
98-66-63-47,0219-001-001,WAGES PAID TO SERVANTS,NO,
98-66-63-47,0219-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
98-66-63-47,0219-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",YES,7000
32-61-13-34,0219-005-001,CIGARETTES OR TOBACCO,NO,
32-61-13-34,0219-005-001,MATCHES,YES,500
32-61-13-34,0219-005-001,PUBLIC TRANSPORT,YES,7000
32-61-13-34,0219-005-001,KEROSENE,NO,
32-61-13-34,0219-005-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,15000
32-61-13-34,0219-005-001,GAS (FOR LIGHTING/COOKING),NO,
32-61-13-34,0219-005-001,WATER,YES,6000
32-61-13-34,0219-005-001,PETROL OR DIESEL,NO,
32-61-13-34,0219-005-001,CELL PHONE VOUCHER,YES,45000
32-61-13-34,0219-005-001,CHARCOAL,YES,30000
32-61-13-34,0219-005-001,"MILLING FEES, GRAIN",YES,3500
32-61-13-34,0219-005-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2000
32-61-13-34,0219-005-001,CLOTHES SOAP (POWDER),YES,1000
32-61-13-34,0219-005-001,"TOOTHPASTE, TOOTHBRUSH",YES,1200
32-61-13-34,0219-005-001,TOILET PAPER,NO,
32-61-13-34,0219-005-001,"GLYCERINE, VASELINE, SKIN CREAMS",NO,
32-61-13-34,0219-005-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
32-61-13-34,0219-005-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
32-61-13-34,0219-005-001,LIGHT BULBS,YES,2000
32-61-13-34,0219-005-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
32-61-13-34,0219-005-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
32-61-13-34,0219-005-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
32-61-13-34,0219-005-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
32-61-13-34,0219-005-001,WAGES PAID TO SERVANTS,NO,
32-61-13-34,0219-005-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
32-61-13-34,0219-005-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
97-60-22-72,0220-001-001,CIGARETTES OR TOBACCO,NO,
97-60-22-72,0220-001-001,MATCHES,YES,200
97-60-22-72,0220-001-001,PUBLIC TRANSPORT,YES,25000
97-60-22-72,0220-001-001,KEROSENE,NO,
97-60-22-72,0220-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
97-60-22-72,0220-001-001,GAS (FOR LIGHTING/COOKING),NO,
97-60-22-72,0220-001-001,WATER,YES,20000
97-60-22-72,0220-001-001,PETROL OR DIESEL,NO,
97-60-22-72,0220-001-001,CELL PHONE VOUCHER,YES,45000
97-60-22-72,0220-001-001,CHARCOAL,YES,30000
97-60-22-72,0220-001-001,"MILLING FEES, GRAIN",NO,
97-60-22-72,0220-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2800
97-60-22-72,0220-001-001,CLOTHES SOAP (POWDER),YES,8000
97-60-22-72,0220-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,1200
97-60-22-72,0220-001-001,TOILET PAPER,NO,
97-60-22-72,0220-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,300
97-60-22-72,0220-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,2500
97-60-22-72,0220-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
97-60-22-72,0220-001-001,LIGHT BULBS,NO,
97-60-22-72,0220-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
97-60-22-72,0220-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
97-60-22-72,0220-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
97-60-22-72,0220-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
97-60-22-72,0220-001-001,WAGES PAID TO SERVANTS,NO,
97-60-22-72,0220-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
97-60-22-72,0220-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
00-92-63-48,0220-001-003,CIGARETTES OR TOBACCO,NO,
00-92-63-48,0220-001-003,MATCHES,YES,100
00-92-63-48,0220-001-003,PUBLIC TRANSPORT,YES,60000
00-92-63-48,0220-001-003,KEROSENE,NO,
00-92-63-48,0220-001-003,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,5000
00-92-63-48,0220-001-003,GAS (FOR LIGHTING/COOKING),YES,19000
00-92-63-48,0220-001-003,WATER,YES,14000
00-92-63-48,0220-001-003,PETROL OR DIESEL,NO,
00-92-63-48,0220-001-003,CELL PHONE VOUCHER,YES,14000
00-92-63-48,0220-001-003,CHARCOAL,YES,15000
00-92-63-48,0220-001-003,"MILLING FEES, GRAIN",NO,
00-92-63-48,0220-001-003,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2000
00-92-63-48,0220-001-003,CLOTHES SOAP (POWDER),YES,3500
00-92-63-48,0220-001-003,"TOOTHPASTE, TOOTHBRUSH",YES,2500
00-92-63-48,0220-001-003,TOILET PAPER,NO,
00-92-63-48,0220-001-003,"GLYCERINE, VASELINE, SKIN CREAMS",YES,5000
00-92-63-48,0220-001-003,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,20000
00-92-63-48,0220-001-003,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",YES,5000
00-92-63-48,0220-001-003,LIGHT BULBS,YES,3500
00-92-63-48,0220-001-003,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
00-92-63-48,0220-001-003,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,5000
00-92-63-48,0220-001-003,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
00-92-63-48,0220-001-003,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
00-92-63-48,0220-001-003,WAGES PAID TO SERVANTS,NO,
00-92-63-48,0220-001-003,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
00-92-63-48,0220-001-003,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
14-53-90-07,0220-001-006,CIGARETTES OR TOBACCO,NO,
14-53-90-07,0220-001-006,MATCHES,YES,200
14-53-90-07,0220-001-006,PUBLIC TRANSPORT,YES,6000
14-53-90-07,0220-001-006,KEROSENE,NO,
14-53-90-07,0220-001-006,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,12000
14-53-90-07,0220-001-006,GAS (FOR LIGHTING/COOKING),NO,
14-53-90-07,0220-001-006,WATER,NO,
14-53-90-07,0220-001-006,PETROL OR DIESEL,NO,
14-53-90-07,0220-001-006,CELL PHONE VOUCHER,YES,16000
14-53-90-07,0220-001-006,CHARCOAL,YES,18000
14-53-90-07,0220-001-006,"MILLING FEES, GRAIN",NO,
14-53-90-07,0220-001-006,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2500
14-53-90-07,0220-001-006,CLOTHES SOAP (POWDER),YES,3500
14-53-90-07,0220-001-006,"TOOTHPASTE, TOOTHBRUSH",NO,
14-53-90-07,0220-001-006,TOILET PAPER,NO,
14-53-90-07,0220-001-006,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
14-53-90-07,0220-001-006,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,400
14-53-90-07,0220-001-006,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
14-53-90-07,0220-001-006,LIGHT BULBS,NO,
14-53-90-07,0220-001-006,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
14-53-90-07,0220-001-006,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
14-53-90-07,0220-001-006,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
14-53-90-07,0220-001-006,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
14-53-90-07,0220-001-006,WAGES PAID TO SERVANTS,NO,
14-53-90-07,0220-001-006,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
14-53-90-07,0220-001-006,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
73-82-11-64,0220-001-007,CIGARETTES OR TOBACCO,NO,
73-82-11-64,0220-001-007,MATCHES,YES,200
73-82-11-64,0220-001-007,PUBLIC TRANSPORT,YES,6000
73-82-11-64,0220-001-007,KEROSENE,NO,
73-82-11-64,0220-001-007,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,6000
73-82-11-64,0220-001-007,GAS (FOR LIGHTING/COOKING),NO,
73-82-11-64,0220-001-007,WATER,YES,18000
73-82-11-64,0220-001-007,PETROL OR DIESEL,NO,
73-82-11-64,0220-001-007,CELL PHONE VOUCHER,YES,15000
73-82-11-64,0220-001-007,CHARCOAL,YES,30000
73-82-11-64,0220-001-007,"MILLING FEES, GRAIN",NO,
73-82-11-64,0220-001-007,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,5000
73-82-11-64,0220-001-007,CLOTHES SOAP (POWDER),YES,2500
73-82-11-64,0220-001-007,"TOOTHPASTE, TOOTHBRUSH",YES,1000
73-82-11-64,0220-001-007,TOILET PAPER,NO,
73-82-11-64,0220-001-007,"GLYCERINE, VASELINE, SKIN CREAMS",YES,500
73-82-11-64,0220-001-007,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
73-82-11-64,0220-001-007,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
73-82-11-64,0220-001-007,LIGHT BULBS,NO,
73-82-11-64,0220-001-007,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
73-82-11-64,0220-001-007,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
73-82-11-64,0220-001-007,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
73-82-11-64,0220-001-007,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
73-82-11-64,0220-001-007,WAGES PAID TO SERVANTS,NO,
73-82-11-64,0220-001-007,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
73-82-11-64,0220-001-007,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",YES,15000
75-78-20-22,0220-001-008,CIGARETTES OR TOBACCO,NO,
75-78-20-22,0220-001-008,MATCHES,YES,100
75-78-20-22,0220-001-008,PUBLIC TRANSPORT,YES,1200
75-78-20-22,0220-001-008,KEROSENE,YES,500
75-78-20-22,0220-001-008,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,10000
75-78-20-22,0220-001-008,GAS (FOR LIGHTING/COOKING),NO,
75-78-20-22,0220-001-008,WATER,YES,6000
75-78-20-22,0220-001-008,PETROL OR DIESEL,NO,
75-78-20-22,0220-001-008,CELL PHONE VOUCHER,YES,15000
75-78-20-22,0220-001-008,CHARCOAL,YES,2000
75-78-20-22,0220-001-008,"MILLING FEES, GRAIN",NO,
75-78-20-22,0220-001-008,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2500
75-78-20-22,0220-001-008,CLOTHES SOAP (POWDER),YES,2000
75-78-20-22,0220-001-008,"TOOTHPASTE, TOOTHBRUSH",NO,
75-78-20-22,0220-001-008,TOILET PAPER,NO,
75-78-20-22,0220-001-008,"GLYCERINE, VASELINE, SKIN CREAMS",NO,
75-78-20-22,0220-001-008,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
75-78-20-22,0220-001-008,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
75-78-20-22,0220-001-008,LIGHT BULBS,NO,
75-78-20-22,0220-001-008,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
75-78-20-22,0220-001-008,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
75-78-20-22,0220-001-008,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
75-78-20-22,0220-001-008,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
75-78-20-22,0220-001-008,WAGES PAID TO SERVANTS,NO,
75-78-20-22,0220-001-008,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
75-78-20-22,0220-001-008,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
93-34-26-43,0221-001-001,CIGARETTES OR TOBACCO,NO,
93-34-26-43,0221-001-001,MATCHES,NO,
93-34-26-43,0221-001-001,PUBLIC TRANSPORT,YES,10000
93-34-26-43,0221-001-001,KEROSENE,NO,
93-34-26-43,0221-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,12000
93-34-26-43,0221-001-001,GAS (FOR LIGHTING/COOKING),NO,
93-34-26-43,0221-001-001,WATER,YES,9000
93-34-26-43,0221-001-001,PETROL OR DIESEL,NO,
93-34-26-43,0221-001-001,CELL PHONE VOUCHER,YES,15000
93-34-26-43,0221-001-001,CHARCOAL,NO,
93-34-26-43,0221-001-001,"MILLING FEES, GRAIN",NO,
93-34-26-43,0221-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,900
93-34-26-43,0221-001-001,CLOTHES SOAP (POWDER),YES,1200
93-34-26-43,0221-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
93-34-26-43,0221-001-001,TOILET PAPER,NO,
93-34-26-43,0221-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1200
93-34-26-43,0221-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,400
93-34-26-43,0221-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
93-34-26-43,0221-001-001,LIGHT BULBS,NO,
93-34-26-43,0221-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
93-34-26-43,0221-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
93-34-26-43,0221-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
93-34-26-43,0221-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
93-34-26-43,0221-001-001,WAGES PAID TO SERVANTS,NO,
93-34-26-43,0221-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
93-34-26-43,0221-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
77-56-32-86,0222-001-001,CIGARETTES OR TOBACCO,NO,
77-56-32-86,0222-001-001,MATCHES,YES,200
77-56-32-86,0222-001-001,PUBLIC TRANSPORT,YES,7000
77-56-32-86,0222-001-001,KEROSENE,NO,
77-56-32-86,0222-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,45000
77-56-32-86,0222-001-001,GAS (FOR LIGHTING/COOKING),YES,19000
77-56-32-86,0222-001-001,WATER,YES,20000
77-56-32-86,0222-001-001,PETROL OR DIESEL,NO,
77-56-32-86,0222-001-001,CELL PHONE VOUCHER,YES,20000
77-56-32-86,0222-001-001,CHARCOAL,YES,35000
77-56-32-86,0222-001-001,"MILLING FEES, GRAIN",NO,
77-56-32-86,0222-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,5000
77-56-32-86,0222-001-001,CLOTHES SOAP (POWDER),YES,6000
77-56-32-86,0222-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,2500
77-56-32-86,0222-001-001,TOILET PAPER,NO,
77-56-32-86,0222-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,3500
77-56-32-86,0222-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
77-56-32-86,0222-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
77-56-32-86,0222-001-001,LIGHT BULBS,YES,7000
77-56-32-86,0222-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
77-56-32-86,0222-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
77-56-32-86,0222-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
77-56-32-86,0222-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
77-56-32-86,0222-001-001,WAGES PAID TO SERVANTS,NO,
77-56-32-86,0222-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
77-56-32-86,0222-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
67-31-73-27,0223-001-001,CIGARETTES OR TOBACCO,NO,
67-31-73-27,0223-001-001,MATCHES,NO,
67-31-73-27,0223-001-001,PUBLIC TRANSPORT,YES,1000
67-31-73-27,0223-001-001,KEROSENE,NO,
67-31-73-27,0223-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,5000
67-31-73-27,0223-001-001,GAS (FOR LIGHTING/COOKING),YES,13000
67-31-73-27,0223-001-001,WATER,YES,2000
67-31-73-27,0223-001-001,PETROL OR DIESEL,NO,
67-31-73-27,0223-001-001,CELL PHONE VOUCHER,YES,8000
67-31-73-27,0223-001-001,CHARCOAL,YES,8000
67-31-73-27,0223-001-001,"MILLING FEES, GRAIN",NO,
67-31-73-27,0223-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,8800
67-31-73-27,0223-001-001,CLOTHES SOAP (POWDER),NO,
67-31-73-27,0223-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,4500
67-31-73-27,0223-001-001,TOILET PAPER,NO,
67-31-73-27,0223-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,26000
67-31-73-27,0223-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
67-31-73-27,0223-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",YES,2000
67-31-73-27,0223-001-001,LIGHT BULBS,YES,2000
67-31-73-27,0223-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
67-31-73-27,0223-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
67-31-73-27,0223-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
67-31-73-27,0223-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
67-31-73-27,0223-001-001,WAGES PAID TO SERVANTS,NO,
