interview__key,sdd_hhid,hh_q14,sourceid,hh_q15,hh_q16,hh_q17,hh_q18,hh_q19,hh_q20,hh_q21_1,hh_q21_2,hh_q22_1,hh_q22_2,hh_q22_3,hh_q23,hh_q25_1,hh_q25_2,hh_q26,hh_q27_1,hh_q27_2,hh_q24_1,hh_q24_2,hh_q24_3
35-34-97-68,0108-001-002,YES,3,**CONFIDENTIAL**,SISTER,30,FEMALE,NO EDUCATION,MOROGORO,YEARS,30,OTHER (SPECIFY),,,70000,1,,100000,1,,HOUSEHOLD CONSUMPTION,EDUCATION,
47-69-21-93,0109-001-001,NO,,,,,,,,,,,,,,,,,,,,,
22-62-73-26,0110-001-001,NO,,,,,,,,,,,,,,,,,,,,,
71-21-99-60,0110-001-002,YES,1,**CONFIDENTIAL**,PARENT,66,MALE,'O'+COURSE,MOROGORO,YEARS,45,AIRTEL MONEY,,,130000,1,,NONE,,,HOUSEHOLD CONSUMPTION,HEALTH,
09-03-93-64,0111-001-001,NO,,,,,,,,,,,,,,,,,,,,,
49-60-00-77,0112-001-001,YES,1,**CONFIDENTIAL**,SON,22,FEMALE,F4,MBEYA,YEARS,3,M-PESA,,,100000,1,5,30000,1,,HOUSEHOLD CONSUMPTION,,
49-60-00-77,0112-001-001,YES,2,**CONFIDENTIAL**,DAUGHTER,25,FEMALE,F4,MBEYA,YEARS,4,M-PESA,,,150000,1,5,160000,1,,HOUSEHOLD CONSUMPTION,,
49-60-00-77,0112-001-001,YES,3,**CONFIDENTIAL**,IN-LAW,26,MALE,D7,MBEYA,YEARS,26,M-PESA,,,250000,1,5,NONE,,,HOUSEHOLD CONSUMPTION,,
51-56-43-08,0112-001-002,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),62,MALE,D7,PWANI,YEARS,16,M-PESA,,,250000,1,2,NONE,,,EDUCATION,,
51-56-43-08,0112-001-002,YES,2,**CONFIDENTIAL**,OTHER (SPECIFY),50,FEMALE,D7,MOROGORO,YEARS,16,M-PESA,,,650000,1,2,270000,1,2,EDUCATION,,
80-23-77-43,0113-001-001,NO,,,,,,,,,,,,,,,,,,,,,
86-56-84-14,0113-002-001,YES,1,**CONFIDENTIAL**,SON,39,MALE,DIPLOMA,MARA,YEARS,8,M-PESA,,,500000,1,,NONE,,,HEALTH,HOUSEHOLD CONSUMPTION,
95-71-62-51,0114-001-001,NO,,,,,,,,,,,,,,,,,,,,,
35-20-92-57,0115-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,33,FEMALE,D7,MOROGORO,YEARS,25,OTHER (SPECIFY),,,15000,1,,100000,1,,HOUSEHOLD CONSUMPTION,,
35-20-92-57,0115-001-001,YES,2,**CONFIDENTIAL**,SON,30,MALE,F4,MOROGORO,YEARS,26,OTHER (SPECIFY),,,240000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
35-20-92-57,0115-001-001,YES,3,**CONFIDENTIAL**,SON,42,MALE,D7,MOROGORO,YEARS,42,FRIENDS/RELATIVES,OTHER (SPECIFY),,50000,1,,30000,1,,HOUSEHOLD CONSUMPTION,,
35-20-92-57,0115-001-001,YES,4,**CONFIDENTIAL**,DAUGHTER,38,FEMALE,D7,MOROGORO,YEARS,28,OTHER (SPECIFY),,,25000,1,,35000,1,,HOUSEHOLD CONSUMPTION,,
61-55-11-19,0115-001-002,NO,,,,,,,,,,,,,,,,,,,,,
61-11-91-19,0118-001-001,NO,,,,,,,,,,,,,,,,,,,,,
67-13-31-42,0119-001-001,NO,,,,,,,,,,,,,,,,,,,,,
16-86-84-80,0119-001-002,YES,1,**CONFIDENTIAL**,FRIEND,50,MALE,D7,DAR ES SALAAM,YEARS,50,AIRTEL MONEY,,,150000,1,,50000,1,,HOUSEHOLD CONSUMPTION,,
16-86-84-80,0119-001-002,YES,2,**CONFIDENTIAL**,FRIEND,34,MALE,U3,DAR ES SALAAM,YEARS,34,AIRTEL MONEY,,,100000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
98-32-46-89,0120-001-001,YES,1,**CONFIDENTIAL**,BROTHER,61,MALE,D7,MOROGORO,YEARS,54,OTHER (SPECIFY),,,60000,1,,NONE,,,HEALTH,,
98-32-46-89,0120-001-001,YES,2,**CONFIDENTIAL**,SISTER,65,FEMALE,D4,MOROGORO,YEARS,55,OTHER (SPECIFY),,,75000,1,,NONE,,,HEALTH,,
11-41-50-08,0121-002-001,NO,,,,,,,,,,,,,,,,,,,,,
20-26-27-46,0121-004-001,NO,,,,,,,,,,,,,,,,,,,,,
51-99-30-00,0122-001-001,NO,,,,,,,,,,,,,,,,,,,,,
94-57-72-83,0122-001-002,NO,,,,,,,,,,,,,,,,,,,,,
43-50-47-25,0122-001-003,NO,,,,,,,,,,,,,,,,,,,,,
38-83-27-01,0123-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,46,FEMALE,U5 & +,MOROGORO,YEARS,20,FRIENDS/RELATIVES,TIGO PESA,,700000,1,2,100000,1,2,HOUSEHOLD CONSUMPTION,,
73-91-37-79,0124-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,30,FEMALE,F4,MOROGORO,YEARS,13,TIGO PESA,,,180000,1,,60000,1,,HOUSEHOLD CONSUMPTION,,
85-36-20-21,0124-002-001,NO,,,,,,,,,,,,,,,,,,,,,
59-55-68-20,0126-001-001,NO,,,,,,,,,,,,,,,,,,,,,
32-50-39-98,0126-001-003,YES,1,**CONFIDENTIAL**,PARENT,42,FEMALE,D7,MOROGORO,YEARS,42,OTHER (SPECIFY),,,0,,,360000,1,2,,,
32-50-39-98,0126-001-003,YES,2,**CONFIDENTIAL**,PARENT,66,MALE,D4,MOROGORO,YEARS,66,OTHER (SPECIFY),,,0,,,328000,1,2,,,
20-77-46-74,0127-001-001,NO,,,,,,,,,,,,,,,,,,,,,
40-08-98-18,0127-003-001,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),64,MALE,ADULT,MOROGORO,YEARS,12,FRIENDS/RELATIVES,TIGO PESA,,500000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
48-18-47-32,0127-005-001,YES,1,**CONFIDENTIAL**,SISTER,33,FEMALE,D7,MOROGORO,YEARS,33,OTHER (SPECIFY),,,300000,1,,NONE,,,BUSINESS,,
87-27-18-80,0128-001-001,NO,,,,,,,,,,,,,,,,,,,,,
77-02-36-76,0129-001-001,NO,,,,,,,,,,,,,,,,,,,,,
71-99-12-22,0129-004-003,NO,,,,,,,,,,,,,,,,,,,,,
30-09-14-99,0129-004-004,YES,1,**CONFIDENTIAL**,PARENT,61,MALE,D7,DAR ES SALAAM,YEARS,20,OTHER (SPECIFY),,,0,,,45000,1,,,,
15-74-57-76,0130-001-001,NO,,,,,,,,,,,,,,,,,,,,,
18-53-46-11,0131-001-002,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,30,MALE,D7,MJINI/MAGHARIBI UNGUJA,YEARS,1,M-PESA,,,150000,3,,NONE,,,HOUSEHOLD CONSUMPTION,,
72-29-77-92,0133-001-001,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),52,FEMALE,D7,MOROGORO,YEARS,17,OTHER (SPECIFY),,,15000,1,,224000,1,,HEALTH,,
72-29-77-92,0133-001-001,YES,2,**CONFIDENTIAL**,SON,19,MALE,D7,MOROGORO,YEARS,11,OTHER (SPECIFY),,,10000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
44-39-10-22,0134-001-001,NO,,,,,,,,,,,,,,,,,,,,,
23-86-10-09,0134-006-001,NO,,,,,,,,,,,,,,,,,,,,,
49-77-74-54,0136-001-001,YES,1,**CONFIDENTIAL**,SON,30,MALE,D7,DAR ES SALAAM,YEARS,7,TIGO PESA,,,15000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
21-87-07-74,0137-001-001,YES,1,**CONFIDENTIAL**,FRIEND,26,MALE,D7,MOROGORO,YEARS,26,TIGO PESA,OTHER (SPECIFY),,100000,4,,20000,4,,HOUSEHOLD CONSUMPTION,,
91-46-77-86,0137-003-001,YES,1,**CONFIDENTIAL**,DAUGHTER,22,FEMALE,D7,DAR ES SALAAM,YEARS,3,AIRTEL MONEY,,,200000,1,,85000,1,2,HOUSEHOLD CONSUMPTION,,
96-40-12-40,0138-002-001,NO,,,,,,,,,,,,,,,,,,,,,
51-16-04-26,0139-001-001,NO,,,,,,,,,,,,,,,,,,,,,
78-88-97-43,0140-002-001,NO,,,,,,,,,,,,,,,,,,,,,
43-41-40-08,0142-001-001,NO,,,,,,,,,,,,,,,,,,,,,
18-32-58-97,0142-002-001,NO,,,,,,,,,,,,,,,,,,,,,
93-57-90-59,0142-002-002,NO,,,,,,,,,,,,,,,,,,,,,
45-56-78-16,0142-006-001,YES,1,**CONFIDENTIAL**,PARENT,50,FEMALE,D2,MOROGORO,YEARS,18,FRIENDS/RELATIVES,,,0,,,60000,1,,,,
76-14-00-21,0142-006-002,YES,1,**CONFIDENTIAL**,SISTER,18,FEMALE,D7,DAR ES SALAAM,YEARS,3,OTHER (SPECIFY),,,0,,,12000,1,,,,
76-14-00-21,0142-006-002,YES,2,**CONFIDENTIAL**,PARENT,56,FEMALE,NO EDUCATION,MOROGORO,YEARS,50,OTHER (SPECIFY),,,0,,,45000,1,,,,
70-42-29-42,0143-001-001,NO,,,,,,,,,,,,,,,,,,,,,
30-35-00-07,0144-001-001,NO,,,,,,,,,,,,,,,,,,,,,
73-64-37-36,0145-002-001,YES,1,**CONFIDENTIAL**,PARENT,53,MALE,D7,PWANI,YEARS,47,OTHER (SPECIFY),,,1500000,1,,NONE,,,HOUSEHOLD CONSUMPTION,HEALTH,
22-45-37-86,0146-001-001,NO,,,,,,,,,,,,,,,,,,,,,
44-69-89-77,0146-001-003,NO,,,,,,,,,,,,,,,,,,,,,
64-63-77-61,0146-001-007,NO,,,,,,,,,,,,,,,,,,,,,
80-90-53-00,0146-001-009,NO,,,,,,,,,,,,,,,,,,,,,
38-77-50-86,0147-001-001,YES,1,**CONFIDENTIAL**,SON,28,MALE,D7,KASKAZINI UNGUJA,MONTHS,2,TIGO PESA,,,250000,1,4,400000,1,4,HOUSEHOLD CONSUMPTION,HEALTH,
38-77-50-86,0147-001-001,YES,2,**CONFIDENTIAL**,OTHER RELATIVE,38,FEMALE,D7,UAE,MONTHS,20,WESTERN UNION,OTHER (SPECIFY),,300000,4,,600000,1,4,HOUSEHOLD CONSUMPTION,HEALTH,
27-48-78-18,0148-001-001,NO,,,,,,,,,,,,,,,,,,,,,
55-93-34-62,0149-001-002,NO,,,,,,,,,,,,,,,,,,,,,
42-47-45-53,0149-001-009,NO,,,,,,,,,,,,,,,,,,,,,
52-34-01-68,0151-001-001,NO,,,,,,,,,,,,,,,,,,,,,
66-61-34-49,0151-001-003,YES,1,**CONFIDENTIAL**,PARENT,60,MALE,D7,PWANI,YEARS,5,OTHER (SPECIFY),,,200000,1,,NONE,,,INVESTMENT,,
30-08-77-60,0152-001-002,YES,1,**CONFIDENTIAL**,FRIEND,70,FEMALE,NO EDUCATION,DAR ES SALAAM,YEARS,30,FRIENDS/RELATIVES,,,100000,1,,250000,1,,HOUSEHOLD CONSUMPTION,,
24-38-82-18,0153-001-001,NO,,,,,,,,,,,,,,,,,,,,,
10-44-19-68,0154-001-001,NO,,,,,,,,,,,,,,,,,,,,,
04-84-88-57,0155-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,29,FEMALE,D7,KASKAZINI UNGUJA,YEARS,4,M-PESA,TIGO PESA,,450000,1,,180000,1,,HOUSEHOLD CONSUMPTION,BUSINESS,
32-87-19-04,0155-001-002,YES,1,**CONFIDENTIAL**,FRIEND,24,MALE,NO EDUCATION,PWANI,YEARS,24,OTHER (SPECIFY),,,150000,1,,NONE,,,HEALTH,,
32-87-19-04,0155-001-002,YES,2,**CONFIDENTIAL**,FRIEND,25,MALE,F4,PWANI,YEARS,25,OTHER (SPECIFY),,,85000,1,,NONE,,,HOUSEHOLD CONSUMPTION,HEALTH,
32-87-19-04,0155-001-002,YES,3,**CONFIDENTIAL**,PARENT,58,FEMALE,D7,PWANI,YEARS,58,FRIENDS/RELATIVES,,,80000,1,,50000,1,,HOUSEHOLD CONSUMPTION,HEALTH,
35-61-56-23,0155-001-003,YES,1,**CONFIDENTIAL**,SPOUSE,49,MALE,D7,DAR ES SALAAM,YEARS,18,M-PESA,TIGO PESA,,900000,1,,1200000,1,,HOUSEHOLD CONSUMPTION,,
63-01-65-91,0155-001-005,NO,,,,,,,,,,,,,,,,,,,,,
04-30-93-81,0157-001-001,YES,1,**CONFIDENTIAL**,SPOUSE,30,MALE,D7,GERMANY,YEARS,2,BANK ACCOUNT,WESTERN UNION,,3600000,2,,1500000,2,,HOUSEHOLD CONSUMPTION,EDUCATION,HEALTH
11-64-23-03,0158-001-001,NO,,,,,,,,,,,,,,,,,,,,,
49-01-93-27,0158-001-003,NO,,,,,,,,,,,,,,,,,,,,,
88-54-76-45,0159-001-002,NO,,,,,,,,,,,,,,,,,,,,,
22-99-30-42,0159-001-003,YES,1,**CONFIDENTIAL**,PARENT,59,FEMALE,F4,IRINGA,YEARS,50,FRIENDS/RELATIVES,,,0,,,45000,1,2,,,
69-81-01-27,0160-001-001,YES,1,**CONFIDENTIAL**,DAUGHTER,18,FEMALE,F2,PWANI,YEARS,10,OTHER (SPECIFY),,,25000,1,,12000,1,,HOUSEHOLD CONSUMPTION,HEALTH,
69-81-01-27,0160-001-001,YES,2,**CONFIDENTIAL**,FRIEND,32,FEMALE,MS+COURSE,PWANI,YEARS,32,OTHER (SPECIFY),,,20000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
38-35-31-19,0160-002-001,NO,,,,,,,,,,,,,,,,,,,,,
29-29-15-18,0161-001-001,YES,1,**CONFIDENTIAL**,SPOUSE,35,MALE,D7,PWANI,YEARS,21,TIGO PESA,OTHER (SPECIFY),,450000,1,2,380000,1,2,HOUSEHOLD CONSUMPTION,HEALTH,
29-29-15-18,0161-001-001,YES,2,**CONFIDENTIAL**,SISTER,58,FEMALE,D5,PWANI,YEARS,58,OTHER (SPECIFY),,,0,,,45000,1,2,,,
29-29-15-18,0161-001-001,YES,3,**CONFIDENTIAL**,SISTER,42,FEMALE,D7,TANGA,MONTHS,42,OTHER (SPECIFY),,,0,,,120000,1,2,,,
53-54-39-20,0162-001-001,NO,,,,,,,,,,,,,,,,,,,,,
89-30-25-72,0163-001-001,YES,1,**CONFIDENTIAL**,FRIEND,26,FEMALE,U3,DAR ES SALAAM,YEARS,5,AIRTEL MONEY,,,20000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
74-07-84-83,0163-001-002,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),25,FEMALE,D7,PWANI,YEARS,12,TIGO PESA,,,5000,2,,NONE,,,HOUSEHOLD CONSUMPTION,,
17-99-98-98,0164-001-001,NO,,,,,,,,,,,,,,,,,,,,,
54-64-05-36,0166-001-001,NO,,,,,,,,,,,,,,,,,,,,,
56-50-71-92,0167-001-001,NO,,,,,,,,,,,,,,,,,,,,,
72-54-77-52,0168-002-001,NO,,,,,,,,,,,,,,,,,,,,,
59-93-30-27,0168-002-002,NO,,,,,,,,,,,,,,,,,,,,,
54-61-17-84,0169-001-001,NO,,,,,,,,,,,,,,,,,,,,,
58-64-20-38,0170-001-001,NO,,,,,,,,,,,,,,,,,,,,,
23-91-88-28,0172-004-001,NO,,,,,,,,,,,,,,,,,,,,,
45-63-97-96,0173-001-001,NO,,,,,,,,,,,,,,,,,,,,,
73-57-62-18,0173-003-001,NO,,,,,,,,,,,,,,,,,,,,,
61-35-02-97,0174-002-001,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,27,MALE,D7,DAR ES SALAAM,YEARS,5,TIGO PESA,FRIENDS/RELATIVES,,150000,1,2,960000,1,2,HOUSEHOLD CONSUMPTION,,
61-35-02-97,0174-002-001,YES,2,**CONFIDENTIAL**,FRIEND,50,MALE,D7,DAR ES SALAAM,YEARS,20,FRIENDS/RELATIVES,OTHER (SPECIFY),,250000,1,,100000,1,,HOUSEHOLD CONSUMPTION,,
61-35-02-97,0174-002-001,YES,3,**CONFIDENTIAL**,SISTER,47,FEMALE,D7,DAR ES SALAAM,YEARS,10,FRIENDS/RELATIVES,OTHER (SPECIFY),,250000,1,2,90000,1,2,HOUSEHOLD CONSUMPTION,,
88-48-93-24,0174-002-003,NO,,,,,,,,,,,,,,,,,,,,,
59-64-10-91,0175-001-001,NO,,,,,,,,,,,,,,,,,,,,,
94-29-87-68,0175-001-002,NO,,,,,,,,,,,,,,,,,,,,,
80-22-80-03,0175-003-001,NO,,,,,,,,,,,,,,,,,,,,,
23-37-68-79,0175-007-001,NO,,,,,,,,,,,,,,,,,,,,,
69-45-62-82,0175-008-002,YES,1,**CONFIDENTIAL**,SPOUSE,35,MALE,D7,DAR ES SALAAM,YEARS,35,FRIENDS/RELATIVES,,,2000000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
24-73-10-13,0175-008-003,NO,,,,,,,,,,,,,,,,,,,,,
05-54-45-31,0175-014-001,NO,,,,,,,,,,,,,,,,,,,,,
78-81-52-69,0175-014-003,YES,1,**CONFIDENTIAL**,SON,27,MALE,F4,DAR ES SALAAM,YEARS,4,TIGO PESA,,,50000,1,3,NONE,,,HOUSEHOLD CONSUMPTION,,
78-81-52-69,0175-014-003,YES,2,**CONFIDENTIAL**,SON,30,MALE,D7,DAR ES SALAAM,YEARS,7,TIGO PESA,,,85000,3,,100000,3,,HOUSEHOLD CONSUMPTION,,
80-93-48-57,0177-001-001,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,23,MALE,F4,DAR ES SALAAM,YEARS,23,OTHER (SPECIFY),,,60000,1,2,40000,1,2,HOUSEHOLD CONSUMPTION,,
87-96-65-49,0178-001-001,NO,,,,,,,,,,,,,,,,,,,,,
50-72-74-09,0179-001-001,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),42,MALE,'O'+COURSE,MTWARA,YEARS,11,TIGO PESA,,,3000000,1,,100000,1,,EDUCATION,,
97-03-71-43,0179-001-003,NO,,,,,,,,,,,,,,,,,,,,,
26-41-59-49,0180-001-001,NO,,,,,,,,,,,,,,,,,,,,,
36-54-74-87,0180-001-007,NO,,,,,,,,,,,,,,,,,,,,,
77-70-35-65,0181-001-001,NO,,,,,,,,,,,,,,,,,,,,,
40-26-23-74,0182-001-001,NO,,,,,,,,,,,,,,,,,,,,,
82-20-98-85,0183-002-001,YES,1,**CONFIDENTIAL**,DAUGHTER,40,FEMALE,D7,KASKAZINI UNGUJA,YEARS,20,TIGO PESA,,,600000,1,,25000,1,,HOUSEHOLD CONSUMPTION,FARMING,HEALTH
82-20-98-85,0183-002-001,YES,2,**CONFIDENTIAL**,DAUGHTER,50,FEMALE,D7,KASKAZINI UNGUJA,YEARS,20,TIGO PESA,,,200000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
82-20-98-85,0183-002-001,YES,3,**CONFIDENTIAL**,OTHER RELATIVE,22,MALE,D7,MOROGORO,YEARS,22,OTHER (SPECIFY),,,100000,1,,NONE,,,HOUSEHOLD CONSUMPTION,EDUCATION,
93-13-13-82,0183-002-003,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,70,FEMALE,ADULT,MOROGORO,YEARS,70,FRIENDS/RELATIVES,,,0,,,100000,1,2,,,
00-11-15-68,0184-001-001,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),44,MALE,DIPLOMA,IRINGA,YEARS,6,M-PESA,,,240000,1,5,NONE,,,EDUCATION,,
52-59-56-82,0185-001-002,YES,1,**CONFIDENTIAL**,PARENT,50,FEMALE,D7,DAR ES SALAAM,YEARS,15,FRIENDS/RELATIVES,TIGO PESA,AIRTEL MONEY,120000,2,,200000,2,,HEALTH,HOUSEHOLD CONSUMPTION,
91-74-83-64,0186-001-001,NO,,,,,,,,,,,,,,,,,,,,,
90-16-09-17,0186-001-005,YES,1,**CONFIDENTIAL**,FRIEND,50,MALE,D7,DAR ES SALAAM,YEARS,29,TIGO PESA,M-PESA,,540000,1,,200000,1,,EDUCATION,HOUSEHOLD CONSUMPTION,
80-57-22-37,0186-003-001,NO,,,,,,,,,,,,,,,,,,,,,
15-56-66-55,0186-004-001,NO,,,,,,,,,,,,,,,,,,,,,
55-87-10-73,0187-001-001,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,38,MALE,'O'+COURSE,PWANI,YEARS,10,TIGO PESA,AIRTEL MONEY,,800000,1,,200000,1,,EDUCATION,,
19-67-55-32,0187-001-003,NO,,,,,,,,,,,,,,,,,,,,,
22-19-42-39,0188-001-001,NO,,,,,,,,,,,,,,,,,,,,,
32-98-17-50,0189-001-001,NO,,,,,,,,,,,,,,,,,,,,,
69-12-32-87,0191-001-001,NO,,,,,,,,,,,,,,,,,,,,,
88-53-04-67,0192-001-002,NO,,,,,,,,,,,,,,,,,,,,,
45-87-86-23,0193-001-001,YES,1,**CONFIDENTIAL**,BROTHER,27,MALE,D7,DAR ES SALAAM,YEARS,4,M-PESA,,,70000,1,,NONE,,,HOUSEHOLD CONSUMPTION,EDUCATION,
18-27-98-28,0194-001-001,NO,,,,,,,,,,,,,,,,,,,,,
22-11-01-92,0194-007-002,NO,,,,,,,,,,,,,,,,,,,,,
66-54-30-86,0195-001-001,NO,,,,,,,,,,,,,,,,,,,,,
37-52-42-87,0195-001-003,NO,,,,,,,,,,,,,,,,,,,,,
43-65-07-99,0195-006-001,NO,,,,,,,,,,,,,,,,,,,,,
73-01-73-94,0196-001-001,NO,,,,,,,,,,,,,,,,,,,,,
42-23-49-92,0197-001-001,YES,1,**CONFIDENTIAL**,OTHER (SPECIFY),50,MALE,D7,PWANI,YEARS,50,FRIENDS/RELATIVES,,,10000,1,2,20000,1,2,HOUSEHOLD CONSUMPTION,,
88-74-53-78,0198-001-001,YES,1,**CONFIDENTIAL**,IN-LAW,31,FEMALE,'O'+COURSE,MOROGORO,YEARS,4,FRIENDS/RELATIVES,TIGO PESA,,150000,1,2,NONE,,,HOUSEHOLD CONSUMPTION,,
56-90-38-75,0199-001-001,NO,,,,,,,,,,,,,,,,,,,,,
22-00-58-38,0199-001-002,NO,,,,,,,,,,,,,,,,,,,,,
43-54-63-75,0199-001-014,NO,,,,,,,,,,,,,,,,,,,,,
43-42-16-20,0199-008-001,NO,,,,,,,,,,,,,,,,,,,,,
74-58-36-12,0199-008-003,NO,,,,,,,,,,,,,,,,,,,,,
68-34-72-68,0200-001-001,YES,1,**CONFIDENTIAL**,SON,45,MALE,D7,DAR ES SALAAM,YEARS,45,FRIENDS/RELATIVES,TIGO PESA,,200000,1,,100000,1,,HOUSEHOLD CONSUMPTION,,
21-95-94-12,0201-001-001,NO,,,,,,,,,,,,,,,,,,,,,
84-55-32-10,0202-002-001,YES,1,**CONFIDENTIAL**,DAUGHTER,38,FEMALE,D7,SINGIDA,YEARS,13,FRIENDS/RELATIVES,M-PESA,,70000,1,,200000,1,,HOUSEHOLD CONSUMPTION,,
61-58-21-91,0203-001-001,NO,,,,,,,,,,,,,,,,,,,,,
58-70-71-25,0203-001-002,NO,,,,,,,,,,,,,,,,,,,,,
85-27-88-94,0204-001-001,NO,,,,,,,,,,,,,,,,,,,,,
40-89-03-58,0204-001-009,YES,1,**CONFIDENTIAL**,PARENT,69,MALE,D7,DAR ES SALAAM,YEARS,42,TIGO PESA,,,600000,1,,NONE,,,HEALTH,HOUSEHOLD CONSUMPTION,
40-89-03-58,0204-001-009,YES,2,**CONFIDENTIAL**,BROTHER,36,MALE,F4,PWANI,YEARS,10,OTHER (SPECIFY),,,350000,1,,NONE,,,HEALTH,HOUSEHOLD CONSUMPTION,
40-89-03-58,0204-001-009,YES,3,**CONFIDENTIAL**,SON,26,MALE,D7,DAR ES SALAAM,YEARS,26,TIGO PESA,,,400000,1,,NONE,,,HEALTH,HOUSEHOLD CONSUMPTION,
40-89-03-58,0204-001-009,YES,4,**CONFIDENTIAL**,SISTER,31,FEMALE,D7,DAR ES SALAAM,YEARS,31,TIGO PESA,,,200000,1,,80000,1,,HOUSEHOLD CONSUMPTION,HEALTH,
40-89-03-58,0204-001-009,YES,5,**CONFIDENTIAL**,BROTHER,63,MALE,D7,DAR ES SALAAM,YEARS,58,TIGO PESA,,,350000,1,,NONE,,,HOUSEHOLD CONSUMPTION,HEALTH,
64-87-80-64,0204-008-001,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,42,MALE,D7,DAR ES SALAAM,YEARS,42,OTHER (SPECIFY),,,240000,1,2,180000,1,2,HOUSEHOLD CONSUMPTION,,
58-88-28-93,0205-001-001,NO,,,,,,,,,,,,,,,,,,,,,
83-06-62-27,0208-004-001,NO,,,,,,,,,,,,,,,,,,,,,
79-05-47-33,0210-001-001,NO,,,,,,,,,,,,,,,,,,,,,
03-96-67-80,0210-002-002,YES,1,**CONFIDENTIAL**,SPOUSE,31,MALE,D7,DAR ES SALAAM,YEARS,31,OTHER (SPECIFY),,,50000,3,,NONE,,,HOUSEHOLD CONSUMPTION,,
03-96-67-80,0210-002-002,YES,2,**CONFIDENTIAL**,OTHER RELATIVE,68,FEMALE,F4,LINDI,YEARS,68,OTHER (SPECIFY),,,150000,3,,50000,3,,HOUSEHOLD CONSUMPTION,,
11-75-06-50,0211-001-001,NO,,,,,,,,,,,,,,,,,,,,,
26-67-43-95,0211-006-001,NO,,,,,,,,,,,,,,,,,,,,,
49-03-77-61,0212-001-001,NO,,,,,,,,,,,,,,,,,,,,,
80-82-58-54,0214-001-001,NO,,,,,,,,,,,,,,,,,,,,,
47-56-60-71,0215-001-001,NO,,,,,,,,,,,,,,,,,,,,,
43-96-13-63,0216-001-001,NO,,,,,,,,,,,,,,,,,,,,,
11-90-11-27,0216-006-001,NO,,,,,,,,,,,,,,,,,,,,,
06-94-34-79,0217-001-001,YES,1,**CONFIDENTIAL**,SISTER,50,FEMALE,D7,DAR ES SALAAM,YEARS,20,OTHER (SPECIFY),,,150000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
06-94-34-79,0217-001-001,YES,2,**CONFIDENTIAL**,BROTHER,44,MALE,U3,DAR ES SALAAM,YEARS,15,OTHER (SPECIFY),,,80000,1,,30000,1,,HOUSEHOLD CONSUMPTION,,
02-85-44-36,0217-002-001,NO,,,,,,,,,,,,,,,,,,,,,
58-92-13-43,0218-001-001,NO,,,,,,,,,,,,,,,,,,,,,
60-79-06-82,0218-001-002,NO,,,,,,,,,,,,,,,,,,,,,
43-30-23-38,0218-001-003,NO,,,,,,,,,,,,,,,,,,,,,
06-92-75-91,0218-001-005,NO,,,,,,,,,,,,,,,,,,,,,
98-66-63-47,0219-001-001,NO,,,,,,,,,,,,,,,,,,,,,
32-61-13-34,0219-005-001,NO,,,,,,,,,,,,,,,,,,,,,
97-60-22-72,0220-001-001,NO,,,,,,,,,,,,,,,,,,,,,
00-92-63-48,0220-001-003,NO,,,,,,,,,,,,,,,,,,,,,
14-53-90-07,0220-001-006,YES,1,**CONFIDENTIAL**,OTHER RELATIVE,52,MALE,D7,MOROGORO,YEARS,30,TIGO PESA,FRIENDS/RELATIVES,,700000,1,,NONE,,,HOUSEHOLD CONSUMPTION,HEALTH,
73-82-11-64,0220-001-007,NO,,,,,,,,,,,,,,,,,,,,,
75-78-20-22,0220-001-008,YES,1,**CONFIDENTIAL**,PARENT,58,FEMALE,D7,TANGA,YEARS,58,TIGO PESA,,,50000,1,,NONE,,,HOUSEHOLD CONSUMPTION,,
93-34-26-43,0221-001-001,NO,,,,,,,,,,,,,,,,,,,,,
