interview__key,sdd_hhid,plotnum,cropid,ag4b_01,ag4b_02,ag4b_03,ag4b_04,ag4b_05,ag4b_06,ag4b_08,ag4b_10_1,ag4b_10_2,ag4b_10a_1,ag4b_10a_2,ag4b_10b,ag4b_10c_1,ag4b_10c_2,ag4b_12,ag4b_13_1,ag4b_13_2,ag4b_17,ag4b_18,ag4b_19,ag4b_20,ag4b_21,ag4b_22,ag4b_23,ag4b_24_1,ag4b_24_2,ag4b_25,ag4b_26,ag4b_27,ag4b_28,ag4b_29,ag4b_30_1,ag4b_30_2
65-21-27-08,0593-005-008,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,HYBREED,"IMPROVED, RECYCLED",2,20 LITER BUCKET,2,20 LITER BUCKET,IMPROVED RECYCLED,HAKUNA,,,,,YES,INSECTS,YES,,1.5,YES,INSECTS,MAY,JUNE,YES,,,720,198000,1,2
65-21-27-08,0593-005-008,2,17,YES,,,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,7,20 LITER BUCKET,7,20 LITER BUCKET,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),YES,,1,YES,DROUGHT,JUNE,JUNE,YES,,,480,480000,1,2
79-42-79-69,0595-001-001,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,HYBRID,"IMPROVED, RECYCLED",1,20 LITER BUCKET,1,20 LITER BUCKET,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1.7,YES,DROUGHT,APRIL,MAY,YES,,,1296,432000,1,
79-42-79-69,0595-001-001,2,17,NO,1/2,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,MAHARAGE NJANO,TRADITIONAL,1,20 LITER BUCKET,1,20 LITER BUCKET,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,YES,,0.2,YES,INSECTS,MARCH,MARCH,YES,,,40,50000,1,
79-42-79-69,0595-001-001,4,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,HYBRID,"IMPROVED, RECYCLED",4,LARGE CUP,4,LARGE CUP,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,0.1,NO,,APRIL,APRIL,YES,,,18,5000,1,2
79-42-79-69,0595-001-001,4,11,NO,1/4,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,VIAZI VYEKUNDU,TRADITIONAL,2,OTHER (SPECIFY),HAKUNA,,,HAKUNA,,,,,NO,,YES,,0.01,NO,,APRIL,JUNE,YES,,,60,15000,1,
79-42-79-69,0595-001-001,4,14,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAGIMBI MEUPE,TRADITIONAL,3,KG,HAKUNA,,,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
82-14-82-19,0596-003-001,1,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,LARGE CUP,HAKUNA,,,2,LARGE CUP,500,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.1,NO,,MARCH,MARCH,YES,,,27,7500,2,
82-14-82-19,0596-003-001,1,14,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,25,OTHER (SPECIFY),25,OTHER (SPECIFY),TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
82-14-82-19,0596-003-001,1,17,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,KG,HAKUNA,,,2,KG,2000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.1,NO,,JANUARY,FEBRUARY,YES,,,20,26000,2,
35-87-73-75,0597-001-001,1,3,YES,,,NO,,MWEUPE,TRADITIONAL,3,KG,3,KG,TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
35-87-73-75,0597-001-001,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,HYBREED,"IMPROVED, RECYCLED",5,KG,5,KG,IMPROVED RECYCLED,HAKUNA,,,,,YES,INSECTS,YES,,0.25,YES,INSECTS,MARCH,JUNE,YES,,,120,36000,1,
35-87-73-75,0597-001-001,2,17,YES,,,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,3,KG,3,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.25,NO,,FEBRUARY,MAY,YES,,,20,26000,1,
90-31-84-80,0598-001-001,2,1,YES,,,NO,,HYBREED,"IMPROVED, RECYCLED",3,KG,3,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,0.3,NO,,FEBRUARY,APRIL,YES,,,120,36000,1,
90-31-84-80,0598-001-001,3,1,NO,3/4,WAS DIVIDED,NO,,HYBREED,"IMPROVED, RECYCLED",5,KG,5,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,0.75,NO,,MARCH,JUNE,YES,,,360,108000,1,
25-56-28-11,0602-001-001,3,1,YES,,,YES,MORE FERTILE FOR THE SOIL,HYBRID,"IMPROVED, RECYCLED",6,LARGE CUP,6,LARGE CUP,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,0.5,NO,,MAY,JUNE,YES,,,324,108000,1,
25-56-28-11,0602-001-001,3,17,YES,,,YES,MORE FERTILE FOR THE SOIL,MAHARAGE NJANO,TRADITIONAL,20,KG,10,KG,TRADITIONAL,10,KG,10000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,0.5,NO,,APRIL,MAY,YES,,,100,100000,1,
98-16-55-70,0604-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,15,KG,15,KG,TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
98-16-55-70,0604-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,25,KG,25,KG,TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
59-14-73-55,0606-001-001,1,1,NO,3/4,WAS DIVIDED,NO,,KISAMUNYU,TRADITIONAL,4,LARGE CUP,4,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,MAY,MAY,YES,,,252,70000,1,
59-14-73-55,0606-001-001,2,1,NO,1/4,"OTHER, SPECIFY",NO,,HYBRID,"IMPROVED, RECYCLED",2,KG,HAKUNA,,,HAKUNA,,,,,YES,ANIMALS,NO,DESTRUCTION,,,,,,,,,,,,
69-19-17-73,0608-001-001,1,1,YES,,,NO,,SEEDCO,"IMPROVED, RECYCLED",10,KG,10,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
34-57-76-92,0609-001-002,1,1,YES,,,NO,,SEEDCO,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.8,YES,OTHER (SPECIFY),FEBRUARY,HARVEST NOT YET COMPLETE,NO,3,20,50,25000,2,
90-55-11-26,0612-001-001,1,1,NO,1/2,WAS DIVIDED,NO,,PUNDAMILIA,IMPROVED,4,KG,HAKUNA,,,4,KG,24000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
90-55-11-26,0612-001-001,1,26,NO,1/4,LACK SEEDS,NO,,KIENYEJI,TRADITIONAL,2,KG,HAKUNA,,,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
86-97-87-20,0642-001-003,1,1,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,NDEFU,TRADITIONAL,3,KG,HAKUNA,,,3,KG,2000,SOKO,KARIBU NA KIJIJI,NO,,YES,,0.5,NO,,DECEMBER,FEBRUARY,YES,,,144,40000,1,2
86-97-87-20,0642-001-003,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,ROSEKOKO,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,DECEMBER,FEBRUARY,YES,,,80,60000,1,2
15-94-42-33,0642-001-004,1,17,YES,,,NO,,ASILI,TRADITIONAL,3,KG,3,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,NO,,JANUARY,FEBRUARY,YES,,,30,22000,1,2
96-16-28-77,0642-001-006,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,ROSE COCO,TRADITIONAL,15,LARGE CUP,15,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.3,NO,,DECEMBER,DECEMBER,YES,,,50,25000,1,2
96-16-28-77,0642-001-006,2,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",2,SMALL CUP,2,SMALL CUP,IMPROVED RECYCLED,HAKUNA,,,,,YES,ANIMALS,YES,,0.3,NO,,FEBRUARY,FEBRUARY,YES,,,36,12000,1,2
96-16-28-77,0642-001-006,3,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",2,LARGE CUP,HAKUNA,,,2,LARGE CUP,1000,SOKO,KARIBU NA KIJIJI,NO,,YES,,0.4,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,63,21000,1,2
96-16-28-77,0642-001-006,3,17,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KASUKARI,TRADITIONAL,10,SMALL CUP,HAKUNA,,,10,SMALL CUP,7500,SOKO,KARIBU NA KIJIJI,YES,DISEASES,YES,,0.3,YES,INSECTS,JANUARY,FEBRUARY,YES,,,30,15000,1,2
04-94-12-79,0642-001-009,1,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",1,LARGE CUP,HAKUNA,,,1,LARGE CUP,500,SOKO,NDANI YA KIJIJI/MJI,NO,,NO,DESTRUCTION,,,,,,,,,,,,
04-94-12-79,0642-001-009,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,MAHARAGE MCHANGANYIKO,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,NO,DESTRUCTION,,,,,,,,,,,,
09-53-11-55,0643-001-001,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE MADOGO MADOGO,TRADITIONAL,20,LARGE CUP,20,LARGE CUP,TRADITIONAL,HAKUNA,,,,,YES,DISEASES,YES,,0.3,NO,,DECEMBER,FEBRUARY,YES,,,60,30000,1,2
09-53-11-55,0643-001-001,3,17,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,ROSE COCO,TRADITIONAL,1,20 LITER BUCKET,1,20 LITER BUCKET,TRADITIONAL,HAKUNA,,,,,YES,BIRDS,NO,DESTRUCTION,,,,,,,,,,,,
22-96-87-35,0643-001-004,1,17,YES,,,NO,,ROSE COCO,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,JANUARY,FEBRUARY,YES,,,20,15000,1,2
95-29-04-76,0645-001-001,2,1,YES,,,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",1,KG,1,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,0.2,NO,,JANUARY,FEBRUARY,YES,,,60,18000,2,
95-29-04-76,0645-001-001,2,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KASUKARI,TRADITIONAL,7,KG,7,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,NO,,JANUARY,FEBRUARY,YES,,,60,30000,2,
95-29-04-76,0645-001-001,3,1,YES,,,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",1,KG,1,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,0.1,NO,,JANUARY,FEBRUARY,YES,,,25,12000,2,
95-29-04-76,0645-001-001,3,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KASUKARI,TRADITIONAL,3,KG,3,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.1,NO,,DECEMBER,FEBRUARY,YES,,,65,28000,2,
81-88-93-76,0645-001-003,1,14,NO,1/4,LACK OF TOOLS/EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,JANUARY,OCTOBER,YES,,,60,75000,1,
81-88-93-76,0645-001-003,1,17,NO,1/2,LACK OF TOOLS/EQUIPMENTS,YES,MORE FERTILE FOR THE SOIL,ASILI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1.5,NO,,DECEMBER,FEBRUARY,YES,,,40,30000,1,
73-60-06-64,0646-001-002,1,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",1,KG,HAKUNA,,,1,KG,0,NDUGU,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,NO,,JANUARY,FEBRUARY,YES,,,20,8000,1,
73-60-06-64,0646-001-002,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KASUKARI,TRADITIONAL,7,KG,HAKUNA,,,7,KG,7000,GULIO,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,NO,,DECEMBER,FEBRUARY,YES,,,45,25000,1,
32-85-24-94,0648-001-001,1,12,NO,1/2,WAS DIVIDED,NO,,NYEUPE,TRADITIONAL,80,KG,HAKUNA,,,80,KG,28000,NDUGU,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,NO,,JANUARY,FEBRUARY,YES,,,250,50000,1,2
32-85-24-94,0648-001-001,1,17,NO,1/2,WAS DIVIDED,NO,,KASUKARI,TRADITIONAL,5,KG,HAKUNA,,,5,KG,10000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,YES,,0.3,NO,,DECEMBER,FEBRUARY,YES,,,63,85000,1,2
75-45-78-14,0651-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,ROSE COCO,TRADITIONAL,4,KG,HAKUNA,,,4,KG,8000,GULIO,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,40,30000,1,
21-41-45-56,0652-001-001,1,1,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,"IMPROVED, RECYCLED",5,KG,5,KG,IMPROVED RECYCLED,HAKUNA,,,,,YES,THEFT,YES,,0.1,YES,CROP THEFT,DECEMBER,FEBRUARY,YES,,,35,23000,1,2
21-41-45-56,0652-001-001,1,17,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,ROSEKOKO,TRADITIONAL,3,KG,3,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.2,NO,,DECEMBER,FEBRUARY,YES,,,60,54000,1,2
38-47-82-69,0652-003-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,5,KG,HAKUNA,,,5,KG,10000,GULIO,KARIBU NA KIJIJI,NO,,YES,,0.2,NO,,JANUARY,FEBRUARY,YES,,,60,45000,1,2
35-30-83-19,0653-001-001,1,17,YES,,,NO,,ASILI,TRADITIONAL,15,KG,15,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,JANUARY,FEBRUARY,YES,,,50,50000,1,2
42-93-81-17,0654-001-001,1,17,NO,1/2,LACK OF TOOLS/EQUIPMENTS,NO,,NJANO,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1.5,NO,,JANUARY,FEBRUARY,YES,,,70,85000,2,
70-81-65-41,0654-001-002,1,17,NO,1/2,WAS DIVIDED,NO,,ROSEKOKO,TRADITIONAL,15,KG,HAKUNA,,,15,KG,25000,JIRANI,NDANI YA KIJIJI/MJI,NO,,YES,,0.7,YES,INSECTS,DECEMBER,FEBRUARY,YES,,,95,65000,2,
70-81-65-41,0654-001-002,1,28,NO,1/4,WAS DIVIDED,NO,,NYEKUNDU,TRADITIONAL,3,KG,HAKUNA,,,3,KG,0,NDUGU,NDANI YA KIJIJI/MJI,NO,,YES,,0.2,NO,,DECEMBER,FEBRUARY,YES,,,34,61200,2,
18-25-55-05,0654-004-001,2,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MBEGU KIENYEJI,TRADITIONAL,2,LARGE CUP,2,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,NO,DESTRUCTION,,,,,,,,,,,,
18-25-55-05,0654-004-001,2,17,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE MEKUNDU,TRADITIONAL,20,LARGE CUP,20,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,NO,DESTRUCTION,,,,,,,,,,,,
43-17-73-10,0655-001-001,1,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MBEGU KIENYEJI,TRADITIONAL,4,LARGE CUP,4,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.3,NO,,DECEMBER,FEBRUARY,YES,,,126,56000,1,
43-17-73-10,0655-001-001,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,ROSE COCO & YELLOW,"IMPROVED, RECYCLED",30,SMALL CUP,30,SMALL CUP,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,0.5,NO,,DECEMBER,DECEMBER,YES,,,140,63000,1,2
45-08-66-74,0657-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,5,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,1,YES,DROUGHT,MARCH,MARCH,YES,,,120,45000,1,2
45-08-66-74,0657-001-001,1,14,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,OTHER (SPECIFY),HAKUNA,,,HAKUNA,,,,,NO,,YES,,1,YES,DROUGHT,JULY,AUGUST,YES,,,100,7000,1,2
45-08-66-74,0657-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,10,KG,HAKUNA,,,HAKUNA,,,,,NO,,NO,DESTRUCTION,,,,,,,,,,,,
80-11-06-01,0658-001-001,1,1,NO,3/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,4,LARGE CUP,4,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.7,NO,,FEBRUARY,MARCH,YES,,,144,48000,1,
80-11-06-01,0658-001-001,1,13,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,5,KG,HAKUNA,,,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
80-11-06-01,0658-001-001,1,14,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAGIMBI KIENYEJI,TRADITIONAL,60,OTHER (SPECIFY),60,OTHER (SPECIFY),TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
80-11-06-01,0658-001-001,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE NJANO,TRADITIONAL,8,LARGE CUP,8,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,YES,INSECTS,JANUARY,FEBRUARY,YES,,,80,60000,1,
08-56-07-13,0661-002-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),NO,OTHER (SPECIFY),,,,,,,,,,,,
08-56-07-13,0661-002-001,1,14,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,3,OTHER (SPECIFY),3,OTHER (SPECIFY),TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
08-56-07-13,0661-002-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,NJANO,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,OTHER (SPECIFY),NO,OTHER (SPECIFY),,,,,,,,,,,,
08-56-07-13,0661-002-001,2,1,YES,,,NO,,KIENYEJI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.4,NO,,MARCH,MARCH,YES,,,120,84000,1,2
08-56-07-13,0661-002-001,2,14,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,6,OTHER (SPECIFY),HAKUNA,,,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
08-56-07-13,0661-002-001,3,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,1,KG,1,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,FEBRUARY,MARCH,YES,,,40,14000,1,
08-56-07-13,0661-002-001,3,14,NO,3/4,LACK SEEDS,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,OTHER (SPECIFY),2,OTHER (SPECIFY),TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
08-56-07-13,0661-002-001,3,17,YES,,,YES,MORE FERTILE FOR THE SOIL,MEUSI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,NO,,DECEMBER,FEBRUARY,YES,,,40,40000,1,
51-15-35-70,0662-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,SEEDCO,IMPROVED,5,KG,HAKUNA,,,5,KG,10000,SOKO,NDANI YA KIJIJI/MJI,NO,,YES,,1,NO,,MARCH,APRIL,YES,,,300,7500,1,
51-15-35-70,0662-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KWEZIKUMO,TRADITIONAL,5,KG,5,KG,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,YES,,0.25,YES,INSECTS,FEBRUARY,MARCH,YES,,,30,15000,1,
10-37-19-93,0662-002-002,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,YES,,1,YES,INSECTS,FEBRUARY,FEBRUARY,YES,,,400,80000,1,2
10-37-19-93,0662-002-002,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,YES,,1,YES,INSECTS,FEBRUARY,FEBRUARY,YES,,,120,150000,1,2
74-94-37-74,0663-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,1,KG,HAKUNA,,,1,KG,12000,GULIO,KARIBU NA KIJIJI,NO,,YES,,0.2,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,80,88000,1,6
74-94-37-74,0663-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,9,KG,HAKUNA,,,9,KG,9000,GULIO,KARIBU NA KIJIJI,NO,,YES,,0.2,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,60,72000,1,6
69-75-97-36,0663-003-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,2,KG,HAKUNA,,,2,KG,3000,SOKO,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,0.25,YES,INSECTS,MARCH,MARCH,YES,,,120,30000,1,
69-75-97-36,0663-003-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,IMPROVED,8,KG,HAKUNA,,,8,KG,8000,SOKO,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,0.25,YES,INSECTS,FEBRUARY,FEBRUARY,YES,,,40,20000,1,
05-21-74-76,0664-001-001,5,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,4,KG,4,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,YES,DROUGHT,FEBRUARY,APRIL,YES,,,324,108000,1,
05-21-74-76,0664-001-001,5,17,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE KAHAWIA,TRADITIONAL,10,KG,HAKUNA,,,10,KG,10000,SOKO,KARIBU NA KIJIJI,NO,,YES,,0.2,YES,DROUGHT,JANUARY,FEBRUARY,YES,,,80,72000,1,
65-31-48-21,0666-003-001,2,1,YES,,,NO,,KIENYEJI,TRADITIONAL,10,KG,HAKUNA,,,HAKUNA,,,,,NO,,YES,,1,NO,,FEBRUARY,APRIL,YES,,,120,30000,1,
65-31-48-21,0666-003-001,3,2,NO,1/2,WAS DIVIDED,NO,,15,TRADITIONAL,15,KG,HAKUNA,,,15,KG,10500,JIRANI,NDANI YA KIJIJI/MJI,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
96-55-31-90,0667-001-001,1,1,YES,,,YES,MORE FERTILE FOR THE SOIL,3,TRADITIONAL,3,KG,3,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,2,NO,,DECEMBER,DECEMBER,YES,,,240,180000,1,2
96-55-31-90,0667-001-001,1,17,YES,,,YES,MORE FERTILE FOR THE SOIL,KIENYEJI,TRADITIONAL,6,KG,6,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.5,YES,DROUGHT,DECEMBER,DECEMBER,YES,,,60,48000,1,2
90-00-57-86,0681-001-002,1,1,NO,1/4,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,KILIMA,"IMPROVED, RECYCLED",2,KG,2,KG,IMPROVED RECYCLED,HAKUNA,,,,,NO,,YES,,0.3,NO,,JANUARY,FEBRUARY,YES,,,54,24000,2,
90-00-57-86,0681-001-002,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,MAHARAGE MEKUNDU,TRADITIONAL,10,LARGE CUP,10,LARGE CUP,TRADITIONAL,HAKUNA,,,,,NO,,YES,,0.3,NO,,NOVEMBER,DECEMBER,YES,,,80,160000,2,
57-93-70-27,0683-001-001,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,IMPROVED,2,KG,HAKUNA,,,2,KG,8000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,DISEASES,NO,DESTRUCTION,,,,,,,,,,,,
57-93-70-27,0683-001-001,1,17,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SHONA,TRADITIONAL,3,KG,HAKUNA,,,3,KG,6000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,YES,INSECTS,YES,,0.23,YES,INSECTS,DECEMBER,FEBRUARY,YES,,,40,60000,1,
10-61-49-52,0684-001-002,1,1,NO,1/2,WAS DIVIDED,YES,MORE FERTILE FOR THE SOIL,SEEDCO,IMPROVED,2,KG,HAKUNA,,,2,KG,8000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,YES,,0.3,NO,,DECEMBER,FEBRUARY,YES,,,60,54000,1,
