interview__key,sdd_hhid,cropid,ag5a_01,ag5a_02,ag5a_03,ag5a_04_1,ag5a_04_2,ag5a_05,ag5a_06,ag5a_07_1,ag5a_07_2,ag5a_08,ag5a_09_1,ag5a_09_2,ag5a_10_1,ag5a_10_2,ag5a_11a,ag5a_11_1,ag5a_11_2,ag5a_12,ag5a_13,ag5a_14_1,ag5a_14_2,ag5a_15,ag5a_16_1,ag5a_16_2,ag5a_17_1,ag5a_17_2,ag5a_18,ag5a_19,ag5a_20,ag5a_21,ag5a_22,ag5a_23,ag5a_24,ag5a_25,ag5a_26,ag5a_27,ag5a_28,ag5a_29,ag5a_30,ag5a_31,ag5a_32,ag5a_32a,ag5a_32b,ag5a_32c,ag5a_32d,ag5a_32e,ag5a_33,ag5a_34,ag5a_35,ag5a_36_1a,ag5a_36_1b,ag5a_36_2a,ag5a_36_2b
03-36-44-51,0105-005-001,18,YES,5,7500,JIRANI,NDANI YA KIJIJI/MJI,5,7500,AUGUST,2018,1,2,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,3,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
83-56-10-16,0106-001-002,1,YES,216,84000,M/BIASHARA BINAFSI,WILAYA NYINGINE,108,36000,AUGUST,2018,2,1,,1,,NDIYO,M/BIASHARA BINAFSI,WILAYA NYINGINE,108,48000,NOVEMBER,2018,2,1,,1,,NO,,,,,NO,,,,,,NO,,,,324,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
72-82-51-97,0106-001-003,1,YES,108,34000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,108,34000,OCTOBER,2018,1,3,,3,,HAPANA,,,,,,,,,,,,YES,1,1,BICYCLE,0,NO,,,,,,NO,,,,324,10,0,0,0,MULCHED,,,,,,
11-04-09-01,0107-001-001,1,YES,400,168000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,400,168000,NOVEMBER,2018,3,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,80,20,0,100,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
51-54-44-86,0108-001-001,2,YES,1080,540000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,1080,540000,OCTOBER,2018,3,1,,1,5,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,288,72,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
51-54-44-86,0108-001-001,11,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
35-34-97-68,0108-001-002,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,26,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
71-21-99-60,0110-001-002,2,YES,4020,2677320,DUKANI/MCHUUZI,WILAYA NYINGINE,4020,2677320,DECEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,250,0,0,50,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
09-03-93-64,0111-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,18,2,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
09-03-93-64,0111-001-001,2,YES,1980,1100000,DUKANI/MCHUUZI,KARIBU NA MJI,1980,1100000,DECEMBER,2018,3,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,320,100,0,300,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
49-60-00-77,0112-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
49-60-00-77,0112-001-001,2,YES,6804,3780000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,6804,3780000,NOVEMBER,2018,4,5,,5,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,648,810,0,162,0,RESIDUE WAS LEFT IN FIELD,,,,,,
49-60-00-77,0112-001-001,28,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,72,0,0,12,0,RESIDUE WAS LEFT IN FIELD,,,,,,
80-23-77-43,0113-001-001,2,YES,300,140000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,300,140000,SEPTEMBER,2018,4,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,555,45,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
86-56-84-14,0113-002-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,72,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
95-71-62-51,0114-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,35,5,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
95-71-62-51,0114-001-001,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,20,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,200,50,0,60,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
95-71-62-51,0114-001-001,18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,5,1,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
95-71-62-51,0114-001-001,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,7,2,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
35-20-92-57,0115-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
35-20-92-57,0115-001-001,2,YES,32,14000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,32,14000,SEPTEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,48,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
35-20-92-57,0115-001-001,11,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,25,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
61-55-11-19,0115-001-002,2,YES,520,230000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,520,230000,JULY,2018,1,1,,1,,HAPANA,,,,,,,,,,,,YES,2,2,MOTORCYCLE,4000,NO,,,,,,NO,,,,80,40,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
61-11-91-19,0118-001-001,1,YES,800,280000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,800,280000,JULY,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,345,5,0,50,0,RESIDUE WAS LEFT IN FIELD,,,,,,
61-11-91-19,0118-001-001,2,YES,1800,840000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,1800,840000,JULY,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,YES,150,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,540,60,0,600,0,RESIDUE WAS LEFT IN FIELD,,,,,,
98-32-46-89,0120-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,45,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
98-32-46-89,0120-001-001,2,YES,320000,200000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,320,200000,OCTOBER,2018,4,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,480,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
98-32-46-89,0120-001-001,18,YES,20,20000,JIRANI,NDANI YA KIJIJI/MJI,20,20000,AUGUST,2018,4,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,15,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
11-41-50-08,0121-002-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,0,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
11-41-50-08,0121-002-001,2,YES,380,160000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,380,160000,JULY,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,150,40,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
11-41-50-08,0121-002-001,77,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,5,1,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
20-26-27-46,0121-004-001,2,YES,210,126000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,210,126000,SEPTEMBER,2018,6,1,4,1,4,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,195,0,0,45,0,RESIDUE WAS LEFT IN FIELD,,,,,,
51-99-30-00,0122-001-001,1,YES,200,70000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,200,70000,AUGUST,2018,2,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,YES,60,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,60,20,0,60,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
51-99-30-00,0122-001-001,2,YES,180,70000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,180,70000,SEPTEMBER,2018,4,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,80,40,0,50,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
94-57-72-83,0122-001-002,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,0,0,20,20,0,RESIDUE WAS LEFT IN FIELD,,,,,,
94-57-72-83,0122-001-002,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,30,0,0,120,0,RESIDUE WAS LEFT IN FIELD,,,,,,
94-57-72-83,0122-001-002,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,0,0,0,10,8,RESIDUE WAS LEFT IN FIELD,,,,,,
43-50-47-25,0122-001-003,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,902,0,0,250,0,RESIDUE WAS LEFT IN FIELD,,,,,,
43-50-47-25,0122-001-003,2,YES,960,560000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,960,560000,OCTOBER,2018,2,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,1056,160,480,64,0,RESIDUE WAS LEFT IN FIELD,,,,,,
43-50-47-25,0122-001-003,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,45,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
38-83-27-01,0123-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,0,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
59-55-68-20,0126-001-001,1,YES,360,105000,JIRANI,NDANI YA KIJIJI/MJI,360,105000,SEPTEMBER,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,360,0,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
40-08-98-18,0127-003-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,300,0,0,800,0,RESIDUE WAS LEFT IN FIELD,,,,,,
87-27-18-80,0128-001-001,1,YES,180,100000,M/BIASHARA BINAFSI,KARIBU NA MJI,180,100000,SEPTEMBER,2016,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,YES,126,SACKS / OPEN DRUM,NO,,SEED FOR PLANTING,NO,,,,504,20,0,54,0,FOR SALE,200,10000,M/BIASHARA BINAFSI,KARIBU NA MJI,M/BIASHARA BINAFSI,KARIBU NA MJI
87-27-18-80,0128-001-001,18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,5,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
87-27-18-80,0128-001-001,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,10,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
87-27-18-80,0128-001-001,75,YES,120,80000,M/BIASHARA BINAFSI,KARIBU NA MJI,120,80000,JUNE,2018,2,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,60,0,0,60,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
77-02-36-76,0129-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,120,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
18-53-46-11,0131-001-002,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,YES,PESTS,1,5000,504,18,0,18,0,RESIDUE WAS LEFT IN FIELD,,,,,,
18-53-46-11,0131-001-002,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,48,0,0,16,0,RESIDUE WAS LEFT IN FIELD,,,,,,
18-53-46-11,0131-001-002,103,YES,2400,540000,M/BIASHARA BINAFSI,WILAYA NYINGINE,2000,450000,JULY,2018,6,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,120,0,0,120,0,RESIDUE WAS LEFT IN FIELD,,,,,,
44-39-10-22,0134-001-001,17,YES,20,30000,JIRANI,NDANI YA KIJIJI/MJI,20,30000,SEPTEMBER,2018,1,2,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,30,30,0,0,0,MULCHED,,,,,,
49-77-74-54,0136-001-001,17,YES,8,16000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,8,16000,AUGUST,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,8,0,0,0,0,MULCHED,,,,,,
91-46-77-86,0137-003-001,1,YES,15,525000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,15,525000,AUGUST,2018,2,1,2,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,1000,100,0,200,0,RESIDUE WAS LEFT IN FIELD,,,,,,
91-46-77-86,0137-003-001,3,YES,100,30000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,100,30000,AUGUST,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,190,10,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
96-40-12-40,0138-002-001,1,YES,540,210000,M/BIASHARA BINAFSI,WILAYA NYINGINE,540,210000,OCTOBER,2018,2,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,YES,108,SACKS / OPEN DRUM,YES,SPRAYING,FOOD FOR HOUSEHOLD,NO,,,,216,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
51-16-04-26,0139-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,198,8,0,10,0,RESIDUE WAS LEFT IN FIELD,,,,,,
51-16-04-26,0139-001-001,18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,36,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
78-88-97-43,0140-002-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,72,SACKS / OPEN DRUM,YES,SPRAYING,FOOD FOR HOUSEHOLD,NO,,,,324,0,0,36,0,RESIDUE WAS LEFT IN FIELD,,,,,,
78-88-97-43,0140-002-001,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,375,0,45,30,0,RESIDUE WAS LEFT IN FIELD,,,,,,
78-88-97-43,0140-002-001,11,YES,300,70000,GULIO,NDANI YA KIJIJI/MJI,300,70000,AUGUST,2018,12,1,,1,,HAPANA,,,,,,,,,,,,YES,2,12,ON FOOT,0,NO,,,,,,NO,,,,60,0,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
43-41-40-08,0142-001-001,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
43-41-40-08,0142-001-001,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,0,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
93-57-90-59,0142-002-002,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,200,20,0,60,0,RESIDUE WAS LEFT IN FIELD,,,,,,
93-57-90-59,0142-002-002,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,60,40,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
45-56-78-16,0142-006-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,30,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,150,10,0,100,0,RESIDUE WAS LEFT IN FIELD,,,,,,
45-56-78-16,0142-006-001,20,YES,100,200000,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,100,200000,SEPTEMBER,2018,2,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,25,5,0,20,0,RESIDUE WAS LEFT IN FIELD,,,,,,
70-42-29-42,0143-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,YES,PESTS,1,10000,390,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
10-44-19-68,0154-001-001,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,170,10,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
88-54-76-45,0159-001-002,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,120,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
88-48-93-24,0174-002-003,1,YES,756,399000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,1,399000,NOVEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,YES,1,1,MOTORCYCLE,50000,NO,,,,,,NO,,,,216,0,0,108,0,RESIDUE WAS LEFT IN FIELD,,,,,,
88-48-93-24,0174-002-003,2,YES,1920,1440000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,1920,1440000,NOVEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,YES,1,1,MOTORCYCLE,30000,NO,,,,,,NO,,,,0,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
36-54-74-87,0180-001-007,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,0,OTHER (SPECIFY),NO,,FOOD FOR HOUSEHOLD,NO,,,,200,40,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
36-54-74-87,0180-001-007,2,YES,2400,2054000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,2400,2054000,AUGUST,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,YES,1560,OTHER (SPECIFY),NO,,TO SELL AT HIGHER PRICE,NO,,,,240,120,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
82-20-98-85,0183-002-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,100,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
82-20-98-85,0183-002-001,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,75,30,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
93-13-13-82,0183-002-003,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
93-13-13-82,0183-002-003,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,80,20,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
22-19-42-39,0188-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,100,0,0,0,0,FOR GRAZING OTHERS' ANIMALS,,,,,,
56-90-38-75,0199-001-001,1,YES,648,180000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,648,180000,JULY,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,288,0,0,36,0,RESIDUE WAS LEFT IN FIELD,,,,,,
83-06-62-27,0208-004-001,28,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,3,0,7,0,RESIDUE WAS LEFT IN FIELD,,,,,,
32-61-13-34,0219-005-001,1,YES,252,130000,SOKO,NDANI YA KIJIJI/MJI,252,130000,DECEMBER,2018,2,2,,1,2,HAPANA,,,,,,,,,,,,YES,1,2,MOTORCYCLE,0,YES,50,SACKS / OPEN DRUM,YES,SPRAYING,FOOD FOR HOUSEHOLD,NO,,,,400,15,0,40,0,RESIDUE WAS LEFT IN FIELD,,,,,,
93-28-19-25,0236-005-001,1,YES,1512,453600,M/BIASHARA BINAFSI,KARIBU NA MJI,1512,453600,NOVEMBER,2018,2,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,YES,5,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,540,108,0,540,0,RESIDUE WAS LEFT IN FIELD,,,,,,
93-28-19-25,0236-005-001,11,YES,400,60000,JIRANI,NDANI YA KIJIJI/MJI,400,60000,JUNE,2018,10,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,150,0,0,50,0,RESIDUE WAS LEFT IN FIELD,,,,,,
93-28-19-25,0236-005-001,17,YES,414,496800,M/BIASHARA BINAFSI,KARIBU NA MJI,414,496800,JUNE,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,YES,30,1,CAR,4000,NO,,,,,,NO,,,,80,38,0,20,0,RESIDUE WAS LEFT IN FIELD,,,,,,
93-28-19-25,0236-005-001,26,YES,290,120000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,290,120000,JUNE,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,0,10,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
29-56-58-07,0249-001-001,18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,3,0,0,0,0,FOR GRAZING OWN ANIMALS,,,,,,
42-84-07-76,0255-001-009,1,YES,120,60000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,120,60000,NOVEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,YES,240,OTHER (SPECIFY),NO,,FOOD FOR HOUSEHOLD,NO,,,,200,30,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
42-84-07-76,0255-001-009,27,YES,60,210000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,60,210000,AUGUST,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,0,20,0,0,0,CROP PRODUCES NO  RESIDUE,,,,,,
21-28-91-77,0266-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,210,10,0,80,0,OTHER (SPECIFY),,,,,,
21-28-91-77,0266-001-001,18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,15,0,0,0,0,OTHER (SPECIFY),,,,,,
61-93-73-52,0267-001-005,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,6,1,0,3,0,RESIDUE WAS LEFT IN FIELD,,,,,,
32-61-54-24,0275-001-002,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,180,20,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
32-61-54-24,0275-001-002,3,YES,150,45000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,150,45000,AUGUST,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,200,20,0,30,0,RESIDUE WAS LEFT IN FIELD,,,,,,
32-61-54-24,0275-001-002,26,YES,100,25000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,100,25000,AUGUST,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,0,20,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
01-12-50-30,0298-006-004,1,YES,720,450000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,720,450000,DECEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,YES,180,SACKS / OPEN DRUM,YES,SPRAYING,FOOD FOR HOUSEHOLD,NO,,,,420,0,0,200,0,RESIDUE WAS LEFT IN FIELD,,,,,,
81-68-55-28,0298-006-006,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,595,5,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
50-08-76-82,0299-001-001,1,YES,150,120000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,150,120000,DECEMBER,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,YES,60,SACKS / OPEN DRUM,YES,SPRAYING,FOOD FOR HOUSEHOLD,NO,,,,70,20,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
50-08-76-82,0299-001-001,2,YES,80,50000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,80,50000,NOVEMBER,2018,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,YES,60,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,40,40,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
50-08-76-82,0299-001-001,27,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,0,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
16-73-84-34,0300-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,220,0,30,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
16-73-84-34,0300-001-001,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,200,0,20,10,0,RESIDUE WAS LEFT IN FIELD,,,,,,
21-51-87-14,0301-001-001,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
21-51-87-14,0301-001-001,18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
49-07-66-40,0301-005-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,35,5,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
