interview__key,sdd_hhid,hh_i01,hh_i02,hh_i03,hh_i04,hh_i05,hh_i06,hh_i07_1,hh_i07_2,hh_i08,hh_i09,hh_i10,hh_i11,hh_i12,hh_i12a,hh_i12b,hh_i12c,hh_i12d_1,hh_i12d_2,hh_i12d_3,hh_i13,hh_i14,hh_i15,hh_i16,hh_i16_1,hh_i17,hh_i18,hh_i19,hh_i20,hh_i21,hh_i22,hh_i23,hh_i24_1,hh_i24_2,hh_i25,hh_i26,hh_i27,hh_i28,hh_i29,hh_i30,hh_i31,hh_i32,hh_i33,hh_i34_1,hh_i34_2,hh_i35,hh_i36
32-98-17-50,0189-001-001,RENTED,,80000,,0,0,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",TAKEN TO GOVT/MUNICIPAL BIN,FLUSH TOILET,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",REMOVED BY SERVICE PROVIDER: TO DON'T KNOW WHERE,NO,YES,NO,YES,1,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,BOIL,,PIPED WATER,4200,YES,,,,,,,,,,
69-12-32-87,0191-001-001,RENTED,,25000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,YES,4,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,TORCH,,PROTECTED DUGWELL,IN NEIGHBOR'S COMPOUND,2,25,10,NONE,,CART WITH SMALL TANK/DRUM,2400,YES,,,,,,,,,,
88-53-04-67,0192-001-002,RENTED,,12000,,1000000,0,4,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN NEIGHBOR'S COMPOUND,2,5,1,NONE,,PIPED WATER,7500,YES,,,,,,,,,,
45-87-86-23,0193-001-001,RENTED,,10000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),EARTH,BURIED IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,DON'T KNOW,,YES,NO,NO,YES,3,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,LAMP OIL,,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,2000,YES,,,,,,,,,,
18-27-98-28,0194-001-001,FREE,,,210000,500000,0,4,3,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,PIT LATRINE WITH SLAB (WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,YES,4,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,5000,YES,,,,,,,,,,
22-11-01-92,0194-007-002,RENTED,,35000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,DON'T KNOW,,,NO,YES,NO,YES,6,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,1250,YES,,,,,,,,,,
66-54-30-86,0195-001-001,OWNER OCCUPIED,TITLE DEED FOR LAND,,250000,1300000,0,4,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED ELSEWHERE,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN NEIGHBOR'S COMPOUND,5,8,5,ADD BLEACH/CHLORINE,,PIPED WATER,5000,YES,,,,,,,,,,
37-52-42-87,0195-001-003,RENTED,,130000,,0,0,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED ELSEWHERE,POUR FLUSH,DON'T KNOW,,,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,GAS,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,OTHER (SPECIFY),,PIPED WATER,6000,YES,,,,,,,,,,
43-65-07-99,0195-006-001,RENTED,,100000,,0,0,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,DON'T KNOW,,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,GAS,,ELECTRICITY,TANESCO,BOTTLED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,14000,YES,,,,,,,,,,
73-01-73-94,0196-001-001,RENTED,,35000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",TAKEN TO GOVT/MUNICIPAL BIN,FLUSH TOILET,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",REMOVED BY SERVICE PROVIDER: TO DON'T KNOW WHERE,NO,YES,NO,YES,4,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,BOIL,,PIPED WATER,2500,YES,,,,,,,,,,
42-23-49-92,0197-001-001,RENTED,,7000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,YES,2,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,TORCH,,PROTECTED DUGWELL,ELSWHERE,2,20,2,NONE,,PROTECTED DUGWELL,0,YES,,,,,,,,,,
88-74-53-78,0198-001-001,OWNER OCCUPIED,LAND SALE AGREEMENT,,75000,0,0,3,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,GAS,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,5000,YES,,,,,,,,,,
56-90-38-75,0199-001-001,OWNER OCCUPIED,OFFER OF THE RIGHT OF OCCUPANCY,,50000,6000,0,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,PIT LATRINE WITH SLAB (WASHABLE),IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,LAMP OIL,,PIPED WATER,IN OWN YARD/PLOT,,,,BOIL,,PIPED WATER,1375,YES,,,,,,,,,,
22-00-58-38,0199-001-002,FREE,,,180000,0,0,2,4,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",TAKEN TO GOVT/MUNICIPAL BIN,FLUSH TOILET,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",REMOVED BY SERVICE PROVIDER: TO DON'T KNOW WHERE,NO,YES,NO,YES,6,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN NEIGHBOR'S COMPOUND,6,3,1,NONE,,PIPED WATER,6000,YES,,,,,,,,,,
43-54-63-75,0199-001-014,RENTED,,10000,,0,0,1,0,POLES AND MUD/MUD AND STONES,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,PIT LATRINE WITHOUT SLAB/OPEN PIT,PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,YES,2,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,ELSWHERE,1,2,1,NONE,,PIPED WATER,700,YES,,,,,,,,,,
43-42-16-20,0199-008-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,30000,0,0,2,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,TORCH,,PIPED WATER,IN NEIGHBOR'S COMPOUND,1,5,2,NONE,,PIPED WATER,2000,YES,,,,,,,,,,
74-58-36-12,0199-008-003,RENTED,,20000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,YES,5,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,1250,YES,,,,,,,,,,
68-34-72-68,0200-001-001,OWNER OCCUPIED,TITLE DEED FOR LAND,,120000,0,0,4,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,YES,3,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN NEIGHBOR'S COMPOUND,3,3,1,NONE,,PIPED WATER,9000,YES,,,,,,,,,,
21-95-94-12,0201-001-001,RENTED,,70000,,0,0,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,DON'T KNOW,,NO,YES,NO,YES,1,NO CHILDREN,GAS,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,1900,YES,,,,,,,,,,
84-55-32-10,0202-002-001,OWNER OCCUPIED,SETTLEMENT PERMIT,,90000,0,0,3,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),EARTH,HEAPED IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,YES,NO,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,TUBEWELL/BOREHOLE,IN NEIGHBOR'S COMPOUND,2,2,1,BOIL,,PIPED WATER,1250,YES,,,,,,,,,,
61-58-21-91,0203-001-001,RENTED,,40000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",REMOVED BY SERVICE PROVIDER: TO A TREATMENT PLANT,NO,YES,NO,YES,2,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN NEIGHBOR'S COMPOUND,2,10,5,NONE,,PIPED WATER,3000,YES,,,,,,,,,,
58-70-71-25,0203-001-002,RENTED,,50000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,DON'T KNOW,,NO,YES,NO,YES,11,NO CHILDREN,GAS,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,3150,YES,,,,,,,,,,
85-27-88-94,0204-001-001,FREE,,,60000,0,0,3,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,PIT LATRINE WITH SLAB (WASHABLE),PIT LATRINE,"YES, EMPTIED: MORE THAN 5 YEARS AGO",REMOVED BY SERVICE PROVIDER: TO A TREATMENT PLANT,NO,YES,NO,NO,,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN NEIGHBOR'S COMPOUND,2,2,1,NONE,,PIPED WATER,3500,YES,,,,,,,,,,
40-89-03-58,0204-001-009,FREE,,,30000,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,PIT LATRINE WITH SLAB (WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,YES,6,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN NEIGHBOR'S COMPOUND,1,2,0,NONE,,PIPED WATER,400,YES,,,,,,,,,,
64-87-80-64,0204-008-001,RENTED,,35000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",REMOVED BY SERVICE PROVIDER: TO A TREATMENT PLANT,NO,YES,NO,YES,11,CHILD USED TOILET OR LATRINE,PARAFFIN,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,2100,YES,,,,,,,,,,
58-88-28-93,0205-001-001,RENTED,,30000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",REMOVED BY SERVICE PROVIDER: TO DON'T KNOW WHERE,NO,YES,NO,YES,7,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,ELSWHERE,2,10,1,NONE,,PIPED WATER,16000,YES,,,,,,,,,,
83-06-62-27,0208-004-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,20000,0,0,2,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,PIT LATRINE WITH SLAB (NOT WASHABLE),PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,FIREWOOD,STONE/OPEN FIRE STOVE,LAMP OIL,,PROTECTED SPRING,ELSWHERE,2,90,30,BOIL,,RAINWATER COLLECTION,0,YES,,,,,,,,,,
79-05-47-33,0210-001-001,FREE,,,30000,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,PIT LATRINE WITH SLAB (WASHABLE),PIT LATRINE,DON'T KNOW,,NO,YES,NO,YES,2,NO CHILDREN,PARAFFIN,,TORCH,,PIPED WATER,IN NEIGHBOR'S COMPOUND,1,15,5,NONE,,PIPED WATER,4000,YES,,,,,,,,,,
03-96-67-80,0210-002-002,FREE,,,20000,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,0,YES,,,,,,,,,,
11-75-06-50,0211-001-001,OWNER OCCUPIED,LAND SALE AGREEMENT,,120000,0,0,4,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",TAKEN TO GOVT/MUNICIPAL BIN,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,YES,NO,NO,NO,,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,BOIL,,PIPED WATER,4000,YES,,,,,,,,,,
26-67-43-95,0211-006-001,RENTED,,40000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,DON'T KNOW,,NO,YES,NO,YES,11,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,BOIL,,PIPED WATER,1250,YES,,,,,,,,,,
49-03-77-61,0212-001-001,RENTED,,80000,,0,0,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT IN COMPOUND,PIT LATRINE WITH SLAB (WASHABLE),IN OWN SEPTIC TANK,DON'T KNOW,,NO,YES,NO,YES,5,NO CHILDREN,PARAFFIN,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,1500,YES,,,,,,,,,,
80-82-58-54,0214-001-001,OWNER OCCUPIED,LAND SALE AGREEMENT,,100000,0,0,4,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED IN COMPOUND,POUR FLUSH,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,GAS,,ELECTRICITY,TANESCO,RAINWATER COLLECTION,IN OWN YARD/PLOT,,,,BOIL,,RAINWATER COLLECTION,0,NO,AVAILABILITY,PROTECTED DUGWELL,ELSWHERE,6,15,5,BOIL,,PROTECTED DUGWELL,0
47-56-60-71,0215-001-001,RENTED,,50000,,0,0,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURNT IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,YES,NO,NO,NO,,CHILD USED TOILET OR LATRINE,FIREWOOD,STONE/OPEN FIRE STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,1000,YES,,,,,,,,,,
43-96-13-63,0216-001-001,OWNER OCCUPIED,TRADITIONAL RIGHT OF OCCUPANCY,,250000,0,0,5,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,YES,NO,NO,NO,,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN DWELLING,,,,BOIL,,PIPED WATER,6500,YES,,,,,,,,,,
11-90-11-27,0216-006-001,OWNER OCCUPIED,TRADITIONAL RIGHT OF OCCUPANCY,,30000,0,0,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,NO CHILDREN,CHARCOAL,OTHER SELF-BUILT STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN NEIGHBOR'S COMPOUND,4,0,0,NONE,,PIPED WATER,5000,YES,,,,,,,,,,
06-94-34-79,0217-001-001,RENTED,,50000,,0,0,1,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,DON'T KNOW,,YES,NO,NO,YES,5,NO CHILDREN,GAS,,ELECTRICITY,TANESCO,PIPED WATER,IN NEIGHBOR'S COMPOUND,1,5,3,NONE,,PIPED WATER,1000,YES,,,,,,,,,,
02-85-44-36,0217-002-001,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,300000,0,0,5,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,YES,NO,NO,NO,,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,TUBEWELL/BOREHOLE,IN NEIGHBOR'S COMPOUND,2,5,2,NONE,,TUBEWELL/BOREHOLE,7000,YES,,,,,,,,,,
58-92-13-43,0218-001-001,OWNER OCCUPIED,TITLE DEED FOR LAND,,200000,0,0,3,2,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",DON'T KNOW,NO,YES,NO,NO,,NO CHILDREN,GAS,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,BOIL,,PIPED WATER,2000,YES,,,,,,,,,,
60-79-06-82,0218-001-002,OWNER OCCUPIED,NO DOCUMENTATION AT ALL,,50000,0,0,2,0,BAKED/BURNT BRICKS,"CONCRETE, CEMENT","CONCRETE, CEMENT, TILES, TIMBER",HEAPED IN COMPOUND,FLUSH TOILET,IN OWN SEPTIC TANK,DON'T KNOW,,NO,YES,NO,YES,4,NO CHILDREN,GAS,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,125,YES,,,,,,,,,,
43-30-23-38,0218-001-003,FREE,,,300000,0,0,4,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",TAKEN TO GOVT/MUNICIPAL BIN,POUR FLUSH,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",REMOVED BY SERVICE PROVIDER: TO A TREATMENT PLANT,YES,NO,NO,NO,,CHILD USED TOILET OR LATRINE,GAS,,ELECTRICITY,TANESCO,PIPED WATER,IN OWN DWELLING,,,,BOIL,,PIPED WATER,2500,YES,,,,,,,,,,
06-92-75-91,0218-001-005,RENTED,,10000,,0,0,3,0,BAKED/BURNT BRICKS,METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",BURIED IN COMPOUND,FLUSH TOILET,PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,YES,2,PUT/RINSED INTO TOILET OR LATRINE,GAS,,SOLAR,SOLAR PANELS,RAINWATER COLLECTION,IN NEIGHBOR'S COMPOUND,1,15,5,BOIL,,"SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNELS)",0,NO,AVAILABILITY,PROTECTED DUGWELL,ELSWHERE,1,45,10,BOIL,,PROTECTED DUGWELL,3000
98-66-63-47,0219-001-001,OWNER OCCUPIED,INHERITANCE LETTER,,60000,300000,0,3,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",REMOVED BY SERVICE PROVIDER: TO DON'T KNOW WHERE,NO,YES,NO,YES,5,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,ADD BLEACH/CHLORINE,,PIPED WATER,1200,YES,,,,,,,,,,
32-61-13-34,0219-005-001,RENTED,,60000,,0,0,2,2,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY GOVT/MUNICIPALITY,POUR FLUSH,IN OWN SEPTIC TANK,"YES, EMPTIED: WITHIN LAST 5 YEARS",DON'T KNOW,NO,YES,NO,YES,3,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PIPED WATER,IN OWN YARD/PLOT,,,,ADD BLEACH/CHLORINE,USE A WATER FILTER,PIPED WATER,1500,YES,,,,,,,,,,
97-60-22-72,0220-001-001,OWNER OCCUPIED,LAND SALE AGREEMENT,,60000,0,0,3,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",OTHER (SPECIFY),FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,YES,NO,NO,NO,,CHILD USED TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,SOLAR,SOLAR PANELS,PIPED WATER,IN OWN YARD/PLOT,,,,NONE,,PIPED WATER,5000,YES,,,,,,,,,,
00-92-63-48,0220-001-003,OWNER OCCUPIED,TITLE DEED FOR LAND,,200000,0,4500000,4,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,VIP,PIT LATRINE,"NO, NEVER EMPTIED",,NO,YES,NO,YES,3,NO CHILDREN,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,TUBEWELL/BOREHOLE,IN NEIGHBOR'S COMPOUND,2,5,2,NONE,,TUBEWELL/BOREHOLE,3500,YES,,,,,,,,,,
14-53-90-07,0220-001-006,FREE,,,70000,0,0,2,0,"CONCRETE, CEMENT, STONES",METAL SHEETS (GCI),"CONCRETE, CEMENT, TILES, TIMBER",COLLECTED BY PRIVATE COMPANY,FLUSH TOILET,IN OWN SEPTIC TANK,"NO, NEVER EMPTIED",,NO,YES,NO,NO,,PUT/RINSED INTO TOILET OR LATRINE,CHARCOAL,MANUFACTURED STOVE,ELECTRICITY,TANESCO,PROTECTED DUGWELL,IN NEIGHBOR'S COMPOUND,2,5,1,NONE,,PROTECTED DUGWELL,0,YES,,,,,,,,,,
