interview__key,sdd_hhid,shock_id,hh_r01,hh_r02,hh_r03,hh_r04_1,hh_r04_2
99-85-97-80,0242-001-001,DEATH OF A MEMBER OF HOUSEHOLD,YES,MOST SEVERE,NEITHER,DID NOT DO ANYTHING,
99-85-97-80,0242-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
99-85-97-80,0242-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
99-85-97-80,0242-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
99-85-97-80,0242-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
99-85-97-80,0242-001-001,OTHER (SPECIFY),NO,,,,
29-56-58-07,0249-001-001,DROUGHT OR FLOODS,YES,MOST SEVERE,INCOME LOSS,DID NOT DO ANYTHING,
29-56-58-07,0249-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
29-56-58-07,0249-001-001,LIVESTOCK DIED OR WERE STOLEN,YES,SECOND MOST SEVERE,LOSS OF BOTH,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS,
29-56-58-07,0249-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
29-56-58-07,0249-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
29-56-58-07,0249-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
29-56-58-07,0249-001-001,LARGE RISE IN PRICE OF FOOD,YES,THIRD MOST SEVERE,INCOME LOSS,ADULT HOUSEHOLD MEMBERS WHO WERE PREVIOUSLY NOT WORKING HAD TO FIND WORK,
29-56-58-07,0249-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
29-56-58-07,0249-001-001,SEVERE WATER SHORTAGE,NO,,,,
29-56-58-07,0249-001-001,LOSS OF LAND,NO,,,,
29-56-58-07,0249-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
29-56-58-07,0249-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
29-56-58-07,0249-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
29-56-58-07,0249-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
29-56-58-07,0249-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
29-56-58-07,0249-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
29-56-58-07,0249-001-001,OTHER (SPECIFY),NO,,,,
11-56-64-74,0254-001-001,DROUGHT OR FLOODS,NO,,,,
11-56-64-74,0254-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
11-56-64-74,0254-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
11-56-64-74,0254-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
11-56-64-74,0254-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
11-56-64-74,0254-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
11-56-64-74,0254-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
11-56-64-74,0254-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
11-56-64-74,0254-001-001,SEVERE WATER SHORTAGE,NO,,,,
11-56-64-74,0254-001-001,LOSS OF LAND,NO,,,,
11-56-64-74,0254-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
11-56-64-74,0254-001-001,DEATH OF A MEMBER OF HOUSEHOLD,YES,MOST SEVERE,ASSET LOSS,RELIED ON OWN-SAVINGS,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS
11-56-64-74,0254-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
11-56-64-74,0254-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
11-56-64-74,0254-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
11-56-64-74,0254-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
11-56-64-74,0254-001-001,OTHER (SPECIFY),NO,,,,
73-66-70-99,0263-001-004,DROUGHT OR FLOODS,NO,,,,
73-66-70-99,0263-001-004,CROP DISEASE OR CROP PESTS,NO,,,,
73-66-70-99,0263-001-004,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
73-66-70-99,0263-001-004,HOUSEHOLD BUSINESS FAILURE,NO,,,,
73-66-70-99,0263-001-004,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
73-66-70-99,0263-001-004,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
73-66-70-99,0263-001-004,LARGE RISE IN PRICE OF FOOD,NO,,,,
73-66-70-99,0263-001-004,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
73-66-70-99,0263-001-004,SEVERE WATER SHORTAGE,NO,,,,
73-66-70-99,0263-001-004,LOSS OF LAND,NO,,,,
73-66-70-99,0263-001-004,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,YES,MOST SEVERE,INCOME LOSS,SOLD DURABLE ASSETS,
73-66-70-99,0263-001-004,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
73-66-70-99,0263-001-004,DEATH OF OTHER FAMILY MEMBER,NO,,,,
73-66-70-99,0263-001-004,BREAK-UP OF THE HOUSEHOLD,NO,,,,
73-66-70-99,0263-001-004,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
73-66-70-99,0263-001-004,"DWELLING DAMAGED, DESTROYED",NO,,,,
73-66-70-99,0263-001-004,OTHER (SPECIFY),NO,,,,
08-95-27-37,0267-001-001,DROUGHT OR FLOODS,NO,,,,
08-95-27-37,0267-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
08-95-27-37,0267-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
08-95-27-37,0267-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
08-95-27-37,0267-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
08-95-27-37,0267-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
08-95-27-37,0267-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
08-95-27-37,0267-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
08-95-27-37,0267-001-001,SEVERE WATER SHORTAGE,NO,,,,
08-95-27-37,0267-001-001,LOSS OF LAND,NO,,,,
08-95-27-37,0267-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
08-95-27-37,0267-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
08-95-27-37,0267-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
08-95-27-37,0267-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
08-95-27-37,0267-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
08-95-27-37,0267-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
08-95-27-37,0267-001-001,OTHER (SPECIFY),YES,MOST SEVERE,NEITHER,RECEIVED UNCONDITIONAL HELP FROM GOVERNMENT,
45-28-40-86,0267-001-006,DROUGHT OR FLOODS,NO,,,,
45-28-40-86,0267-001-006,CROP DISEASE OR CROP PESTS,NO,,,,
45-28-40-86,0267-001-006,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
45-28-40-86,0267-001-006,HOUSEHOLD BUSINESS FAILURE,NO,,,,
45-28-40-86,0267-001-006,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
45-28-40-86,0267-001-006,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
45-28-40-86,0267-001-006,LARGE RISE IN PRICE OF FOOD,NO,,,,
45-28-40-86,0267-001-006,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
45-28-40-86,0267-001-006,SEVERE WATER SHORTAGE,NO,,,,
45-28-40-86,0267-001-006,LOSS OF LAND,NO,,,,
45-28-40-86,0267-001-006,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
45-28-40-86,0267-001-006,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
45-28-40-86,0267-001-006,DEATH OF OTHER FAMILY MEMBER,YES,MOST SEVERE,NEITHER,ENGAGED IN SPIRITUAL EFFORTS,
45-28-40-86,0267-001-006,BREAK-UP OF THE HOUSEHOLD,NO,,,,
45-28-40-86,0267-001-006,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
45-28-40-86,0267-001-006,"DWELLING DAMAGED, DESTROYED",NO,,,,
45-28-40-86,0267-001-006,OTHER (SPECIFY),NO,,,,
88-55-89-02,0268-001-002,DROUGHT OR FLOODS,NO,,,,
88-55-89-02,0268-001-002,CROP DISEASE OR CROP PESTS,NO,,,,
88-55-89-02,0268-001-002,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
88-55-89-02,0268-001-002,HOUSEHOLD BUSINESS FAILURE,NO,,,,
88-55-89-02,0268-001-002,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
88-55-89-02,0268-001-002,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
88-55-89-02,0268-001-002,LARGE RISE IN PRICE OF FOOD,NO,,,,
88-55-89-02,0268-001-002,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
88-55-89-02,0268-001-002,SEVERE WATER SHORTAGE,YES,MOST SEVERE,NEITHER,OTHER (SPECIFY),
88-55-89-02,0268-001-002,LOSS OF LAND,NO,,,,
88-55-89-02,0268-001-002,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,YES,SECOND MOST SEVERE,LOSS OF BOTH,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS,
88-55-89-02,0268-001-002,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
88-55-89-02,0268-001-002,DEATH OF OTHER FAMILY MEMBER,NO,,,,
88-55-89-02,0268-001-002,BREAK-UP OF THE HOUSEHOLD,NO,,,,
88-55-89-02,0268-001-002,HIJACKING/ROBBERY/BURGLARY/ASSAULT,YES,THIRD MOST SEVERE,ASSET LOSS,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS,
88-55-89-02,0268-001-002,"DWELLING DAMAGED, DESTROYED",NO,,,,
88-55-89-02,0268-001-002,OTHER (SPECIFY),NO,,,,
19-00-41-84,0272-001-001,DROUGHT OR FLOODS,NO,,,,
19-00-41-84,0272-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
19-00-41-84,0272-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
19-00-41-84,0272-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
19-00-41-84,0272-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,YES,MOST SEVERE,INCOME LOSS,RELIED ON OWN-SAVINGS,
19-00-41-84,0272-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
19-00-41-84,0272-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
19-00-41-84,0272-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
19-00-41-84,0272-001-001,SEVERE WATER SHORTAGE,NO,,,,
19-00-41-84,0272-001-001,LOSS OF LAND,NO,,,,
19-00-41-84,0272-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
19-00-41-84,0272-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
19-00-41-84,0272-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
19-00-41-84,0272-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
19-00-41-84,0272-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
19-00-41-84,0272-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
19-00-41-84,0272-001-001,OTHER (SPECIFY),NO,,,,
14-60-99-32,0274-001-001,DROUGHT OR FLOODS,NO,,,,
14-60-99-32,0274-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
14-60-99-32,0274-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
14-60-99-32,0274-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
14-60-99-32,0274-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
14-60-99-32,0274-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
14-60-99-32,0274-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
14-60-99-32,0274-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
14-60-99-32,0274-001-001,SEVERE WATER SHORTAGE,NO,,,,
14-60-99-32,0274-001-001,LOSS OF LAND,NO,,,,
14-60-99-32,0274-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,YES,MOST SEVERE,INCOME LOSS,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS,
14-60-99-32,0274-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
14-60-99-32,0274-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
14-60-99-32,0274-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
14-60-99-32,0274-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
14-60-99-32,0274-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
14-60-99-32,0274-001-001,OTHER (SPECIFY),NO,,,,
71-02-30-95,0277-001-001,DROUGHT OR FLOODS,NO,,,,
71-02-30-95,0277-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
71-02-30-95,0277-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
71-02-30-95,0277-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
71-02-30-95,0277-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
71-02-30-95,0277-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
71-02-30-95,0277-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
71-02-30-95,0277-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
71-02-30-95,0277-001-001,SEVERE WATER SHORTAGE,NO,,,,
71-02-30-95,0277-001-001,LOSS OF LAND,NO,,,,
71-02-30-95,0277-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,YES,MOST SEVERE,INCOME LOSS,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS,ADULT HOUSEHOLD MEMBERS WHO WERE PREVIOUSLY NOT WORKING HAD TO FIND WORK
71-02-30-95,0277-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
71-02-30-95,0277-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
71-02-30-95,0277-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
71-02-30-95,0277-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
71-02-30-95,0277-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
71-02-30-95,0277-001-001,OTHER (SPECIFY),NO,,,,
18-82-85-31,0280-001-003,DROUGHT OR FLOODS,NO,,,,
18-82-85-31,0280-001-003,CROP DISEASE OR CROP PESTS,NO,,,,
18-82-85-31,0280-001-003,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
18-82-85-31,0280-001-003,HOUSEHOLD BUSINESS FAILURE,NO,,,,
18-82-85-31,0280-001-003,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,YES,MOST SEVERE,INCOME LOSS,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS,
18-82-85-31,0280-001-003,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
18-82-85-31,0280-001-003,LARGE RISE IN PRICE OF FOOD,NO,,,,
18-82-85-31,0280-001-003,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
18-82-85-31,0280-001-003,SEVERE WATER SHORTAGE,NO,,,,
18-82-85-31,0280-001-003,LOSS OF LAND,NO,,,,
18-82-85-31,0280-001-003,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
18-82-85-31,0280-001-003,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
18-82-85-31,0280-001-003,DEATH OF OTHER FAMILY MEMBER,NO,,,,
18-82-85-31,0280-001-003,BREAK-UP OF THE HOUSEHOLD,NO,,,,
18-82-85-31,0280-001-003,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
18-82-85-31,0280-001-003,"DWELLING DAMAGED, DESTROYED",NO,,,,
18-82-85-31,0280-001-003,OTHER (SPECIFY),NO,,,,
98-28-80-40,0283-003-002,DROUGHT OR FLOODS,NO,,,,
98-28-80-40,0283-003-002,CROP DISEASE OR CROP PESTS,NO,,,,
98-28-80-40,0283-003-002,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
98-28-80-40,0283-003-002,HOUSEHOLD BUSINESS FAILURE,NO,,,,
98-28-80-40,0283-003-002,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
98-28-80-40,0283-003-002,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
98-28-80-40,0283-003-002,LARGE RISE IN PRICE OF FOOD,YES,MOST SEVERE,INCOME LOSS,DID NOT DO ANYTHING,
98-28-80-40,0283-003-002,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
98-28-80-40,0283-003-002,SEVERE WATER SHORTAGE,YES,SECOND MOST SEVERE,NEITHER,DID NOT DO ANYTHING,
98-28-80-40,0283-003-002,LOSS OF LAND,NO,,,,
98-28-80-40,0283-003-002,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
98-28-80-40,0283-003-002,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
98-28-80-40,0283-003-002,DEATH OF OTHER FAMILY MEMBER,NO,,,,
98-28-80-40,0283-003-002,BREAK-UP OF THE HOUSEHOLD,NO,,,,
98-28-80-40,0283-003-002,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
98-28-80-40,0283-003-002,"DWELLING DAMAGED, DESTROYED",NO,,,,
98-28-80-40,0283-003-002,OTHER (SPECIFY),NO,,,,
65-18-30-41,0292-001-001,DROUGHT OR FLOODS,NO,,,,
65-18-30-41,0292-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
65-18-30-41,0292-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
65-18-30-41,0292-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
65-18-30-41,0292-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
65-18-30-41,0292-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
65-18-30-41,0292-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
65-18-30-41,0292-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
65-18-30-41,0292-001-001,SEVERE WATER SHORTAGE,YES,MOST SEVERE,INCOME LOSS,DID NOT DO ANYTHING,
65-18-30-41,0292-001-001,LOSS OF LAND,NO,,,,
65-18-30-41,0292-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
65-18-30-41,0292-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
65-18-30-41,0292-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
65-18-30-41,0292-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
65-18-30-41,0292-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
65-18-30-41,0292-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
65-18-30-41,0292-001-001,OTHER (SPECIFY),YES,SECOND MOST SEVERE,INCOME LOSS,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS,RELIED ON OWN-SAVINGS
36-60-91-30,0296-001-002,DROUGHT OR FLOODS,YES,MOST SEVERE,INCOME LOSS,CHANGED EATING PATTERNS,
36-60-91-30,0296-001-002,CROP DISEASE OR CROP PESTS,YES,SECOND MOST SEVERE,INCOME LOSS,RELIED ON OWN-SAVINGS,CHANGED EATING PATTERNS
36-60-91-30,0296-001-002,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
36-60-91-30,0296-001-002,HOUSEHOLD BUSINESS FAILURE,NO,,,,
36-60-91-30,0296-001-002,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
36-60-91-30,0296-001-002,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
36-60-91-30,0296-001-002,LARGE RISE IN PRICE OF FOOD,NO,,,,
36-60-91-30,0296-001-002,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
36-60-91-30,0296-001-002,SEVERE WATER SHORTAGE,NO,,,,
36-60-91-30,0296-001-002,LOSS OF LAND,NO,,,,
36-60-91-30,0296-001-002,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
36-60-91-30,0296-001-002,DEATH OF A MEMBER OF HOUSEHOLD,YES,THIRD MOST SEVERE,LOSS OF BOTH,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS,
36-60-91-30,0296-001-002,DEATH OF OTHER FAMILY MEMBER,NO,,,,
36-60-91-30,0296-001-002,BREAK-UP OF THE HOUSEHOLD,NO,,,,
36-60-91-30,0296-001-002,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
36-60-91-30,0296-001-002,"DWELLING DAMAGED, DESTROYED",NO,,,,
36-60-91-30,0296-001-002,OTHER (SPECIFY),NO,,,,
81-68-55-28,0298-006-006,DROUGHT OR FLOODS,YES,MOST SEVERE,ASSET LOSS,CHANGED EATING PATTERNS,RELIED ON OWN-SAVINGS
81-68-55-28,0298-006-006,CROP DISEASE OR CROP PESTS,YES,SECOND MOST SEVERE,LOSS OF BOTH,CHANGED EATING PATTERNS,
81-68-55-28,0298-006-006,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
81-68-55-28,0298-006-006,HOUSEHOLD BUSINESS FAILURE,NO,,,,
81-68-55-28,0298-006-006,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
81-68-55-28,0298-006-006,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
81-68-55-28,0298-006-006,LARGE RISE IN PRICE OF FOOD,NO,,,,
81-68-55-28,0298-006-006,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
81-68-55-28,0298-006-006,SEVERE WATER SHORTAGE,NO,,,,
81-68-55-28,0298-006-006,LOSS OF LAND,NO,,,,
81-68-55-28,0298-006-006,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
81-68-55-28,0298-006-006,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
81-68-55-28,0298-006-006,DEATH OF OTHER FAMILY MEMBER,NO,,,,
81-68-55-28,0298-006-006,BREAK-UP OF THE HOUSEHOLD,NO,,,,
81-68-55-28,0298-006-006,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
81-68-55-28,0298-006-006,"DWELLING DAMAGED, DESTROYED",NO,,,,
81-68-55-28,0298-006-006,OTHER (SPECIFY),NO,,,,
50-08-76-82,0299-001-001,DROUGHT OR FLOODS,NO,,,,
50-08-76-82,0299-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
50-08-76-82,0299-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
50-08-76-82,0299-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
50-08-76-82,0299-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
50-08-76-82,0299-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
50-08-76-82,0299-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
50-08-76-82,0299-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
50-08-76-82,0299-001-001,SEVERE WATER SHORTAGE,YES,MOST SEVERE,INCOME LOSS,DID NOT DO ANYTHING,
50-08-76-82,0299-001-001,LOSS OF LAND,NO,,,,
50-08-76-82,0299-001-001,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
50-08-76-82,0299-001-001,DEATH OF A MEMBER OF HOUSEHOLD,NO,,,,
50-08-76-82,0299-001-001,DEATH OF OTHER FAMILY MEMBER,NO,,,,
50-08-76-82,0299-001-001,BREAK-UP OF THE HOUSEHOLD,NO,,,,
50-08-76-82,0299-001-001,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
50-08-76-82,0299-001-001,"DWELLING DAMAGED, DESTROYED",NO,,,,
50-08-76-82,0299-001-001,OTHER (SPECIFY),NO,,,,
88-95-31-32,0300-001-002,DROUGHT OR FLOODS,NO,,,,
88-95-31-32,0300-001-002,CROP DISEASE OR CROP PESTS,NO,,,,
88-95-31-32,0300-001-002,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
88-95-31-32,0300-001-002,HOUSEHOLD BUSINESS FAILURE,NO,,,,
88-95-31-32,0300-001-002,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
88-95-31-32,0300-001-002,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
88-95-31-32,0300-001-002,LARGE RISE IN PRICE OF FOOD,NO,,,,
88-95-31-32,0300-001-002,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
88-95-31-32,0300-001-002,SEVERE WATER SHORTAGE,NO,,,,
88-95-31-32,0300-001-002,LOSS OF LAND,NO,,,,
88-95-31-32,0300-001-002,CHRONIC/SEVERE ILLNESS OR ACCIDENT OF HOUSEHOLD MEMBER,NO,,,,
88-95-31-32,0300-001-002,DEATH OF A MEMBER OF HOUSEHOLD,YES,MOST SEVERE,LOSS OF BOTH,RECEIVED UNCONDITIONAL HELP FROM RELATIVES/FRIENDS,
88-95-31-32,0300-001-002,DEATH OF OTHER FAMILY MEMBER,NO,,,,
88-95-31-32,0300-001-002,BREAK-UP OF THE HOUSEHOLD,NO,,,,
88-95-31-32,0300-001-002,HIJACKING/ROBBERY/BURGLARY/ASSAULT,NO,,,,
88-95-31-32,0300-001-002,"DWELLING DAMAGED, DESTROYED",NO,,,,
88-95-31-32,0300-001-002,OTHER (SPECIFY),NO,,,,
21-51-87-14,0301-001-001,DROUGHT OR FLOODS,NO,,,,
21-51-87-14,0301-001-001,CROP DISEASE OR CROP PESTS,NO,,,,
21-51-87-14,0301-001-001,LIVESTOCK DIED OR WERE STOLEN,NO,,,,
21-51-87-14,0301-001-001,HOUSEHOLD BUSINESS FAILURE,NO,,,,
21-51-87-14,0301-001-001,LOSS OF SALARIED EMPLOYMENT OR NON-PAYMENT OF SALARY,NO,,,,
21-51-87-14,0301-001-001,LARGE FALL IN SALE PRICES FOR CROPS,NO,,,,
21-51-87-14,0301-001-001,LARGE RISE IN PRICE OF FOOD,NO,,,,
21-51-87-14,0301-001-001,LARGE RISE IN AGRICULTURAL INPUT PRICES,NO,,,,
21-51-87-14,0301-001-001,SEVERE WATER SHORTAGE,NO,,,,
21-51-87-14,0301-001-001,LOSS OF LAND,NO,,,,
