interview__key,sdd_hhid,plotnum,cropid,ag6a_02,ag6a_03,ag6a_04,ag6a_05,ag6a_06,ag6a_06a,ag6a_07_1,ag6a_07_2,ag6a_07_3,ag6a_07_4,ag6a_08_1,ag6a_08_2,ag6a_09,ag6a_10,ag6a_11
47-69-21-93,0109-001-001,2,57,3,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,FEBRUARY,1,5,240,YES,INSECTS
09-03-93-64,0111-001-001,1,57,1,2010,0,NO,,YES,2018,NOVEMBER,2019,FEBRUARY,1,2,35,YES,THEFT
49-60-00-77,0112-001-001,1,55,8,2014,0,NO,,YES,2019,JULY,2019,AUGUST,1,,6,NO,
80-23-77-43,0113-001-001,3,57,1,2016,0,NO,,YES,2019,FEBRUARY,2019,APRIL,1,,240,NO,
86-56-84-14,0113-002-001,1,57,6,1998,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,FEBRUARY,1,,360,YES,THEFT
86-56-84-14,0113-002-001,3,57,3,1900,0,NO,,NO,,,,,,,,,
95-71-62-51,0114-001-001,1,55,12,2013,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JANUARY,2019,APRIL,1,2,84,NO,
95-71-62-51,0114-001-001,1,57,6,2013,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,FEBRUARY,1,2,120,YES,BIRDS
95-71-62-51,0114-001-001,1,102,1,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
35-20-92-57,0115-001-001,1,57,2,2006,0,NO,,YES,2018,NOVEMBER,2019,JANUARY,1,,75,YES,THEFT
61-11-91-19,0118-001-001,1,55,30,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,OCTOBER,2019,OCTOBER,1,2,60,NO,
61-11-91-19,0118-001-001,1,57,6,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,JANUARY,2019,FEBRUARY,1,2,200,NO,
61-11-91-19,0118-001-001,1,58,1,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,MAY,2019,OCTOBER,1,2,7,NO,
61-11-91-19,0118-001-001,1,60,4,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
61-11-91-19,0118-001-001,2,55,60,2017,0,NO,,YES,2019,JULY,2019,SEPTEMBER,1,2,160,NO,
61-11-91-19,0118-001-001,3,55,30,2017,0,NO,,YES,2019,JUNE,2019,OCTOBER,1,2,80,NO,
98-32-46-89,0120-001-001,1,55,75,2001,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,AUGUST,2019,JULY,1,,230,NO,
98-32-46-89,0120-001-001,1,57,4,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,JANUARY,1,2,150,NO,
11-41-50-08,0121-002-001,2,55,2,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,JUNE,2019,JULY,1,2,20,NO,
11-41-50-08,0121-002-001,2,57,6,2012,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,MARCH,1,2,64,YES,THEFT
51-99-30-00,0122-001-001,1,55,10,2000,6,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,MAY,2019,JUNE,1,,65,NO,
51-99-30-00,0122-001-001,1,57,3,1995,0,NO,,YES,2018,DECEMBER,2019,MARCH,1,,160,YES,THEFT
51-99-30-00,0122-001-001,1,58,1,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,FEBRUARY,2019,MARCH,1,,24,YES,BIRDS
94-57-72-83,0122-001-002,1,55,2,2019,0,NO,,NO,,,,,,,,,
94-57-72-83,0122-001-002,1,57,2,2016,0,NO,,YES,2018,NOVEMBER,2019,JANUARY,1,,20,NO,
43-50-47-25,0122-001-003,1,57,9,1994,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,JANUARY,1,2,750,YES,THEFT
43-50-47-25,0122-001-003,1,60,97,2019,84,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JULY,1,,650,YES,INSECTS
38-83-27-01,0123-001-001,2,101,1,2018,1,YES,OTHER (SPECIFY),NO,,,,,,,,,
38-83-27-01,0123-001-001,2,102,1,2013,0,YES,OTHER (SPECIFY),YES,2019,FEBRUARY,2019,APRIL,1,2,11,NO,
59-55-68-20,0126-001-001,2,55,4,2018,0,NO,,NO,,,,,,,,,
20-77-46-74,0127-001-001,1,53,1,2014,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
20-77-46-74,0127-001-001,1,57,5,2005,0,YES,OTHER (SPECIFY),YES,2018,NOVEMBER,2019,JANUARY,1,,120,NO,
20-77-46-74,0127-001-001,1,60,1,2014,0,YES,OTHER (SPECIFY),YES,2019,SEPTEMBER,2019,OCTOBER,1,,26,NO,
20-77-46-74,0127-001-001,1,63,3,2014,0,YES,OTHER (SPECIFY),YES,2019,SEPTEMBER,2019,OCTOBER,1,,38,NO,
40-08-98-18,0127-003-001,2,60,35,2017,0,NO,,NO,,,,,,,,,
18-53-46-11,0131-001-002,1,53,1,2000,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,JANUARY,1,2,130,NO,
18-53-46-11,0131-001-002,1,55,10,2005,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2018,NOVEMBER,1,2,150,NO,
18-53-46-11,0131-001-002,1,57,20,2004,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,JANUARY,1,2,900,YES,INSECTS
18-53-46-11,0131-001-002,1,58,4,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,JANUARY,1,2,50,NO,
18-53-46-11,0131-001-002,1,59,30,2016,10,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,JANUARY,1,2,120,NO,
18-53-46-11,0131-001-002,2,55,25,2018,12,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
18-53-46-11,0131-001-002,2,57,15,2017,5,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
18-53-46-11,0131-001-002,2,59,20,2018,20,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
44-39-10-22,0134-001-001,1,55,15,2003,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,FEBRUARY,2019,JANUARY,1,2,80,NO,
44-39-10-22,0134-001-001,1,56,2,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,MARCH,2018,JUNE,1,2,25,NO,
44-39-10-22,0134-001-001,2,55,20,2002,0,NO,,YES,2018,FEBRUARY,2018,FEBRUARY,1,2,100,NO,
44-39-10-22,0134-001-001,3,57,3,1900,0,NO,,YES,2019,JANUARY,2019,JANUARY,4,5,80,YES,THEFT
49-77-74-54,0136-001-001,1,55,20,2014,2,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,AUGUST,2018,OCTOBER,1,2,4,YES,THEFT
49-77-74-54,0136-001-001,1,56,10,2013,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
49-77-74-54,0136-001-001,1,57,7,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,FEBRUARY,2018,FEBRUARY,1,2,4,YES,BIRDS
49-77-74-54,0136-001-001,1,88,1,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
49-77-74-54,0136-001-001,2,55,10,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JANUARY,2018,FEBRUARY,1,2,35,NO,
49-77-74-54,0136-001-001,2,56,10,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
21-87-07-74,0137-001-001,1,55,40,2011,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,APRIL,2018,NOVEMBER,1,,48,NO,
21-87-07-74,0137-001-001,1,57,3,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
21-87-07-74,0137-001-001,2,55,28,2011,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
21-87-07-74,0137-001-001,2,57,7,2011,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,MARCH,2018,JUNE,1,,40,NO,
21-87-07-74,0137-001-001,3,55,10,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,MARCH,2018,MARCH,1,,30,NO,
21-87-07-74,0137-001-001,3,57,3,2008,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
21-87-07-74,0137-001-001,4,55,12,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,FEBRUARY,2018,SEPTEMBER,1,,40,NO,
21-87-07-74,0137-001-001,4,56,3,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
21-87-07-74,0137-001-001,4,57,3,2,2015,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
91-46-77-86,0137-003-001,1,57,2,2001,0,NO,,YES,2018,OCTOBER,2018,DECEMBER,1,,70,YES,BIRDS
91-46-77-86,0137-003-001,2,55,80,2017,0,YES,OTHER (SPECIFY),YES,2018,DECEMBER,2019,NOVEMBER,1,,150,NO,
91-46-77-86,0137-003-001,2,57,9,2017,0,YES,OTHER (SPECIFY),YES,2018,DECEMBER,2019,NOVEMBER,1,,110,NO,
91-46-77-86,0137-003-001,2,103,3,2015,0,YES,OTHER (SPECIFY),YES,2018,DECEMBER,2019,NOVEMBER,1,,13,NO,
51-16-04-26,0139-001-001,1,55,25,2014,0,YES,OTHER (SPECIFY),YES,2018,MARCH,2018,MAY,1,2,48,NO,
51-16-04-26,0139-001-001,1,57,3,1973,0,YES,OTHER (SPECIFY),YES,2018,DECEMBER,2019,JANUARY,2,,300,NO,
51-16-04-26,0139-001-001,1,58,3,2008,0,YES,OTHER (SPECIFY),YES,2018,NOVEMBER,2018,DECEMBER,2,,24,NO,
78-88-97-43,0140-002-001,2,55,15,2014,0,NO,,YES,2018,MAY,2018,NOVEMBER,1,,48,NO,
43-41-40-08,0142-001-001,1,57,4,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JANUARY,2018,MARCH,1,,300,NO,
45-56-78-16,0142-006-001,1,55,50,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2019,MAY,1,,120,NO,
45-56-78-16,0142-006-001,1,56,3,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
45-56-78-16,0142-006-001,1,60,1,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
70-42-29-42,0143-001-001,1,57,12,1900,3,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,FEBRUARY,1,,200,YES,THEFT
38-77-50-86,0147-001-001,1,55,5,1995,0,NO,,YES,2018,MAY,2019,APRIL,4,,140,NO,
42-47-45-53,0149-001-009,1,57,2,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
42-47-45-53,0149-001-009,1,58,2,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
52-34-01-68,0151-001-001,3,57,2,2018,2,NO,,NO,,,,,,,,,
10-44-19-68,0154-001-001,2,64,1,2017,0,NO,,NO,,,,,,,,,
04-84-88-57,0155-001-001,1,57,1,1974,0,NO,,NO,,,,,,,,,
04-84-88-57,0155-001-001,1,58,1,0,0,NO,,YES,2019,JANUARY,2019,JULY,1,,18,YES,BIRDS
04-84-88-57,0155-001-001,1,85,1,1996,0,NO,,YES,2018,APRIL,2019,MAY,1,6,9,YES,INSECTS
88-54-76-45,0159-001-002,2,55,20,2015,2,YES,OTHER (SPECIFY),YES,2018,APRIL,2019,MARCH,2,,90,NO,
88-54-76-45,0159-001-002,2,56,2,2016,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
88-54-76-45,0159-001-002,2,57,7,1997,0,YES,OTHER (SPECIFY),YES,2018,DECEMBER,2019,FEBRUARY,2,,150,YES,BIRDS
88-54-76-45,0159-001-002,3,57,1,1900,0,NO,,NO,,,,,,,,,
36-54-74-87,0180-001-007,1,57,2,2011,0,NO,,YES,2018,NOVEMBER,2019,JANUARY,1,2,80,NO,
36-54-74-87,0180-001-007,1,60,1,2011,0,NO,,NO,,,,,,,,,
22-19-42-39,0188-001-001,1,54,3,2018,3,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,FEBRUARY,2019,MARCH,1,2,20,YES,THEFT
22-19-42-39,0188-001-001,1,55,58,2017,25,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,FEBRUARY,2019,JANUARY,1,2,140,NO,
22-19-42-39,0188-001-001,1,57,4,2017,1,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
22-19-42-39,0188-001-001,1,58,16,2017,8,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,MARCH,2019,FEBRUARY,1,2,40,YES,BIRDS
22-19-42-39,0188-001-001,1,64,1,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,APRIL,2019,MAY,1,2,15,NO,
66-54-30-86,0195-001-001,1,57,1,2010,0,NO,,NO,,,,,,,,,
66-54-30-86,0195-001-001,1,60,1,2006,0,NO,,YES,2018,JULY,2019,AUGUST,1,4,15,NO,
66-54-30-86,0195-001-001,1,64,1,2006,0,NO,,YES,2018,SEPTEMBER,2019,AUGUST,1,4,8,NO,
84-55-32-10,0202-002-001,2,55,4,2015,0,NO,,YES,2018,NOVEMBER,2019,OCTOBER,1,,75,NO,
84-55-32-10,0202-002-001,2,57,1,2018,0,NO,,NO,,,,,,,,,
83-06-62-27,0208-004-001,1,55,300,2014,10,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2019,APRIL,1,,144,NO,
83-06-62-27,0208-004-001,1,57,3,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,JANUARY,1,,300,YES,OTHER (SPECIFY)
83-06-62-27,0208-004-001,1,64,1,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,FEBRUARY,2019,APRIL,1,,80,NO,
43-96-13-63,0216-001-001,1,58,1,2017,0,NO,,YES,2018,NOVEMBER,2019,OCTOBER,1,2,35,YES,BIRDS
11-90-11-27,0216-006-001,1,57,2,1900,0,NO,,YES,2018,OCTOBER,2019,FEBRUARY,1,,120,YES,INSECTS
11-90-11-27,0216-006-001,1,58,1,1900,0,NO,,YES,2018,SEPTEMBER,2019,OCTOBER,1,,40,YES,BIRDS
02-85-44-36,0217-002-001,1,54,1,2017,0,NO,,NO,,,,,,,,,
02-85-44-36,0217-002-001,1,57,3,9999,0,NO,,NO,,,,,,,,,
02-85-44-36,0217-002-001,2,57,3,9999,0,NO,,NO,,,,,,,,,
67-31-73-27,0223-001-001,2,55,10,2017,0,NO,,NO,,,,,,,,,
36-07-10-97,0230-001-001,1,56,1,2008,0,NO,,YES,2019,APRIL,2019,JUNE,1,2,70,NO,
36-07-10-97,0230-001-001,2,57,1,2015,0,NO,,NO,,,,,,,,,
36-07-10-97,0230-001-001,2,60,1,2015,0,NO,,NO,,,,,,,,,
32-98-50-34,0232-001-001,1,55,1,2019,1,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
32-98-50-34,0232-001-001,1,57,1,2001,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,JANUARY,1,,50,NO,
32-98-50-34,0232-001-001,1,60,2,2003,0,NO,,YES,2019,APRIL,2019,JULY,1,,40,NO,
16-71-73-07,0233-001-001,2,57,1,2018,0,NO,,NO,,,,,,,,,
16-71-73-07,0233-001-001,2,58,1,2019,1,NO,,NO,,,,,,,,,
16-71-73-07,0233-001-001,2,64,1,2016,0,NO,,YES,2018,AUGUST,2019,SEPTEMBER,1,2,23,NO,
93-28-19-25,0236-005-001,1,55,30,1900,0,NO,,YES,2018,MAY,2019,APRIL,1,2,80,NO,
02-85-17-16,0241-001-001,1,55,3,2012,0,NO,,YES,2018,JULY,2019,JUNE,1,2,75,NO,
02-85-17-16,0241-001-001,1,56,1,2019,1,NO,,NO,,,,,,,,,
02-85-17-16,0241-001-001,1,60,1,2019,1,NO,,NO,,,,,,,,,
02-85-17-16,0241-001-001,1,102,1,2019,1,NO,,NO,,,,,,,,,
99-85-97-80,0242-001-001,2,55,20,2013,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,300,NO,
99-85-97-80,0242-001-001,2,57,15,2011,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,2,60,NO,
99-85-97-80,0242-001-001,2,58,20,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,,100,NO,
99-85-97-80,0242-001-001,2,60,10,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JULY,2019,JUNE,1,,15,NO,
29-56-58-07,0249-001-001,1,55,50,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,SEPTEMBER,2,,150,NO,
29-56-58-07,0249-001-001,1,56,2,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,FEBRUARY,2,,60,NO,
47-43-87-43,0251-001-001,1,57,1,1900,0,NO,,NO,,,,,,,,,
66-44-07-30,0255-001-001,1,55,3,2017,0,NO,,YES,2018,SEPTEMBER,2019,AUGUST,1,2,60,NO,
42-84-07-76,0255-001-009,1,55,6,2017,0,NO,,YES,2018,DECEMBER,2019,NOVEMBER,1,,50,NO,
42-84-07-76,0255-001-009,1,57,1,2018,1,NO,,NO,,,,,,,,,
12-03-97-45,0260-001-001,1,55,2,2017,0,NO,,NO,,,,,,,,,
21-28-91-77,0266-001-001,3,55,48,2013,0,NO,,YES,2018,MAY,2019,APRIL,1,2,120,YES,THEFT
08-95-27-37,0267-001-001,1,57,5,1963,0,YES,OTHER (SPECIFY),YES,2018,OCTOBER,2018,DECEMBER,1,,250,YES,THEFT
08-95-27-37,0267-001-001,1,60,22,1963,0,YES,OTHER (SPECIFY),YES,2018,JUNE,2018,OCTOBER,1,,2500,YES,THEFT
61-93-73-52,0267-001-005,1,55,26,2014,2,NO,,YES,2018,JULY,2019,FEBRUARY,1,2,36,NO,
99-73-94-40,0268-001-001,1,53,1,1900,0,YES,OTHER (SPECIFY),YES,2018,OCTOBER,2018,DECEMBER,1,,60,YES,THEFT
99-73-94-40,0268-001-001,1,57,5,2010,0,YES,OTHER (SPECIFY),YES,2018,AUGUST,2018,OCTOBER,1,,50,YES,THEFT
80-17-56-66,0283-001-001,2,53,1900,1,0,NO,,YES,2018,AUGUST,2019,SEPTEMBER,1,2,80,NO,
80-17-56-66,0283-001-001,2,58,1,1900,0,NO,,YES,2018,AUGUST,2019,SEPTEMBER,1,2,35,NO,
35-18-85-05,0291-001-001,2,55,4,2018,0,NO,,NO,,,,,,,,,
62-38-02-67,0295-001-001,1,55,8,2017,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
62-38-02-67,0295-001-001,1,57,5,2015,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
36-60-91-30,0296-001-002,1,57,1,2017,0,NO,,NO,,,,,,,,,
36-60-91-30,0296-001-002,2,57,3,2002,0,NO,,YES,2018,NOVEMBER,2019,JANUARY,2,,75,NO,
01-12-50-30,0298-006-004,1,57,3,1993,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,JANUARY,1,5,450,NO,
01-12-50-30,0298-006-004,1,88,6,2002,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,MARCH,1,5,150,NO,
81-68-55-28,0298-006-006,1,56,2,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
81-68-55-28,0298-006-006,1,60,1,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
81-68-55-28,0298-006-006,1,102,1,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
81-68-55-28,0298-006-006,2,57,2,1900,0,NO,,YES,2019,SEPTEMBER,2019,OCTOBER,1,2,20,YES,THEFT
16-73-84-34,0300-001-001,1,57,5,1900,0,YES,OTHER (SPECIFY),YES,2018,OCTOBER,2019,JANUARY,1,4,60,YES,THEFT
16-73-84-34,0300-001-001,1,101,5,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,AUGUST,2019,APRIL,1,,75,NO,
16-73-84-34,0300-001-001,3,55,32,2012,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,JUNE,2019,MAY,1,4,120,NO,
16-73-84-34,0300-001-001,3,57,5,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,JANUARY,1,,120,NO,
16-73-84-34,0300-001-001,3,59,65,2018,24,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
88-95-31-32,0300-001-002,1,57,4,1900,0,NO,,YES,2018,OCTOBER,2019,JANUARY,1,2,123,NO,
21-51-87-14,0301-001-001,1,55,6,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,MAY,2019,APRIL,1,,20,NO,
21-51-87-14,0301-001-001,1,59,15,2016,4,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,MAY,2019,APRIL,1,,30,NO,
49-07-66-40,0301-005-001,2,55,6,2009,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,FEBRUARY,1,,65,NO,
49-07-66-40,0301-005-001,2,60,1,2009,0,NO,,YES,2018,APRIL,2018,JULY,1,2,15,YES,THEFT
49-07-66-40,0301-005-001,2,85,1,2009,0,NO,,YES,2018,SEPTEMBER,2019,FEBRUARY,1,2,8,NO,
30-98-65-42,0302-001-001,1,57,8,2015,0,YES,OTHER (SPECIFY),NO,,,,,,,,,
30-98-65-42,0302-001-001,3,57,1,1900,0,NO,,YES,2018,OCTOBER,2018,DECEMBER,1,2,80,YES,ANIMALS
66-47-83-10,0303-001-001,1,57,4,1988,0,NO,,YES,2018,NOVEMBER,2019,JANUARY,1,2,65,YES,ANIMALS
62-07-81-83,0304-001-001,1,57,4,2018,4,NO,,NO,,,,,,,,,
62-07-81-83,0304-001-001,3,57,4,1900,0,NO,,YES,2018,OCTOBER,2018,DECEMBER,1,2,120,YES,ANIMALS
40-17-36-05,0310-001-001,2,60,5,2000,0,NO,,YES,2019,JUNE,2019,AUGUST,1,,120,YES,INSECTS
40-17-36-05,0310-001-001,2,63,1,2000,1,NO,,YES,2018,JUNE,2019,AUGUST,1,,65,YES,INSECTS
40-17-36-05,0310-001-001,2,102,2,1980,0,NO,,YES,2018,JUNE,2019,AUGUST,1,,80,NO,
55-61-56-57,0311-002-001,2,55,5,2014,0,NO,,YES,2018,DECEMBER,2019,NOVEMBER,1,,150,NO,
55-61-56-57,0311-002-001,2,57,5,2015,0,NO,,NO,,,,,,,,,
55-61-56-57,0311-002-001,3,58,3,2017,0,NO,,YES,2018,DECEMBER,2019,NOVEMBER,1,,30,NO,
98-25-23-09,0312-001-001,1,57,4,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,NOVEMBER,2019,JANUARY,1,2,200,YES,ANIMALS
98-25-23-09,0312-001-001,5,55,1,2019,1,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
22-19-05-49,0313-001-001,4,57,4,1900,0,NO,,NO,,,,,,,,,
61-15-16-96,0314-001-001,2,55,4,2014,0,NO,,YES,2018,SEPTEMBER,2019,AUGUST,1,7,90,NO,
61-15-16-96,0314-001-001,2,57,2,1975,0,NO,,YES,2018,NOVEMBER,2019,FEBRUARY,1,6,100,YES,OTHER (SPECIFY)
61-15-16-96,0314-001-001,2,58,1,2017,0,NO,,YES,2018,SEPTEMBER,2019,AUGUST,1,7,20,NO,
61-15-16-96,0314-001-001,2,60,3,1977,0,NO,,YES,2019,JUNE,2019,JULY,1,7,50,YES,OTHER (SPECIFY)
66-32-50-84,0314-001-005,1,58,5,2018,5,NO,,YES,2018,SEPTEMBER,2019,AUGUST,1,2,60,NO,
53-55-68-22,0315-001-001,1,55,75,2011,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,AUGUST,2019,JULY,1,2,140,NO,
53-55-68-22,0315-001-001,1,57,1,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
53-55-68-22,0315-001-001,3,57,2,1900,0,NO,,YES,2018,OCTOBER,2019,FEBRUARY,1,2,55,YES,INSECTS
33-84-24-00,0316-001-001,1,55,6,2018,6,NO,,NO,,,,,,,,,
33-84-24-00,0316-001-001,1,57,2,1980,0,NO,,YES,2018,OCTOBER,2019,JANUARY,1,2,10,NO,
33-84-24-00,0316-001-001,1,58,1,2018,1,NO,,YES,2018,AUGUST,2019,JULY,1,2,6,NO,
33-84-24-00,0316-001-001,2,55,15,2018,15,NO,,YES,2018,AUGUST,2019,JULY,1,2,45,YES,THEFT
33-84-24-00,0316-001-001,3,55,3,2017,0,NO,,YES,2018,AUGUST,2019,JULY,1,2,30,YES,THEFT
33-84-24-00,0316-001-001,3,57,1,2015,0,NO,,NO,,,,,,,,,
79-96-60-97,0319-001-001,1,55,200,2014,0,NO,,YES,2018,DECEMBER,2019,NOVEMBER,1,2,6000,YES,THEFT
79-96-60-97,0319-001-001,1,57,6,2009,0,NO,,YES,2018,NOVEMBER,2019,JANUARY,1,2,80,YES,THEFT
79-96-60-97,0319-001-001,2,58,5,2019,5,NO,,NO,,,,,,,,,
70-01-42-10,0319-002-001,1,55,6,2017,0,NO,,YES,2018,DECEMBER,2019,NOVEMBER,1,,60,NO,
70-01-42-10,0319-002-001,1,60,1,1996,0,NO,,NO,,,,,,,,,
70-01-42-10,0319-002-001,1,101,1,1999,0,NO,,NO,,,,,,,,,
50-35-86-27,0320-001-001,1,55,40,2016,0,NO,,YES,2018,NOVEMBER,2019,NOVEMBER,1,,150,NO,
87-02-55-58,0321-001-001,1,55,30,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,DECEMBER,2019,NOVEMBER,1,2,150,NO,
87-02-55-58,0321-001-001,1,57,20,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,JANUARY,1,2,800,YES,OTHER (SPECIFY)
87-02-55-58,0321-001-001,1,59,50,2013,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,JANUARY,2019,NOVEMBER,1,2,200,NO,
87-02-55-58,0321-001-001,1,60,60,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2019,APRIL,2019,AUGUST,1,2,1400,YES,OTHER (SPECIFY)
75-47-93-54,0326-001-001,1,57,4,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,YES,2018,OCTOBER,2019,JANUARY,1,2,18,YES,INSECTS
75-47-93-54,0326-001-001,3,57,4,1900,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NO,,,,,,,,,
88-15-45-24,0328-001-001,2,57,1,2016,0,NO,,NO,,,,,,,,,
79-72-16-28,0330-001-001,2,57,2,2000,0,NO,,YES,2018,DECEMBER,2019,FEBRUARY,1,2,60,NO,
38-57-13-13,0331-001-001,1,53,1,2017,0,NO,,NO,,,,,,,,,
