interview__key,sdd_hhid,itemcode,hh_j08
21-28-91-77,0266-001-001,C. NUTS AND PULSES,2
21-28-91-77,0266-001-001,D. VEGETABLES,7
21-28-91-77,0266-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",2
21-28-91-77,0266-001-001,F. FRUITS,1
21-28-91-77,0266-001-001,G. MILK/MILK PRODUCTS,0
21-28-91-77,0266-001-001,H. FATS/OIL,3
21-28-91-77,0266-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,5
21-28-91-77,0266-001-001,J. SPICES/CONDIMENTS,7
08-95-27-37,0267-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
08-95-27-37,0267-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",7
08-95-27-37,0267-001-001,C. NUTS AND PULSES,4
08-95-27-37,0267-001-001,D. VEGETABLES,7
08-95-27-37,0267-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
08-95-27-37,0267-001-001,F. FRUITS,4
08-95-27-37,0267-001-001,G. MILK/MILK PRODUCTS,0
08-95-27-37,0267-001-001,H. FATS/OIL,4
08-95-27-37,0267-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
08-95-27-37,0267-001-001,J. SPICES/CONDIMENTS,7
56-07-21-94,0267-001-003,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
56-07-21-94,0267-001-003,"B. ROOTS, TUBERS, AND PLANTAINS",0
56-07-21-94,0267-001-003,C. NUTS AND PULSES,3
56-07-21-94,0267-001-003,D. VEGETABLES,5
56-07-21-94,0267-001-003,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
56-07-21-94,0267-001-003,F. FRUITS,0
56-07-21-94,0267-001-003,G. MILK/MILK PRODUCTS,0
56-07-21-94,0267-001-003,H. FATS/OIL,7
56-07-21-94,0267-001-003,I. SUGAR/SUGAR PRODUCTS/HONEY,7
56-07-21-94,0267-001-003,J. SPICES/CONDIMENTS,7
61-93-73-52,0267-001-005,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
61-93-73-52,0267-001-005,"B. ROOTS, TUBERS, AND PLANTAINS",3
61-93-73-52,0267-001-005,C. NUTS AND PULSES,6
61-93-73-52,0267-001-005,D. VEGETABLES,4
61-93-73-52,0267-001-005,"E. MEAT, FISH AND ANIMAL PRODUCTS",2
61-93-73-52,0267-001-005,F. FRUITS,2
61-93-73-52,0267-001-005,G. MILK/MILK PRODUCTS,0
61-93-73-52,0267-001-005,H. FATS/OIL,7
61-93-73-52,0267-001-005,I. SUGAR/SUGAR PRODUCTS/HONEY,7
61-93-73-52,0267-001-005,J. SPICES/CONDIMENTS,7
45-28-40-86,0267-001-006,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
45-28-40-86,0267-001-006,"B. ROOTS, TUBERS, AND PLANTAINS",6
45-28-40-86,0267-001-006,C. NUTS AND PULSES,4
45-28-40-86,0267-001-006,D. VEGETABLES,7
45-28-40-86,0267-001-006,"E. MEAT, FISH AND ANIMAL PRODUCTS",5
45-28-40-86,0267-001-006,F. FRUITS,4
45-28-40-86,0267-001-006,G. MILK/MILK PRODUCTS,4
45-28-40-86,0267-001-006,H. FATS/OIL,7
45-28-40-86,0267-001-006,I. SUGAR/SUGAR PRODUCTS/HONEY,7
45-28-40-86,0267-001-006,J. SPICES/CONDIMENTS,7
70-01-39-09,0267-104-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",0
70-01-39-09,0267-104-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
70-01-39-09,0267-104-001,C. NUTS AND PULSES,0
70-01-39-09,0267-104-001,D. VEGETABLES,0
70-01-39-09,0267-104-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
70-01-39-09,0267-104-001,F. FRUITS,0
70-01-39-09,0267-104-001,G. MILK/MILK PRODUCTS,0
70-01-39-09,0267-104-001,H. FATS/OIL,0
70-01-39-09,0267-104-001,I. SUGAR/SUGAR PRODUCTS/HONEY,0
70-01-39-09,0267-104-001,J. SPICES/CONDIMENTS,0
99-73-94-40,0268-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",0
99-73-94-40,0268-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
99-73-94-40,0268-001-001,C. NUTS AND PULSES,0
99-73-94-40,0268-001-001,D. VEGETABLES,0
99-73-94-40,0268-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
99-73-94-40,0268-001-001,F. FRUITS,0
99-73-94-40,0268-001-001,G. MILK/MILK PRODUCTS,0
99-73-94-40,0268-001-001,H. FATS/OIL,7
99-73-94-40,0268-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,0
99-73-94-40,0268-001-001,J. SPICES/CONDIMENTS,0
88-55-89-02,0268-001-002,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",4
88-55-89-02,0268-001-002,"B. ROOTS, TUBERS, AND PLANTAINS",4
88-55-89-02,0268-001-002,C. NUTS AND PULSES,5
88-55-89-02,0268-001-002,D. VEGETABLES,6
88-55-89-02,0268-001-002,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
88-55-89-02,0268-001-002,F. FRUITS,3
88-55-89-02,0268-001-002,G. MILK/MILK PRODUCTS,0
88-55-89-02,0268-001-002,H. FATS/OIL,5
88-55-89-02,0268-001-002,I. SUGAR/SUGAR PRODUCTS/HONEY,5
88-55-89-02,0268-001-002,J. SPICES/CONDIMENTS,6
07-15-41-44,0269-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
07-15-41-44,0269-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",1
07-15-41-44,0269-001-001,C. NUTS AND PULSES,7
07-15-41-44,0269-001-001,D. VEGETABLES,7
07-15-41-44,0269-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
07-15-41-44,0269-001-001,F. FRUITS,7
07-15-41-44,0269-001-001,G. MILK/MILK PRODUCTS,0
07-15-41-44,0269-001-001,H. FATS/OIL,7
07-15-41-44,0269-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
07-15-41-44,0269-001-001,J. SPICES/CONDIMENTS,7
13-53-55-54,0270-002-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
13-53-55-54,0270-002-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
13-53-55-54,0270-002-001,C. NUTS AND PULSES,2
13-53-55-54,0270-002-001,D. VEGETABLES,7
13-53-55-54,0270-002-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
13-53-55-54,0270-002-001,F. FRUITS,4
13-53-55-54,0270-002-001,G. MILK/MILK PRODUCTS,0
13-53-55-54,0270-002-001,H. FATS/OIL,7
13-53-55-54,0270-002-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
13-53-55-54,0270-002-001,J. SPICES/CONDIMENTS,7
44-15-25-13,0271-002-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
44-15-25-13,0271-002-001,"B. ROOTS, TUBERS, AND PLANTAINS",1
44-15-25-13,0271-002-001,C. NUTS AND PULSES,5
44-15-25-13,0271-002-001,D. VEGETABLES,7
44-15-25-13,0271-002-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",2
44-15-25-13,0271-002-001,F. FRUITS,3
44-15-25-13,0271-002-001,G. MILK/MILK PRODUCTS,0
44-15-25-13,0271-002-001,H. FATS/OIL,7
44-15-25-13,0271-002-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
44-15-25-13,0271-002-001,J. SPICES/CONDIMENTS,7
19-00-41-84,0272-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
19-00-41-84,0272-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
19-00-41-84,0272-001-001,C. NUTS AND PULSES,5
19-00-41-84,0272-001-001,D. VEGETABLES,6
19-00-41-84,0272-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
19-00-41-84,0272-001-001,F. FRUITS,2
19-00-41-84,0272-001-001,G. MILK/MILK PRODUCTS,0
19-00-41-84,0272-001-001,H. FATS/OIL,7
19-00-41-84,0272-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
19-00-41-84,0272-001-001,J. SPICES/CONDIMENTS,7
57-34-89-32,0273-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
57-34-89-32,0273-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
57-34-89-32,0273-001-001,C. NUTS AND PULSES,3
57-34-89-32,0273-001-001,D. VEGETABLES,7
57-34-89-32,0273-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
57-34-89-32,0273-001-001,F. FRUITS,2
57-34-89-32,0273-001-001,G. MILK/MILK PRODUCTS,0
57-34-89-32,0273-001-001,H. FATS/OIL,7
57-34-89-32,0273-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
57-34-89-32,0273-001-001,J. SPICES/CONDIMENTS,7
83-68-94-38,0273-005-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
83-68-94-38,0273-005-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
83-68-94-38,0273-005-001,C. NUTS AND PULSES,2
83-68-94-38,0273-005-001,D. VEGETABLES,7
83-68-94-38,0273-005-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
83-68-94-38,0273-005-001,F. FRUITS,0
83-68-94-38,0273-005-001,G. MILK/MILK PRODUCTS,0
83-68-94-38,0273-005-001,H. FATS/OIL,7
83-68-94-38,0273-005-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
83-68-94-38,0273-005-001,J. SPICES/CONDIMENTS,7
14-60-99-32,0274-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",5
14-60-99-32,0274-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",7
14-60-99-32,0274-001-001,C. NUTS AND PULSES,0
14-60-99-32,0274-001-001,D. VEGETABLES,5
14-60-99-32,0274-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
14-60-99-32,0274-001-001,F. FRUITS,0
14-60-99-32,0274-001-001,G. MILK/MILK PRODUCTS,0
14-60-99-32,0274-001-001,H. FATS/OIL,4
14-60-99-32,0274-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,5
14-60-99-32,0274-001-001,J. SPICES/CONDIMENTS,7
32-61-54-24,0275-001-002,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
32-61-54-24,0275-001-002,"B. ROOTS, TUBERS, AND PLANTAINS",0
32-61-54-24,0275-001-002,C. NUTS AND PULSES,0
32-61-54-24,0275-001-002,D. VEGETABLES,7
32-61-54-24,0275-001-002,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
32-61-54-24,0275-001-002,F. FRUITS,0
32-61-54-24,0275-001-002,G. MILK/MILK PRODUCTS,0
32-61-54-24,0275-001-002,H. FATS/OIL,0
32-61-54-24,0275-001-002,I. SUGAR/SUGAR PRODUCTS/HONEY,0
32-61-54-24,0275-001-002,J. SPICES/CONDIMENTS,7
22-59-93-72,0276-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
22-59-93-72,0276-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",7
22-59-93-72,0276-001-001,C. NUTS AND PULSES,5
22-59-93-72,0276-001-001,D. VEGETABLES,7
22-59-93-72,0276-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",7
22-59-93-72,0276-001-001,F. FRUITS,0
22-59-93-72,0276-001-001,G. MILK/MILK PRODUCTS,0
22-59-93-72,0276-001-001,H. FATS/OIL,7
22-59-93-72,0276-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
22-59-93-72,0276-001-001,J. SPICES/CONDIMENTS,7
71-02-30-95,0277-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
71-02-30-95,0277-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",6
71-02-30-95,0277-001-001,C. NUTS AND PULSES,4
71-02-30-95,0277-001-001,D. VEGETABLES,1
71-02-30-95,0277-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
71-02-30-95,0277-001-001,F. FRUITS,2
71-02-30-95,0277-001-001,G. MILK/MILK PRODUCTS,0
71-02-30-95,0277-001-001,H. FATS/OIL,7
71-02-30-95,0277-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,5
71-02-30-95,0277-001-001,J. SPICES/CONDIMENTS,7
80-89-25-38,0277-008-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
80-89-25-38,0277-008-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
80-89-25-38,0277-008-001,C. NUTS AND PULSES,4
80-89-25-38,0277-008-001,D. VEGETABLES,7
80-89-25-38,0277-008-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
80-89-25-38,0277-008-001,F. FRUITS,0
80-89-25-38,0277-008-001,G. MILK/MILK PRODUCTS,0
80-89-25-38,0277-008-001,H. FATS/OIL,7
80-89-25-38,0277-008-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
80-89-25-38,0277-008-001,J. SPICES/CONDIMENTS,7
85-41-80-11,0278-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
85-41-80-11,0278-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
85-41-80-11,0278-001-001,C. NUTS AND PULSES,5
85-41-80-11,0278-001-001,D. VEGETABLES,7
85-41-80-11,0278-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",2
85-41-80-11,0278-001-001,F. FRUITS,0
85-41-80-11,0278-001-001,G. MILK/MILK PRODUCTS,0
85-41-80-11,0278-001-001,H. FATS/OIL,7
85-41-80-11,0278-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
85-41-80-11,0278-001-001,J. SPICES/CONDIMENTS,7
71-70-87-92,0278-001-002,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
71-70-87-92,0278-001-002,"B. ROOTS, TUBERS, AND PLANTAINS",1
71-70-87-92,0278-001-002,C. NUTS AND PULSES,5
71-70-87-92,0278-001-002,D. VEGETABLES,7
71-70-87-92,0278-001-002,"E. MEAT, FISH AND ANIMAL PRODUCTS",7
71-70-87-92,0278-001-002,F. FRUITS,0
71-70-87-92,0278-001-002,G. MILK/MILK PRODUCTS,0
71-70-87-92,0278-001-002,H. FATS/OIL,7
71-70-87-92,0278-001-002,I. SUGAR/SUGAR PRODUCTS/HONEY,7
71-70-87-92,0278-001-002,J. SPICES/CONDIMENTS,7
60-25-30-64,0279-002-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
60-25-30-64,0279-002-001,"B. ROOTS, TUBERS, AND PLANTAINS",2
60-25-30-64,0279-002-001,C. NUTS AND PULSES,3
60-25-30-64,0279-002-001,D. VEGETABLES,6
60-25-30-64,0279-002-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",2
60-25-30-64,0279-002-001,F. FRUITS,5
60-25-30-64,0279-002-001,G. MILK/MILK PRODUCTS,0
60-25-30-64,0279-002-001,H. FATS/OIL,7
60-25-30-64,0279-002-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
60-25-30-64,0279-002-001,J. SPICES/CONDIMENTS,7
71-03-08-46,0279-002-002,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
71-03-08-46,0279-002-002,"B. ROOTS, TUBERS, AND PLANTAINS",5
71-03-08-46,0279-002-002,C. NUTS AND PULSES,6
71-03-08-46,0279-002-002,D. VEGETABLES,7
71-03-08-46,0279-002-002,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
71-03-08-46,0279-002-002,F. FRUITS,4
71-03-08-46,0279-002-002,G. MILK/MILK PRODUCTS,0
71-03-08-46,0279-002-002,H. FATS/OIL,7
71-03-08-46,0279-002-002,I. SUGAR/SUGAR PRODUCTS/HONEY,7
71-03-08-46,0279-002-002,J. SPICES/CONDIMENTS,7
98-72-25-05,0279-003-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
98-72-25-05,0279-003-001,"B. ROOTS, TUBERS, AND PLANTAINS",2
98-72-25-05,0279-003-001,C. NUTS AND PULSES,7
98-72-25-05,0279-003-001,D. VEGETABLES,7
98-72-25-05,0279-003-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",7
98-72-25-05,0279-003-001,F. FRUITS,7
98-72-25-05,0279-003-001,G. MILK/MILK PRODUCTS,0
98-72-25-05,0279-003-001,H. FATS/OIL,7
98-72-25-05,0279-003-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
98-72-25-05,0279-003-001,J. SPICES/CONDIMENTS,7
23-05-27-92,0279-006-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",0
23-05-27-92,0279-006-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
23-05-27-92,0279-006-001,C. NUTS AND PULSES,0
23-05-27-92,0279-006-001,D. VEGETABLES,0
23-05-27-92,0279-006-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
23-05-27-92,0279-006-001,F. FRUITS,0
23-05-27-92,0279-006-001,G. MILK/MILK PRODUCTS,0
23-05-27-92,0279-006-001,H. FATS/OIL,0
23-05-27-92,0279-006-001,I. SUGAR/SUGAR PRODUCTS/HONEY,0
23-05-27-92,0279-006-001,J. SPICES/CONDIMENTS,0
53-31-80-18,0280-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
53-31-80-18,0280-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
53-31-80-18,0280-001-001,C. NUTS AND PULSES,4
53-31-80-18,0280-001-001,D. VEGETABLES,6
53-31-80-18,0280-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
53-31-80-18,0280-001-001,F. FRUITS,2
53-31-80-18,0280-001-001,G. MILK/MILK PRODUCTS,2
53-31-80-18,0280-001-001,H. FATS/OIL,7
53-31-80-18,0280-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
53-31-80-18,0280-001-001,J. SPICES/CONDIMENTS,7
18-82-85-31,0280-001-003,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
18-82-85-31,0280-001-003,"B. ROOTS, TUBERS, AND PLANTAINS",4
18-82-85-31,0280-001-003,C. NUTS AND PULSES,3
18-82-85-31,0280-001-003,D. VEGETABLES,7
18-82-85-31,0280-001-003,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
18-82-85-31,0280-001-003,F. FRUITS,2
18-82-85-31,0280-001-003,G. MILK/MILK PRODUCTS,0
18-82-85-31,0280-001-003,H. FATS/OIL,7
18-82-85-31,0280-001-003,I. SUGAR/SUGAR PRODUCTS/HONEY,7
18-82-85-31,0280-001-003,J. SPICES/CONDIMENTS,7
39-02-00-74,0280-001-004,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
39-02-00-74,0280-001-004,"B. ROOTS, TUBERS, AND PLANTAINS",4
39-02-00-74,0280-001-004,C. NUTS AND PULSES,3
39-02-00-74,0280-001-004,D. VEGETABLES,5
39-02-00-74,0280-001-004,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
39-02-00-74,0280-001-004,F. FRUITS,2
39-02-00-74,0280-001-004,G. MILK/MILK PRODUCTS,2
39-02-00-74,0280-001-004,H. FATS/OIL,7
39-02-00-74,0280-001-004,I. SUGAR/SUGAR PRODUCTS/HONEY,7
39-02-00-74,0280-001-004,J. SPICES/CONDIMENTS,7
80-17-56-66,0283-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
80-17-56-66,0283-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
80-17-56-66,0283-001-001,C. NUTS AND PULSES,3
80-17-56-66,0283-001-001,D. VEGETABLES,7
80-17-56-66,0283-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",5
80-17-56-66,0283-001-001,F. FRUITS,7
80-17-56-66,0283-001-001,G. MILK/MILK PRODUCTS,0
80-17-56-66,0283-001-001,H. FATS/OIL,7
80-17-56-66,0283-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
80-17-56-66,0283-001-001,J. SPICES/CONDIMENTS,7
79-01-71-66,0283-003-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
79-01-71-66,0283-003-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
79-01-71-66,0283-003-001,C. NUTS AND PULSES,3
79-01-71-66,0283-003-001,D. VEGETABLES,7
79-01-71-66,0283-003-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
79-01-71-66,0283-003-001,F. FRUITS,2
79-01-71-66,0283-003-001,G. MILK/MILK PRODUCTS,0
79-01-71-66,0283-003-001,H. FATS/OIL,7
79-01-71-66,0283-003-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
79-01-71-66,0283-003-001,J. SPICES/CONDIMENTS,7
98-28-80-40,0283-003-002,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
98-28-80-40,0283-003-002,"B. ROOTS, TUBERS, AND PLANTAINS",1
98-28-80-40,0283-003-002,C. NUTS AND PULSES,3
98-28-80-40,0283-003-002,D. VEGETABLES,5
98-28-80-40,0283-003-002,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
98-28-80-40,0283-003-002,F. FRUITS,1
98-28-80-40,0283-003-002,G. MILK/MILK PRODUCTS,0
98-28-80-40,0283-003-002,H. FATS/OIL,7
98-28-80-40,0283-003-002,I. SUGAR/SUGAR PRODUCTS/HONEY,7
98-28-80-40,0283-003-002,J. SPICES/CONDIMENTS,7
25-73-08-47,0284-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
25-73-08-47,0284-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",2
25-73-08-47,0284-001-001,C. NUTS AND PULSES,2
25-73-08-47,0284-001-001,D. VEGETABLES,7
25-73-08-47,0284-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",4
25-73-08-47,0284-001-001,F. FRUITS,2
25-73-08-47,0284-001-001,G. MILK/MILK PRODUCTS,0
25-73-08-47,0284-001-001,H. FATS/OIL,7
25-73-08-47,0284-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
25-73-08-47,0284-001-001,J. SPICES/CONDIMENTS,7
74-35-04-61,0285-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
74-35-04-61,0285-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",5
74-35-04-61,0285-001-001,C. NUTS AND PULSES,7
74-35-04-61,0285-001-001,D. VEGETABLES,7
74-35-04-61,0285-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",7
74-35-04-61,0285-001-001,F. FRUITS,7
74-35-04-61,0285-001-001,G. MILK/MILK PRODUCTS,3
74-35-04-61,0285-001-001,H. FATS/OIL,7
74-35-04-61,0285-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
74-35-04-61,0285-001-001,J. SPICES/CONDIMENTS,7
16-61-30-78,0287-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
16-61-30-78,0287-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
16-61-30-78,0287-001-001,C. NUTS AND PULSES,3
16-61-30-78,0287-001-001,D. VEGETABLES,4
16-61-30-78,0287-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
16-61-30-78,0287-001-001,F. FRUITS,0
16-61-30-78,0287-001-001,G. MILK/MILK PRODUCTS,0
16-61-30-78,0287-001-001,H. FATS/OIL,7
16-61-30-78,0287-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
16-61-30-78,0287-001-001,J. SPICES/CONDIMENTS,7
84-51-41-53,0288-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
84-51-41-53,0288-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",2
84-51-41-53,0288-001-001,C. NUTS AND PULSES,2
84-51-41-53,0288-001-001,D. VEGETABLES,7
84-51-41-53,0288-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",5
84-51-41-53,0288-001-001,F. FRUITS,2
84-51-41-53,0288-001-001,G. MILK/MILK PRODUCTS,0
84-51-41-53,0288-001-001,H. FATS/OIL,7
84-51-41-53,0288-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
84-51-41-53,0288-001-001,J. SPICES/CONDIMENTS,7
63-02-03-97,0290-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",0
63-02-03-97,0290-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",0
63-02-03-97,0290-001-001,C. NUTS AND PULSES,0
63-02-03-97,0290-001-001,D. VEGETABLES,0
63-02-03-97,0290-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",0
63-02-03-97,0290-001-001,F. FRUITS,0
63-02-03-97,0290-001-001,G. MILK/MILK PRODUCTS,0
63-02-03-97,0290-001-001,H. FATS/OIL,0
63-02-03-97,0290-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,0
63-02-03-97,0290-001-001,J. SPICES/CONDIMENTS,0
35-18-85-05,0291-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
35-18-85-05,0291-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",3
35-18-85-05,0291-001-001,C. NUTS AND PULSES,2
35-18-85-05,0291-001-001,D. VEGETABLES,5
35-18-85-05,0291-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",3
35-18-85-05,0291-001-001,F. FRUITS,0
35-18-85-05,0291-001-001,G. MILK/MILK PRODUCTS,0
35-18-85-05,0291-001-001,H. FATS/OIL,7
35-18-85-05,0291-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,7
35-18-85-05,0291-001-001,J. SPICES/CONDIMENTS,7
85-31-10-94,0291-001-003,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
85-31-10-94,0291-001-003,"B. ROOTS, TUBERS, AND PLANTAINS",0
85-31-10-94,0291-001-003,C. NUTS AND PULSES,7
85-31-10-94,0291-001-003,D. VEGETABLES,7
85-31-10-94,0291-001-003,"E. MEAT, FISH AND ANIMAL PRODUCTS",7
85-31-10-94,0291-001-003,F. FRUITS,0
85-31-10-94,0291-001-003,G. MILK/MILK PRODUCTS,0
85-31-10-94,0291-001-003,H. FATS/OIL,7
85-31-10-94,0291-001-003,I. SUGAR/SUGAR PRODUCTS/HONEY,7
85-31-10-94,0291-001-003,J. SPICES/CONDIMENTS,7
82-39-62-03,0291-001-005,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
82-39-62-03,0291-001-005,"B. ROOTS, TUBERS, AND PLANTAINS",4
82-39-62-03,0291-001-005,C. NUTS AND PULSES,3
82-39-62-03,0291-001-005,D. VEGETABLES,7
82-39-62-03,0291-001-005,"E. MEAT, FISH AND ANIMAL PRODUCTS",1
82-39-62-03,0291-001-005,F. FRUITS,0
82-39-62-03,0291-001-005,G. MILK/MILK PRODUCTS,3
82-39-62-03,0291-001-005,H. FATS/OIL,7
82-39-62-03,0291-001-005,I. SUGAR/SUGAR PRODUCTS/HONEY,7
82-39-62-03,0291-001-005,J. SPICES/CONDIMENTS,7
65-18-30-41,0292-001-001,"A. CEREALS, GRAINS AND CEREAL PRODUCTS",7
65-18-30-41,0292-001-001,"B. ROOTS, TUBERS, AND PLANTAINS",4
65-18-30-41,0292-001-001,C. NUTS AND PULSES,5
65-18-30-41,0292-001-001,D. VEGETABLES,7
65-18-30-41,0292-001-001,"E. MEAT, FISH AND ANIMAL PRODUCTS",5
65-18-30-41,0292-001-001,F. FRUITS,1
65-18-30-41,0292-001-001,G. MILK/MILK PRODUCTS,0
65-18-30-41,0292-001-001,H. FATS/OIL,0
65-18-30-41,0292-001-001,I. SUGAR/SUGAR PRODUCTS/HONEY,6
65-18-30-41,0292-001-001,J. SPICES/CONDIMENTS,7
