interview__key,sdd_hhid,sdd_indid,hh_c01,hh_c01_1,hh_c01_2,hh_c02,hh_c03,hh_c03_1,hh_c04,hh_c05,hh_c05a,hh_c06,hh_c07,hh_c08,hh_c09,hh_c10,hh_c11,hh_c12,hh_c13,hh_c14,hh_c15,hh_c16,hh_c17,hh_c18,hh_c19,hh_c20_1,hh_c20_2,hh_c21_1,hh_c21_2,hh_c22,hh_c23,hh_c24,hh_c25,hh_c26,hh_c27,hh_c28_0,hh_c28_1,hh_c28_2,hh_c28_3,hh_c28_4,hh_c28_5,hh_c28_6,hh_c28_7,hh_c28_8,hh_c29,hh_c30,hh_c01_3
18-27-98-28,0194-001-001,5,YES,YES,,KISWAHILI & ENGLISH,YES,,6,YES,,,,,'O'+COURSE,NOT ATTENDING,YES,PRIVATE ORG,NO,ON FOOT,60,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,YES,PASS,,,,,TOTAL,,,,,,,,210000,NEVER ATTENDED,,PEKE YAKE
22-11-01-92,0194-007-002,2,YES,YES,,KISWAHILI & ENGLISH,YES,,8,NO,EDUCAITON NOT USEFUL,NO,F4,2000,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 4",2000,NOT FOUND,FAIL,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
22-11-01-92,0194-007-002,3,YES,NO,2,KISWAHILI,YES,,5,YES,,,,,PP,NOT ATTENDING,YES,PRIVATE ORG,NO,ON FOOT,2,NO,NO,,NO TEXTBOOKS USED,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,180000,NEVER ATTENDED,,
66-54-30-86,0195-001-001,1,YES,YES,,KISWAHILI,YES,,8,NO,EDUCAITON NOT USEFUL,NO,D7,1975,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
66-54-30-86,0195-001-001,4,YES,YES,,KISWAHILI & ENGLISH,YES,,6,NO,JOB/WORK,NO,DIPLOMA,2013,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 6",2010,"YES, IT WAS SHOWN",DIVISION 3,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
66-54-30-86,0195-001-001,5,YES,YES,,KISWAHILI & ENGLISH,YES,,6,NO,EDUCAITON NOT USEFUL,NO,F4,2010,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 4",2010,NOT FOUND,DIVISION 4,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
66-54-30-86,0195-001-001,6,YES,NO,5,KISWAHILI,YES,,4,YES,,,,,D1,PP,YES,LOCAL GOVERNMENT,NO,OTHER (SPECIFY),10,NO,YES,SCHOOL CLOSED (IN BREAK),NO TEXTBOOKS USED,2,30,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,200000,NEVER ATTENDED,,
37-52-42-87,0195-001-003,1,YES,YES,,KISWAHILI & ENGLISH,YES,,7,NO,EDUCAITON NOT USEFUL,NO,F4,2008,,,NO,,,,,,,,,,,,,YES,FAIL,"YES, FORM 4",2008,NOT FOUND,DIVISION 4,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
37-52-42-87,0195-001-003,2,YES,YES,,KISWAHILI & ENGLISH,YES,,7,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,'O'+COURSE,2017,,,NO,,,,,,,,,,,,,YES,FAIL,"YES, FORM 4",2012,NOT FOUND,DIVISION 3,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
37-52-42-87,0195-001-003,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-65-07-99,0195-006-001,1,YES,YES,,KISWAHILI,YES,,7,NO,EDUCAITON NOT USEFUL,NO,D7,2003,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
43-65-07-99,0195-006-001,2,YES,YES,,KISWAHILI,YES,,6,NO,EDUCAITON NOT USEFUL,NO,D7,2007,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
43-65-07-99,0195-006-001,3,YES,NO,2,NO,YES,,4,YES,,,,,PP,PP,YES,PRIVATE ORG,NO,ON FOOT,5,NO,NO,,NO TEXTBOOKS USED,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,360000,NEVER ATTENDED,,
73-01-73-94,0196-001-001,1,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,2003,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
73-01-73-94,0196-001-001,2,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,2009,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
73-01-73-94,0196-001-001,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-23-49-92,0197-001-001,1,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,1993,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
42-23-49-92,0197-001-001,2,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,1990,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
42-23-49-92,0197-001-001,3,YES,NO,2,KISWAHILI,YES,,7,YES,,,,,D2,D1,YES,LOCAL GOVERNMENT,NO,ON FOOT,15,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,28500,NEVER ATTENDED,,
88-74-53-78,0198-001-001,1,YES,YES,,KISWAHILI,YES,,10,NO,DOMESTIC OBLIGATION,NO,D7,2001,,,NO,,,,,,,,,,,,,YES,PASS,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
88-74-53-78,0198-001-001,2,YES,YES,,KISWAHILI,YES,,9,NO,DOMESTIC OBLIGATION,NO,D7,2003,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
88-74-53-78,0198-001-001,3,YES,NO,1,KISWAHILI,YES,,5,YES,,,,,D3,D3,YES,LOCAL GOVERNMENT,NO,ON FOOT,25,NO,NO,,"ALL BORROWED FROM SCHOOL, SOME/ALL CAN TAKE HOME",6,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,6000,15000,NONE,NONE,NONE,NONE,,NEVER ATTENDED,,
88-74-53-78,0198-001-001,4,YES,NO,1,KISWAHILI,YES,,6,YES,,,,,D1,PP,YES,LOCAL GOVERNMENT,NO,ON FOOT,25,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,2,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,3000,58000,NONE,24000,NONE,NONE,,NEVER ATTENDED,,
88-74-53-78,0198-001-001,5,YES,NO,1,KISWAHILI,YES,,6,YES,,,,,D5,D4,YES,LOCAL GOVERNMENT,NO,ON FOOT,25,NO,NO,,"ALL BORROWED FROM SCHOOL, SOME/ALL CAN TAKE HOME",8,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,NONE,25000,45000,NONE,NONE,NONE,NONE,,NEVER ATTENDED,,
56-90-38-75,0199-001-001,1,YES,YES,,KISWAHILI,YES,,10,NO,EDUCAITON NOT USEFUL,NO,D7,1984,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
56-90-38-75,0199-001-001,2,YES,YES,,KISWAHILI,YES,,9,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D7,1990,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
56-90-38-75,0199-001-001,4,YES,NO,1,KISWAHILI,YES,,6,YES,,,,,D5,D4,YES,LOCAL GOVERNMENT,NO,ON FOOT,18,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,50000,NEVER ATTENDED,,
22-00-58-38,0199-001-002,2,YES,YES,,KISWAHILI,YES,,8,NO,LACK OF MONEY,NO,D7,1985,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
22-00-58-38,0199-001-002,3,YES,YES,,KISWAHILI,YES,,8,NO,LACK OF MONEY,NO,D7,2015,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
22-00-58-38,0199-001-002,4,YES,YES,,ENGLISH,YES,,6,NO,LACK OF MONEY,NO,F4,2016,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 4",2016,NOT FOUND,DIVISION 4,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
22-00-58-38,0199-001-002,5,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,1996,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
22-00-58-38,0199-001-002,6,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,1989,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
22-00-58-38,0199-001-002,7,YES,YES,,KISWAHILI & ENGLISH,YES,,6,YES,,,,,F2,F1,YES,LOCAL GOVERNMENT,NO,ON FOOT,30,NO,YES,SCHOOL CLOSED (IN BREAK),ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,45000,NEVER ATTENDED,,PEKE YAKE
22-00-58-38,0199-001-002,8,YES,YES,,KISWAHILI,YES,,6,YES,,,,,D5,D4,YES,LOCAL GOVERNMENT,NO,ON FOOT,30,NO,YES,SCHOOL CLOSED (IN BREAK),ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,3,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,45000,NEVER ATTENDED,,PEKE YAKE
22-00-58-38,0199-001-002,9,YES,NO,6,KISWAHILI,YES,,6,YES,,,,,D1,D1,YES,LOCAL GOVERNMENT,NO,ON FOOT,30,NO,YES,SCHOOL CLOSED (IN BREAK),ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,30000,NEVER ATTENDED,,
22-00-58-38,0199-001-002,10,YES,YES,,KISWAHILI,YES,,11,NO,LACK OF MONEY,NO,D7,1997,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
22-00-58-38,0199-001-002,11,YES,NO,6,NO,YES,,5,YES,,,,,PP,NOT YET STARTED,YES,LOCAL GOVERNMENT,NO,ON FOOT,30,NO,YES,SCHOOL CLOSED (IN BREAK),ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,35000,NEVER ATTENDED,,
22-00-58-38,0199-001-002,12,YES,NO,6,KISWAHILI & ENGLISH,YES,,7,NO,LACK OF MONEY,NO,F4,2012,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 4",2012,NOT FOUND,DIVISION 4,,,,,,,,,,NEVER ATTENDED,,
22-00-58-38,0199-001-002,13,YES,NO,6,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,2010,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,
22-00-58-38,0199-001-002,15,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-54-63-75,0199-001-014,1,YES,YES,,KISWAHILI & ENGLISH,YES,,7,NO,LACK OF MONEY,NO,F4,2016,,,NO,,,,,,,,,,,,,YES,PASS,"NO, DID NOT TAKE",,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
43-42-16-20,0199-008-001,1,YES,YES,,KISWAHILI,YES,,8,NO,JOB/WORK,NO,D7,1987,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
43-42-16-20,0199-008-001,2,YES,NO,1,KISWAHILI,YES,,7,NO,DOMESTIC OBLIGATION,NO,D7,DON'T KNOW,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,
43-42-16-20,0199-008-001,4,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74-58-36-12,0199-008-003,1,YES,YES,,KISWAHILI & ENGLISH,YES,,7,NO,LACK OF MONEY,NO,F4,2013,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 4",2013,NOT FOUND,FAIL,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
74-58-36-12,0199-008-003,2,YES,YES,,KISWAHILI,YES,,6,NO,DOMESTIC OBLIGATION,NO,D7,2012,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
74-58-36-12,0199-008-003,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68-34-72-68,0200-001-001,1,YES,YES,,KISWAHILI & ENGLISH,YES,,12,NO,TOO OLD TO ATTEND,NO,D4,1958,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
68-34-72-68,0200-001-001,2,YES,NO,1,KISWAHILI,YES,,10,NO,TOO OLD TO ATTEND,NO,D2,1973,,,NO,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,NEVER ATTENDED,,
68-34-72-68,0200-001-001,3,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,1997,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
21-95-94-12,0201-001-001,1,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,F2,2005,,,NO,,,,,,,,,,,,,YES,PASS,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
21-95-94-12,0201-001-001,2,YES,YES,,KISWAHILI & ENGLISH,YES,,7,NO,LACK OF MONEY,NO,F3,2011,,,NO,,,,,,,,,,,,,YES,PASS,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
84-55-32-10,0202-002-001,1,YES,YES,,KISWAHILI,YES,,10,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D7,1970,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
84-55-32-10,0202-002-001,2,YES,YES,,KISWAHILI & ENGLISH,YES,,7,NO,HAD ENOUGH/COMPLETED SCHOOLING,YES,,,,D6,NO,,,,,,,,,,,,,YES,PASS,,,,,TOTAL,,,,,,,,100000,NEVER ATTENDED,,PEKE YAKE
84-55-32-10,0202-002-001,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84-55-32-10,0202-002-001,4,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61-58-21-91,0203-001-001,1,YES,YES,,KISWAHILI,YES,,9,NO,JOB/WORK,NO,D7,2000,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
61-58-21-91,0203-001-001,2,YES,YES,,KISWAHILI,YES,,7,NO,DOMESTIC OBLIGATION,NO,D7,2003,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
61-58-21-91,0203-001-001,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58-70-71-25,0203-001-002,2,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,2002,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
85-27-88-94,0204-001-001,1,YES,YES,,KISWAHILI & ENGLISH,YES,,8,NO,LACK OF MONEY,NO,F4,1995,,,NO,,,,,,,,,,,,,YES,FAIL,"YES, FORM 4",1989,NOT FOUND,DIVISION 4,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
85-27-88-94,0204-001-001,2,YES,YES,,KISWAHILI,YES,,7,NO,NO TIME/INTEREST,NO,F2,1994,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
85-27-88-94,0204-001-001,3,YES,YES,,KISWAHILI & ENGLISH,YES,,7,YES,,,,,F3,F2,YES,LOCAL GOVERNMENT,NO,BY PUBLIC VEHICLE/MINIBUS,120,NO,YES,SCHOOL CLOSED (IN BREAK),ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,21,NONE,INADEQUATE BOOKS/TOOLS,,YES,PASS,,,,,TOTAL,,,,,,,,65000,NEVER ATTENDED,,PEKE YAKE
85-27-88-94,0204-001-001,4,YES,NO,2,KISWAHILI,YES,,10,NO,TOO OLD TO ATTEND,NO,D7,1967,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,
85-27-88-94,0204-001-001,5,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,2007,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
85-27-88-94,0204-001-001,6,YES,YES,,KISWAHILI,YES,,7,NO,SEPARATION OF PARENTS,NO,D7,2010,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
85-27-88-94,0204-001-001,7,YES,NO,2,KISWAHILI,YES,,7,YES,,,,,D4,D3,YES,LOCAL GOVERNMENT,NO,ON FOOT,15,NO,YES,SCHOOL CLOSED (IN BREAK),ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,14,NONE,INADEQUATE BOOKS/TOOLS,OVERCROWDED CLASSROOMS,NO,,,,,,TOTAL,,,,,,,,21000,NEVER ATTENDED,,
85-27-88-94,0204-001-001,8,YES,NO,2,KISWAHILI,YES,,7,YES,,,,,D6,D5,YES,LOCAL GOVERNMENT,NO,ON FOOT,5,NO,YES,SCHOOL CLOSED (IN BREAK),ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,8,NONE,INADEQUATE BOOKS/TOOLS,INADEQUATE TEACHERS,NO,,,,,,TOTAL,,,,,,,,34000,NEVER ATTENDED,,
85-27-88-94,0204-001-001,10,YES,NO,2,NO,YES,,5,YES,,,,,PP,NOT YET STARTED,YES,PRIVATE ORG,NO,ON FOOT,5,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,INADEQUATE BOOKS/TOOLS,OVERCROWDED CLASSROOMS,NO,,,,,,TOTAL,,,,,,,,174000,NEVER ATTENDED,,
40-89-03-58,0204-001-009,1,YES,YES,,KISWAHILI,YES,,8,NO,LACK OF MONEY,NO,D7,1986,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
64-87-80-64,0204-008-001,1,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,2003,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
64-87-80-64,0204-008-001,2,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,F2,2013,,,NO,,,,,,,,,,,,,YES,PASS,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
64-87-80-64,0204-008-001,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58-88-28-93,0205-001-001,1,YES,YES,,KISWAHILI,YES,,7,NO,JOB/WORK,NO,D7,1999,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
58-88-28-93,0205-001-001,2,YES,YES,,KISWAHILI & ENGLISH,YES,,6,NO,MARITAL OBLIGATION,NO,F4,2006,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 4",2006,NOT FOUND,DIVISION 4,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
58-88-28-93,0205-001-001,3,YES,NO,2,NO,YES,,4,YES,,,,,PP,PP,YES,PRIVATE ORG,NO,ON FOOT,15,NO,NO,,SOME OWNED BY HOUSEHOLD,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,BREAKDOWN,250000,10000,50000,NONE,NONE,NONE,200000,,NEVER ATTENDED,,
58-88-28-93,0205-001-001,4,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83-06-62-27,0208-004-001,1,YES,YES,,KISWAHILI,YES,,7,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D7,2001,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
83-06-62-27,0208-004-001,2,YES,YES,,KISWAHILI,YES,,7,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D7,2004,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
79-05-47-33,0210-001-001,1,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,2005,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
03-96-67-80,0210-002-002,3,YES,YES,,KISWAHILI,YES,,7,NO,EDUCAITON NOT USEFUL,NO,D7,2008,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
03-96-67-80,0210-002-002,5,YES,NO,3,NO,YES,,5,YES,,,,,PP,NOT ATTENDING,YES,LOCAL GOVERNMENT,NO,ON FOOT,20,YES,YES,SCHOOL CLOSED (IN BREAK),NO TEXTBOOKS USED,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,23000,NEVER ATTENDED,,
03-96-67-80,0210-002-002,6,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-75-06-50,0211-001-001,1,YES,YES,,KISWAHILI,YES,,7,NO,LACK OF MONEY,NO,D7,1983,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
11-75-06-50,0211-001-001,2,YES,YES,,KISWAHILI,YES,,9,NO,LACK OF MONEY,NO,D7,1987,,,NO,,,,,,,,,,,,,YES,PASS,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
11-75-06-50,0211-001-001,3,YES,YES,,KISWAHILI,YES,,6,YES,,,,,D5,D4,YES,LOCAL GOVERNMENT,NO,ON FOOT,15,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,50000,NEVER ATTENDED,,PEKE YAKE
11-75-06-50,0211-001-001,4,YES,YES,,KISWAHILI,YES,,6,YES,,,,,D5,D4,YES,LOCAL GOVERNMENT,NO,ON FOOT,15,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,50000,NEVER ATTENDED,,PEKE YAKE
11-75-06-50,0211-001-001,5,YES,YES,,KISWAHILI & ENGLISH,YES,,6,YES,,,,,F3,F2,YES,LOCAL GOVERNMENT,NO,BY PUBLIC VEHICLE/MINIBUS,30,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,NONE,NONE,NO PROBLEMS (SATISFIED),,YES,PASS,,,,,TOTAL,,,,,,,,120000,NEVER ATTENDED,,PEKE YAKE
26-67-43-95,0211-006-001,1,YES,YES,,KISWAHILI,YES,,7,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D7,2006,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
26-67-43-95,0211-006-001,2,YES,YES,,KISWAHILI,YES,,7,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D7,2010,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
26-67-43-95,0211-006-001,3,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49-03-77-61,0212-001-001,1,YES,YES,,KISWAHILI,YES,,7,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D7,1985,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
49-03-77-61,0212-001-001,2,YES,YES,,KISWAHILI,YES,,8,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,D7,1996,,,NO,,,,,,,,,,,,,YES,FAIL,,,,,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
49-03-77-61,0212-001-001,3,YES,YES,,KISWAHILI & ENGLISH,YES,,6,YES,,,,,F1,D7,YES,LOCAL GOVERNMENT,NO,ON FOOT,20,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,5,30,NO PROBLEMS (SATISFIED),,YES,PASS,,,,,TOTAL,,,,,,,,416000,NEVER ATTENDED,,PEKE YAKE
80-82-58-54,0214-001-001,1,YES,YES,,KISWAHILI & ENGLISH,YES,,7,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,F4,2005,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 4",2005,NOT FOUND,DIVISION 4,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
80-82-58-54,0214-001-001,2,YES,YES,,KISWAHILI & ENGLISH,YES,,7,NO,HAD ENOUGH/COMPLETED SCHOOLING,NO,U3,2010,,,NO,,,,,,,,,,,,,YES,PASS,"YES, FORM 6",2006,"YES, IT WAS SHOWN",DIVISION 1,,,,,,,,,,NEVER ATTENDED,,PEKE YAKE
80-82-58-54,0214-001-001,3,YES,NO,2,KISWAHILI & ENGLISH,YES,,6,YES,,,,,D3,D2,YES,PRIVATE ORG,NO,BY PRIVATE CAR/VEHICLE,45,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,7,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,1360000,NEVER ATTENDED,,
80-82-58-54,0214-001-001,4,YES,NO,2,KISWAHILI & ENGLISH,YES,,6,YES,,,,,D1,PP,YES,PRIVATE ORG,NO,BY PRIVATE CAR/VEHICLE,45,NO,NO,,ALL BORROWED FROM SCHOOL BUT CAN'T TAKE HOME,5,NONE,NO PROBLEMS (SATISFIED),,NO,,,,,,TOTAL,,,,,,,,1360000,NEVER ATTENDED,,
